PIC,dm_name,sdso,state,district,river,incharge,ht_found,cmp_year,basin,mx_wt_lel,frl,gs_st_cap,ds_sp_cap,dm_length,dm_type,purpose,latitude,longitude,Longitude,Latitude
AN71MH0003,Chouldari Dam,Ndsa-South,Andaman and Nicobar Island,,Dhani Khari,Military Engineer Services,19.0,2002,Drainage area of Andaman and Nicobar Islands,17.25,17.0,1.07,0.0,0,· HOMOGENEOUS EARTHEN DAM,Water Supply,"11° 37' 28.000"" N","92° 39' 33.000"" E",5382750.507299997,2708833.1686999984
AN15HH0001,Dhanikhari,Andaman Nicobar,Andaman and Nicobar Island,South Andamans,,Andaman Public Work Department-1,37.25,1973,Drainage area of Andaman and Nicobar Islands,66.0,66.0,5.13,225.0,0,,Irrigation,"11° 34' 19.000"" N","92° 40' 35.000"" E",5385150.007799998,2703200.483100001
AN15HH0002,Kalpong,Andaman Nicobar,Andaman and Nicobar Island,North and Middle Andaman,Diglipur,Andaman Public Work Department-2,31.5,2001,Drainage area of Andaman and Nicobar Islands,209.4,206.8,15.27,150.0,0,•	CFRD (CONCRETE FACE ROCKFILL DAM),Hydropower,"13° 9' 35.000"" N","92° 58' 10.000"" E",5400930.633900002,2881088.7529000007
AP01MH0001,Cumbhum Tank,Andhra Pradesh,Andhra Pradesh,,Gundlakamma,"Chief Engineer, Projects, Ongole, Water Resources Department",18.0,1500,EFR between Mahanadi and Pennar,204.1,203.2,83.6,112.78,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Fishing,"15° 34' 38.000"" N","79° 4' 51.000"" E",3902308.831299998,3082808.5955
AP01LH0002,Dondapadu Tank,Andhra Pradesh,Andhra Pradesh,palnadu,Krishna,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",10.3,1910,EFR between Mahanadi and Pennar,99.28,98.22,7.28,312.0,720,· HOMOGENEOUS EARTHEN DAM,Irrigation,"16° 5' 1.000"" N","79° 36' 48.000"" E",3959056.2201000005,3138038.7267000005
AP01MH0003,Siddapuram Tank,Andhra Pradesh,Andhra Pradesh,Nandyal,Bhavanasi,"Chief Engineer, Projects,Kurnool, Water Resources Department",19.0,1919,Krishna,324.0,324.0,24.74,492.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"15° 51' 37.000"" N","78° 41' 28.000"" E",3861177.4912,3114161.423700001
AP01MH0004,Mopad Reservoir,Andhra Pradesh,Andhra Pradesh,prakasam,,"Chief Engineer, Projects, Ongole, Water Resources Department",28.0,1921,EFR between Mahanadi and Pennar,101.98,100.15,65.316,1923.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"15° 6' 37.000"" N","79° 28' 55.000"" E",3944751.219300002,3031361.8073000014
AP01LH0005,Thippayapalem Tank,Andhra Pradesh,Andhra Pradesh,prakasam,Pedda Vagu,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",10.0,1938,EFR between Mahanadi and Pennar,178.31,175.56,5.125,285.46,0,,Irrigation,"15° 41' 26.000"" N","79° 7' 59.000"" E",3907935.5133000016,3095198.5102000013
AP01LH0006,Markapur Tank,Andhra Pradesh,Andhra Pradesh,prakasam,Yadala Vagu,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",10.0,1945,EFR between Mahanadi and Pennar,153.77,153.16,6.172,75.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Fishing,"15° 43' 54.000"" N","79° 16' 40.000"" E",3923327.1278000027,3099618.1810000017
AP01LH0007,"Owk Reservoir Complex (Palair, Gollaleru,Timmaraju)",Andhra Pradesh,Andhra Pradesh,Nandyal,,"Chief Engineer, Projects,Kurnool, Water Resources Department",32.0,1946,Pennar,227.0,227.0,117.458,2563.014,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Water Supply / Industrial / Tourism / Fishing,"15° 12' 9.000"" N","78° 5' 27.000"" E",3796537.105800003,3042761.390900001
AP01LH0008,Gambhiramgedda Reservoir,Andhra Pradesh,Andhra Pradesh,Visakhapatnam,,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",13.0,1957,Godavari,39.014,38.405,1.68,550.0,268,· HOMOGENEOUS EARTHEN DAM,Irrigation / Water Supply,"17° 52' 34.000"" N","83° 21' 8.000"" E",4350268.946699999,3338102.787700001
