District_Name,State_Name,DFSI
Patna,Bihar,19.300564104042078
Murshidabad,West Bengal,18.910883771379428
Thane,Maharashtra,18.86178924193549
Guntur,Andhra Pradesh,18.83206907033492
North Twenty Four Pargan*,West Bengal,18.77053767455695
Nagpur,Maharashtra,18.687113593311008
Purba Medinipur,West Bengal,18.370425949562637
Lakhimpur,Assam,18.33746571265321
Gorakhpur,Uttar Pradesh,18.30257560143651
Purba Champaran,Bihar,18.29578760114369
Kota,Rajasthan,18.28899123555501
Muzaffarpur,Bihar,18.28701590256185
Ballia,Uttar Pradesh,18.282412575936064
Maldah,West Bengal,18.258130027039368
Aurangabad,Bihar,18.255102457499184
Rajkot,Gujarat,18.23927454775029
Cachar,Assam,18.140456924041366
Ahmadabad,Gujarat,18.117122356772818
Aurangabad,Bihar,18.09924752686318
Bahraich,Uttar Pradesh,18.077352963427945
Dibrugarh,Assam,18.06823270299057
Prayagraj,Uttar Pradesh,18.06694088316479
Chamoli,Uttarakhand,18.05798993917151
Darjiling,West Bengal,18.01898148587533
Jalpaiguri,West Bengal,18.00303602720487
Azamgarh,Uttar Pradesh,17.951289130056143
Pashchim Champaran,Bihar,17.92933849820152
Amravati,Maharashtra,17.907707348841942
Medinipur West,West Bengal,17.869045637008952
Samastipur,Bihar,17.76199430185416
Darbhanga,Bihar,17.744619139380248
Alappuzha,Kerala,17.725461969849633
Surat,Gujarat,17.686867251651705
Kachchh,Gujarat,17.66899887709203
Shimla,Himachal Pradesh,17.6226469397165
Bhagalpur,Bihar,17.604486494190635
Madhubani,Bihar,17.604319048943815
Raigarh,Chhattisgarh,17.570758110656712
Bharuch,Gujarat,17.568946762319865
Nanded,Maharashtra,17.5598713904459
Hamirpur,Uttar Pradesh,17.536827590186714
Nadia,West Bengal,17.534500094496988
Dhemaji,Assam,17.531994905456393
Pune,Maharashtra,17.524811977180292
Kamrup,Assam,17.51092316732499
Sitapur,Uttar Pradesh,17.504226814413553
Deoria,Uttar Pradesh,17.491668267861357
Kheri,Uttar Pradesh,17.48620569437293
Hooghly,West Bengal,17.48618759234521
Agra,Uttar Pradesh,17.46347311350804
Ganjam,Odisha,17.46172971322325
Cuttack,Odisha,17.44880793951162
Begusarai,Bihar,17.41078092869951
Katihar,Bihar,17.361725993584006
Thiruvananthapuram,Kerala,17.350365322366642
Bankura,West Bengal,17.31955291994364
Baleshwar,Odisha,17.31748221832247
Malappuram,Kerala,17.302052893954528
Raigarh,Chhattisgarh,17.301913666593386
Sawai Madhopur,Rajasthan,17.29473115217755
Nagaon,Assam,17.238952599430498
Kurnool,Andhra Pradesh,17.238126513748753
Basti,Uttar Pradesh,17.214701565903344
Varanasi,Uttar Pradesh,17.20928123007672
Visakhapatnam,Andhra Pradesh,17.206748814948707
Thrissur,Kerala,17.200701537959194
Bara Banki,Uttar Pradesh,17.20010241203816
Karimganj,Assam,17.19490183397846
Tinsukia,Assam,17.191385633985888
Kottayam,Kerala,17.17757331913893
Pratapgarh,Uttar Pradesh,17.176322542772045
Saran,Bihar,17.163889217193876
Hamirpur,Uttar Pradesh,17.140789966571763
Kolhapur,Maharashtra,17.133566360241808
Bharatpur,Rajasthan,17.131242714643918
Supaul,Bihar,17.111278582391943
Kannur,Kerala,17.10860522742122
Barpeta,Assam,17.072155278812332
Khagaria,Bihar,17.067464382639127
Etawah,Uttar Pradesh,17.067086494018813
Jammu,Jammu & Kashmir,17.046325534618752
Cooch Behar,West Bengal,17.04587802487752
Saharanpur,Uttar Pradesh,17.04140679871483
Ratnagiri,Maharashtra,17.025442396530302
East Godavari,Andhra Pradesh,17.021823993758144
Saharsa,Bihar,17.01851798654835
Thanjavur,Tamil Nadu,16.98285416233113
Meerut,Uttar Pradesh,16.977844683490805
Howrah,West Bengal,16.963762846672328
Pithoragarh,Uttarakhand,16.95882245057062
Junagadh,Gujarat,16.930629004549242
Gonda,Uttar Pradesh,16.927312735081465
Jaipur,Rajasthan,16.921200252666964
Sonitpur,Assam,16.918268535297507
Sivasagar,Assam,16.918155167420082
Uttarkashi,Uttarakhand,16.914467976234626
Parbhani,Maharashtra,16.906483978740717
Ernakulam,Kerala,16.88354555320735
Kullu,Himachal Pradesh,16.874404330835112
Lucknow,Uttar Pradesh,16.858658560379418
Faizabad,Uttar Pradesh,16.85165548633664
Kozhikode,Kerala,16.80782668073376
Goalpara,Assam,16.805708109763213
Jorhat,Assam,16.78312101435033
Rudraprayag,Uttarakhand,16.76850435872075
Gopalganj,Bihar,16.76771702942539
Raichur,Karnataka,16.75793281018545
Patiala,Punjab,16.73168616422408
Palakkad,Kerala,16.724680975555888
Vaishali,Bihar,16.699429152017437
Ballari,Karnataka,16.687776013211217
Jodhpur,Rajasthan,16.68515856127328
Uttara Kannada,Karnataka,16.67968267591538
Jaunpur,Uttar Pradesh,16.67693934713436
Dakshina Kannada,Karnataka,16.67252490434371
Balaghat,Madhya Pradesh,16.630218636838876
Chennai,Tamil Nadu,16.62215635244921
Pratapgarh,Uttar Pradesh,16.61975366631914
Birbhum,West Bengal,16.588413943958574
Sitamarhi,Bihar,16.54083412285714
Chandrapur,Maharashtra,16.530213646482306
Tiruchirappalli,Tamil Nadu,16.507546354019137
Golaghat,Assam,16.50027274094674
Aligarh,Uttar Pradesh,16.49352826124584
Darrang,Assam,16.49301020590384
Sindhudurg,Maharashtra,16.48929416640429
Bareilly,Uttar Pradesh,16.485703008265663
Jalaun,Uttar Pradesh,16.4785904772343
Solapur,Maharashtra,16.464257131913666
Bikaner,Rajasthan,16.457523131899894
Aurangabad,Maharashtra,16.453444018807634
Munger,Bihar,16.453027127776114
Muzaffarnagar,Uttar Pradesh,16.43435970342118
Ghazipur,Uttar Pradesh,16.433974169994748
Dhubri,Assam,16.416419374958934
West Godavari,Andhra Pradesh,16.38794981720737
Barmer,Rajasthan,16.36665709469927
Mathura,Uttar Pradesh,16.360129491585603
Purnia,Bihar,16.341519369758835
Dehradun,Uttarakhand,16.331394182480402
Nawada,Bihar,16.329761098405058
Bid,Maharashtra,16.327195488559887
Amritsar,Punjab,16.326198333448385
Aurangabad,Maharashtra,16.29758908817163
Balrampur,Uttar Pradesh,16.273890154213387
Kalaburagi,Karnataka,16.27130403580589
Hardoi,Uttar Pradesh,16.246358522053228
Dakshin Dinajpur,West Bengal,16.243608173190268
Unnao,Uttar Pradesh,16.230177745178764
Raigarh,Maharashtra,16.20634326085652
Jalgaon,Maharashtra,16.203766218047182
Moradabad,Uttar Pradesh,16.170468649462784
Nalanda,Bihar,16.16893638177635
Bulandshahr,Uttar Pradesh,16.156742626782666
Mandi,Himachal Pradesh,16.145166319236747
Araria,Bihar,16.139375553110227
Wayanad,Kerala,16.135483336003308
Jalandhar,Punjab,16.12634939775498
Kasaragod,Kerala,16.122794226826645
Budaun,Uttar Pradesh,16.11888766407801
Firozabad,Uttar Pradesh,16.085013203174043
Mirzapur,Uttar Pradesh,16.08213687752855
Banda,Uttar Pradesh,16.059900808320847
Kanpur Dehat,Uttar Pradesh,16.056076897408293
Sultanpur,Uttar Pradesh,16.055801690738456
Gaya,Bihar,16.047065958457697
Kanpur Nagar,Uttar Pradesh,16.037032577580113
Alwar,Rajasthan,16.035513548288417
Gadchiroli,Maharashtra,16.028387315575035
Hamirpur,Himachal Pradesh,16.006186764037174
Vadodara,Gujarat,15.994498844329868
Pathanamthitta,Kerala,15.993823606127968
Pali,Rajasthan,15.976500768955797
Vizianagaram,Andhra Pradesh,15.961001525134424
Kolkata,West Bengal,15.957336198809111
Krishna,Andhra Pradesh,15.957324083169675
Siwan,Bihar,15.941828102345882
Jalor,Rajasthan,15.941008821581091
Wardha,Maharashtra,15.93909113222713
Raigarh,Maharashtra,15.937498816793196
Morigaon,Assam,15.894310472731716
Fatehpur,Uttar Pradesh,15.880027904370005
Tonk,Rajasthan,15.834013405214002
Bundi,Rajasthan,15.82948386480906
Kangra,Himachal Pradesh,15.827797199316024
Surendranagar,Gujarat,15.827202884851877
Kishanganj,Bihar,15.818143694114555
Coimbatore,Tamil Nadu,15.81294135542745
Nashik,Maharashtra,15.8107558547062
Shahjahanpur,Uttar Pradesh,15.810738427976837
Bhandara,Maharashtra,15.806534648057134
Balrampur,Uttar Pradesh,15.795300126674809
Kheda,Gujarat,15.780664183908018
Hailakandi,Assam,15.767161467507034
Bhojpur,Bihar,15.752007841506035
Prakasam,Andhra Pradesh,15.737687231974204
Dharwad,Karnataka,15.72960889374524
Balrampur,Chhattisgarh,15.71565822290066
Bengaluru Rural,Karnataka,15.693701586601923
Pratapgarh,Rajasthan,15.69178815766196
Jhansi,Uttar Pradesh,15.684866276313064
Amreli,Gujarat,15.68483276196048
Cuddalore,Tamil Nadu,15.662049981665302
Bilaspur,Chhattisgarh,15.634530172393664
Ajmer,Rajasthan,15.626895014531897
Hamirpur,Himachal Pradesh,15.610149140422228
Madurai,Tamil Nadu,15.602727307977238
Madhepura,Bihar,15.593342755837629
Akola,Maharashtra,15.578364230579806
Gurdaspur,Punjab,15.565982611007676
Koraput,Odisha,15.560269755580746
Bhilwara,Rajasthan,15.558022770832022
Banas Kantha,Gujarat,15.557662783463703
Nalbari,Assam,15.551852487901126
Kinnaur,Himachal Pradesh,15.549731350637837
Valsad,Gujarat,15.547421370787786
Ramanathapuram,Tamil Nadu,15.515402596471082
Nagapattinam,Tamil Nadu,15.510547035317163
Mysuru,Karnataka,15.49929207355667
Viluppuram,Tamil Nadu,15.458700034241383
Churu,Rajasthan,15.457609817828727
Kannauj,Uttar Pradesh,15.449324962770856
Bangalore,Karnataka,15.439242120141657
Sangli,Maharashtra,15.438451271929043
Bijapur,Chhattisgarh,15.438205824489648
Rohtas,Bihar,15.415270144390568
Bilaspur,Himachal Pradesh,15.413478259569072
Mainpuri,Uttar Pradesh,15.403048909170366
Amethi,Uttar Pradesh,15.387214003222002
Pilibhit,Uttar Pradesh,15.377845702339462
Aizawl,Mizoram,15.373862352432583
Karbi Anglong,Assam,15.362021962889797
Navsari,Gujarat,15.33375021700011
Purba Bardhaman,West Bengal,15.321666311237394
Anantapur,Andhra Pradesh,15.3202557247576
Sri Potti Sriramulu Nell*,Andhra Pradesh,15.305835568857868
Ludhiana,Punjab,15.295306737527335
Srikakulam,Andhra Pradesh,15.261049338054017
Balrampur,Chhattisgarh,15.237068195362085
Kendrapara,Odisha,15.214873218557004
Bidar,Karnataka,15.210263157247708
Kendujhar,Odisha,15.190476797786722
Banka,Bihar,15.16369520645247
Sambhal,Uttar Pradesh,15.160659531247893
West Nimar,Madhya Pradesh,15.15254210391885
Ganganagar,Rajasthan,15.146737991741976
Punch,Jammu & Kashmir,15.139791863648927
Sambalpur,Odisha,15.13820084693786
Gautam Buddha Nagar,Uttar Pradesh,15.137927295438988
Pratapgarh,Rajasthan,15.135219281209052
South Twenty Four Pargan*,West Bengal,15.125565011678852
Kasganj,Uttar Pradesh,15.10167008257926
Puri,Odisha,15.10138817904642
Mumbai,Maharashtra,15.096322280834936
Jaisalmer,Rajasthan,15.080382269472423
Gadag,Karnataka,15.077883110523665
Kokrajhar,Assam,15.045468181811822
Baran,Rajasthan,15.039160483347256
Sirsa,Haryana,15.03133710706316
Bijnor,Uttar Pradesh,15.029465062390958
Bhadrak,Odisha,15.017488855468349
Mayurbhanj,Odisha,15.016612155483823
Buxar,Bihar,15.01252575840675
Bilaspur,Chhattisgarh,15.010063257516087
Bongaigaon,Assam,15.001631836615058
Baramula,Jammu & Kashmir,14.999944827865958
Jalna,Maharashtra,14.992897194017871
Lakhisarai,Bihar,14.989151061334136
Sheohar,Bihar,14.98702657896984
Farrukhabad,Uttar Pradesh,14.975491783899162
Belagavi,Karnataka,14.974630688320827
Kaimur (bhabua),Bihar,14.971136972647972
Chittoor,Andhra Pradesh,14.968531993958036
Amroha,Uttar Pradesh,14.964340640710867
Kalahandi,Odisha,14.95201812997386
Firozpur,Punjab,14.946469180526158
Patan,Gujarat,14.916492724107847
Chamba,Himachal Pradesh,14.895307241291423
Ghaziabad,Uttar Pradesh,14.894861635598293
Bhavnagar,Gujarat,14.866710246249184
Salem,Tamil Nadu,14.8645723747814
Etah,Uttar Pradesh,14.857222982218246
Tiruvannamalai,Tamil Nadu,14.853012994402956
Mahesana,Gujarat,14.85260955635632
Baksa,Assam,14.8521292715311
Haveri,Karnataka,14.846701945959106
Jehanabad,Bihar,14.842210309592142
Hisar,Haryana,14.841568140078657
Dhenkanal,Odisha,14.83228359745756
Idukki,Kerala,14.830320339480933
Palghar,Maharashtra,14.821020652118024
Sirmaur,Himachal Pradesh,14.806329363348578
Yadgir,Karnataka,14.804164824424284
Raisen,Madhya Pradesh,14.793973354915757
Uttar Dinajpur,West Bengal,14.792902568137231
Bilaspur,Himachal Pradesh,14.789011344691492
Buldana,Maharashtra,14.778399410216522
West Tripura,Tripura,14.77717186516576
Rewa,Madhya Pradesh,14.768595828074591
Garhwal,Uttarakhand,14.763560782047266
Anantnag,Jammu & Kashmir,14.756466762456736
Raipur,Chhattisgarh,14.7538608107357
Chandauli,Uttar Pradesh,14.75193730729792
Anand,Gujarat,14.750432819149474
Kandhamal,Odisha,14.724730115877072
Hojai,Assam,14.688703399179165
Kollam,Kerala,14.687865175552338
Sagar,Madhya Pradesh,14.673597686558567
Pulwama,Jammu & Kashmir,14.653153505632142
Sant Kabir Nagar,Uttar Pradesh,14.638923672830568
Erode,Tamil Nadu,14.637086139673444
Shrawasti,Uttar Pradesh,14.636054820548718
Jajapur,Odisha,14.634660263004424
Mandya,Karnataka,14.626883248678867
Auraiya,Uttar Pradesh,14.613329857835854
Rampur,Uttar Pradesh,14.611820675964706
Jhalawar,Rajasthan,14.608564014472394
Arwal,Bihar,14.60179082289652
Kodagu,Karnataka,14.593232577967798
Chitradurga,Karnataka,14.586114591603268
Rae Bareli,Uttar Pradesh,14.578343910610434
Shivamogga,Karnataka,14.573367465271405
Davanagere,Karnataka,14.5671206333669
Udalguri,Assam,14.55326951500184
Rupnagar,Punjab,14.55015296383351
Kolar,Karnataka,14.532189534439569
Kushinagar,Uttar Pradesh,14.5257316692209
Panch Mahals,Gujarat,14.51254197973977
Solan,Himachal Pradesh,14.504602095216216
Charaideo,Assam,14.498483193678696
Doda,Jammu & Kashmir,14.487666525517204
Yavatmal,Maharashtra,14.48260719028669
Chitrakoot,Uttar Pradesh,14.4798686527041
Upper Siang,Arunachal Pradesh,14.46874306085235
Jabalpur,Madhya Pradesh,14.46779199915463
Koppal,Karnataka,14.465288797483144
Kaushambi,Uttar Pradesh,14.462724521248196
Dindigul,Tamil Nadu,14.460504975996663
Hassan,Karnataka,14.452359136779716
Kapurthala,Punjab,14.437077915657298
Sikar,Rajasthan,14.433744535144232
Bathinda,Punjab,14.432439103601508
Sirohi,Rajasthan,14.414967587255116
Ambala,Haryana,14.403936732301004
Biswanath,Assam,14.377846930502969
Ambedkar Nagar,Uttar Pradesh,14.34664676935026
