Dist_Name,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area
Adilabad,174,0,802880,8.0,1.209758847,0.22104424,0.988714607
Agar Malwa,2,0,702666,6.0,0.53688887,0.338892414,0.197996456
Agra,133,32,5296620,20.0,4.133356464,0.10192976,4.031426704
Ahmadabad,177,23,8738876,12.0,4.222292965,0.122458085,4.09983488
Ahmadnagar,50,18,5113145,4.0,0.691347983,0.697616588,0.006268605
Aizawl,154,42,483635,2.0,2.162077627,0.096288881,2.065788746
Ajmer,135,23,2985855,4.0,0.260510002,0.05695381,0.203556192
Akola,106,14,2032614,4.0,0.880057177,0.274621796,0.605435381
Alappuzha,170,70,2167462,5.0,21.06652893,8.660110439,12.40641849
Aligarh,97,22,4376425,24.0,1.93292949,0.006094499,1.926834991
Alipurduar,19,0,1381430,5.0,4.056971682,0.017650059,4.039321623
Alirajpur,7,0,917115,5.0,0.872416618,0.738663983,0.133752635
"Almora
",0,0,618943,,0.649027255,0.000454012,0.648573243
Alwar,102,15,4491235,14.0,0.348076896,0.005601607,0.342475289
Ambala,36,11,1296203,5.0,4.251029067,0.0,4.251029067
Ambedkar Nagar,44,0,2918048,22.0,3.80490503,0.342207082,3.462697948
Amethi,49,6,3139220,21.0,2.870234132,0.0,2.870234132
Amravati,430,34,3195039,5.0,1.132570579,0.452234552,0.680336027
Amreli,224,10,1650731,18.0,0.551647653,0.455725673,0.09592198
Amritsar,117,21,2748187,7.0,2.592469047,0.034259992,2.558209055
Amroha,54,3,2208108,24.0,3.77465624,0.02670143,3.74795481
Anand,42,1,2767476,22.0,5.640448142,0.236729361,5.403718781
Anantapur,118,1,4537583,10.0,0.698641838,0.216018195,0.482623643
Anantnag,81,44,1290100,4.0,0.462302357,0.159500867,0.30280149
Anjaw,5,1,24066,5.0,1.599292296,0.251543379,1.347748917
Anugul,24,0,1393181,34.0,1.964959616,1.692681852,0.272277764
Anuppur,2,0,902339,9.0,0.69532992,0.16785608,0.52747384
Araria,162,0,3634320,23.0,6.399493143,0.0,6.399493143
Aravalli,39,1,1276998,24.0,1.017301706,0.334042991,0.683258715
Ariyalur,23,4,772923,7.0,2.450977499,0.08746038,2.363517119
Arwal,85,0,591972,27.0,22.2718737,0.595563792,21.67630991
Ashoknagar,6,4,1071470,6.0,1.106305566,0.886532248,0.219773318
Auraiya,46,1,1619128,24.0,6.808487542,0.145826885,6.662660657
Aurangabad,301,46,3160597,13.0,2.741713494,0.192197924,2.54951557
Aurangabad,301,46,3160597,13.0,0.75855332,0.771925606,0.013372286
Aurangabad,301,46,4525057,13.0,2.741713494,0.192197924,2.54951557
Aurangabad,301,46,4525057,13.0,0.75855332,0.771925606,0.013372286
Azamgarh,257,11,5177742,20.0,6.067454778,0.055490347,6.011964431
Badgam,51,11,992328,6.0,3.988476641,0.182326085,3.806150556
Bagalkote,67,4,2065589,14.0,1.462562203,1.460163536,0.002398667
Bageshwar,40,13,256564,2.0,0.57268385,0.001914048,0.570769802
Baghpat,58,0,1340897,26.0,4.30209073,0.0,4.30209073
Bahraich,225,32,4156731,15.0,4.089125081,0.40923834,3.679886741
Baksa,51,1,1258285,7.0,3.829965692,0.097900998,3.732064694
Balaghat,118,108,1884118,6.0,1.159502036,0.086946009,1.072556027
Balangir,25,0,2028038,32.0,1.245116533,0.149789566,1.095326967
Baleshwar,220,5,2513933,16.0,12.64357177,3.878298705,8.765273065
Ballari,147,30,2961339,8.0,1.132672375,0.584051989,0.548620386
Ballia,312,13,3696633,18.0,14.2259764,0.925904877,13.30007152
Balod,0,0,961306,3.0,0.692282824,0.717205888,0.024923064
Baloda Bazar,0,0,1681629,2.0,3.669338228,0.368934666,3.300403562
Balrampur,58,26,853775,20.0,0.665330167,0.022677673,0.642652494
Balrampur,58,26,853775,20.0,4.434421195,0.059511194,4.374910001
Balrampur,58,26,2570002,20.0,0.665330167,0.022677673,0.642652494
