id,objectid,state,stcode,district,dtcode,shape_length,shape_area,ds_name,src_agency,state_name
377,377,MN,14,Kamjong,717,230554.29191157038,2225794048.57499,Administrative Boundary,Survey of India (SOI),Manipur
378,378,MP,23,Anuppur,390,558872.8413233353,3623848651.219041,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
379,379,MP,23,Ashoknagar,391,427264.9891107919,4554179421.196586,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
380,380,MP,23,Balaghat,392,707216.3873542913,8900542725.364841,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
396,396,MP,23,Harda,408,309255.3830323403,3213779734.5141964,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
397,397,MP,23,Narmadapuram,409,569106.8733022104,6432138820.474316,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
398,398,MP,23,Indore,410,513869.5309880867,3759722487.977282,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
399,399,MP,23,Jabalpur,411,570813.5218545281,4901183134.938284,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
400,400,MP,23,Jhabua,412,340149.2942706253,3312081736.3977804,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
401,401,MP,23,Katni,413,622065.2301023597,4853040434.63407,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
402,402,MP,23,Khargone,414,675412.7209271983,7721664830.8442335,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
403,403,MP,23,Mandla,415,699235.0168510713,7175672693.596525,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
503,503,PY,34,Pondicherry,600,333810.6762151293,303864801.8328308,Administrative Boundary,Survey of India (SOI),Puducherry
504,504,PY,34,Yanam,601,38726.091152680536,36933324.50478104,Administrative Boundary,Survey of India (SOI),Puducherry
521,521,RJ,08,Jaipur,102,843721.5048482525,10739840567.998528,Administrative Boundary,Survey of India (SOI),Rajasthan
522,522,RJ,08,Jaisalmer,103,1152163.2815805923,37060761714.57551,Administrative Boundary,Survey of India (SOI),Rajasthan
523,523,RJ,08,Jalore,104,734412.6976531631,10237217034.685947,Administrative Boundary,Survey of India (SOI),Rajasthan
524,524,RJ,08,Jhalawar,105,749209.3554154993,6096593825.763745,Administrative Boundary,Survey of India (SOI),Rajasthan
525,525,RJ,08,Jhunjhunu,106,511249.63912691566,5717752775.050811,Administrative Boundary,Survey of India (SOI),Rajasthan
526,526,RJ,08,Jodhpur,107,1035229.1840036344,21857134941.98634,Administrative Boundary,Survey of India (SOI),Rajasthan
527,527,RJ,08,Karauli,108,521932.2396616785,4836638838.827777,Administrative Boundary,Survey of India (SOI),Rajasthan
528,528,RJ,08,Kota,109,614406.7122635125,4903424828.285047,Administrative Boundary,Survey of India (SOI),Rajasthan
529,529,RJ,08,Nagaur,110,954835.0758398832,17162796010.219244,Administrative Boundary,Survey of India (SOI),Rajasthan
530,530,RJ,08,Pali,111,870296.9798784581,11916340369.439003,Administrative Boundary,Survey of India (SOI),Rajasthan
531,531,RJ,08,Rajsamand,112,712155.2636188829,4454350393.675214,Administrative Boundary,Survey of India (SOI),Rajasthan
532,532,RJ,08,Sawai Madhopur,113,570119.838399867,4838069351.349286,Administrative Boundary,Survey of India (SOI),Rajasthan
