Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,photo,shape_le_1,Dataset_Name
Phase 1,Arunanchal Pradesh,AR,East Siang,Ruksin ADC,Data Partially Available,AR2BESG0001,27.86073317,95.24570345,Brahamaputra,Brahmaputra Upper,Lohit/ Tellu,Ponds,1.91323286,19132.328569515656,572.4127082000656,No,No,No,No,Data Partially Available,NWIC,1,1,18303.0,12,232,1653,999999,2B,2B,BRU,BRU,WS2BBRU041,,01,,,,,,,,0.0,0.0,,,,,,0,572.4127082000656,District Water Body Atlas
Phase 1,Arunanchal Pradesh,AR,Lower Dibang Valley,Koronu Circle,Data Partially Available,AR2BLDV0004,28.14558541,95.93186349,Brahamaputra,Brahmaputra Upper,Kundil,Ponds,1.67868719,16786.87190020594,597.1553109170923,No,No,No,No,Data Partially Available,NWIC,5,5,18307.0,12,235,1727,999999,2B,2B,BRU,BRU,WS2BBRU040,,01,,,,,,,,0.0,0.0,,,,,,0,597.1553109170923,District Water Body Atlas
Phase 1,Arunanchal Pradesh,AR,Lower Dibang Valley,Roing HQ,Data Partially Available,AR2BLDV0005,28.05791738,95.73380975,Brahamaputra,Brahmaputra Upper,Kundil,Lakes,1.27298386,12729.838642081928,447.78846769993805,No,No,No,No,Data Partially Available,NWIC,6,6,18308.0,12,235,1724,999999,2B,2B,BRU,BRU,WS2BBRU040,,03,,,,,,,,0.0,0.0,,,,,,0,447.78846769993805,District Water Body Atlas
Phase 1,Arunanchal Pradesh,AR,Papum Pare,Gumto Circle,Data Partially Available,AR2BPPM0007,27.13266708,93.77076035,Brahamaputra,Brahmaputra Upper,Dikrang,Ponds,2.21565986,22156.598576395707,620.353486769263,No,No,No,No,,NWIC,20,20,26975.0,12,237,6602,999999,2B,2B,BRU,BRU,WS2BBRU084,,01,,,,,,,,0.0,0.0,,,,,,0,620.353486769263,District Water Body Atlas
Phase 1,Arunanchal Pradesh,AR,Papum Pare,Banderdewa Circle,Data Partially Available,AR2BPPM0009,27.04228281,93.75317661,Brahamaputra,Brahmaputra Lower,Brahmaputra,Ponds,1.24080372,12408.037206108842,561.1032953820295,No,No,No,No,,NWIC,22,22,26977.0,12,237,6603,999999,2B,2B,BRL,BRL,WS2BBRL002,,01,,,,,,,,0.0,0.0,,,,,,0,561.1032953820295,District Water Body Atlas
Phase 1,Arunanchal Pradesh,AR,Papum Pare,Banderdewa Circle,Data Partially Available,AR2BPPM0010,27.03666338,93.74271502,Brahamaputra,Brahmaputra Lower,Brahmaputra,Ponds,1.22906488,12290.648761559292,549.8900115904842,No,No,No,No,,NWIC,23,23,26978.0,12,237,6603,999999,2B,2B,BRL,BRL,WS2BBRL002,,01,,,,,,,,0.0,0.0,,,,,,0,549.8900115904842,District Water Body Atlas
Phase 1,Arunanchal Pradesh,AR,Lower Dibang Valley,Desali Circle,Data Partially Available,AR2BLDV0001,28.52866312,96.25020335,Brahamaputra,Brahmaputra Upper,Ithun,Ponds,4.79353513,47935.351330994636,881.5067058647923,No,No,No,No,Data Partially Available,NWIC,2,2,18304.0,12,235,6569,999999,2B,2B,BRU,BRU,WS2BBRU010,,01,,,,,,,,0.0,0.0,,,,,,0,881.5067058647923,District Water Body Atlas
Phase 1,Arunanchal Pradesh,AR,Lower Dibang Valley,Roing HQ,Data Partially Available,AR2BLDV0002,28.0621947,95.73087165,Brahamaputra,Brahmaputra Upper,Dibang,Lakes,1.06443178,10644.317753631032,569.7054918520535,No,No,No,No,Data Partially Available,NWIC,3,3,18305.0,12,235,1724,999999,2B,2B,BRU,BRU,WS2BBRU011,,03,,,,,,,,0.0,0.0,,,,,,0,569.7054918520535,District Water Body Atlas
Phase 1,Arunanchal Pradesh,AR,Lower Dibang Valley,Roing HQ,Data Partially Available,AR2BLDV0003,27.99434707,95.88706872,Brahamaputra,Brahmaputra Upper,Kundil,Ponds,1.08449105,10844.910545421902,404.64299469987753,No,No,No,No,Data Partially Available,NWIC,4,4,18306.0,12,235,1724,999999,2B,2B,BRU,BRU,WS2BBRU040,,01,,,,,,,,0.0,0.0,,,,,,0,404.64299469987753,District Water Body Atlas
Phase 1,Arunanchal Pradesh,AR,Lower Dibang Valley,Roing HQ,Data Partially Available,AR2BLDV0006,27.993018059999997,95.81488099,Brahamaputra,Brahmaputra Upper,Kundil,Lakes,1.08296652,10829.665218714144,573.3707851473108,No,No,No,No,Data Partially Available,NWIC,7,7,23968.0,12,235,1724,999999,2B,2B,BRU,BRU,WS2BBRU040,,03,,,,,,,,0.0,0.0,,,,,,0,573.3707851473108,District Water Body Atlas
