Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,photo,shape_le_1,Dataset_Name
Phase 1,Dadra & Nagar Havelli And Daman & Diu,DD,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Ambabari,DD14DNH0012,20.17552554,73.14288884,West flowing rivers from Tapi to Tadri,West flowing rivers from Tapi to Tadri,Damanganga,Tanks,4315.10294236,43151029.423610106,168631.16095439842,No,No,No,No,Ambabari,NWIC,12,12,90092.0,38,465,3949,524971,14,14,BHT,BHT,WS14BHT028,Damanganga,02,,,,,,,,0.0,0.0,,,,,,0,168631.16095439842,District Water Body Atlas
Phase 1,Dadra & Nagar Havelli And Daman & Diu,DD,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Khadoli,DD14DNH0001,20.162569880000003,73.03596371,West flowing rivers from Tapi to Tadri,West flowing rivers from Tapi to Tadri,Damanganga,Ponds,4.981175879999999,49811.75881822393,1125.3223430628002,No,No,No,No,Khadoli,NWIC,1,1,23916.0,38,465,3949,524958,14,14,BHT,BHT,WS14BHT028,,01,,,,,,,,0.0,0.0,,,,,,0,1125.3223430628002,District Water Body Atlas
Phase 1,Dadra & Nagar Havelli And Daman & Diu,DD,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Morkhal,DD14DNH0003,20.30504535,73.10142684,West flowing rivers from Tapi to Tadri,West flowing rivers from Tapi to Tadri,Kolak,Ponds,1.85989589,18598.958904551884,563.3529929874943,No,No,No,No,Morkhal,NWIC,3,3,24158.0,38,465,3949,524936,14,14,BHT,BHT,WS14BHT046,,01,,,,,,,,0.0,0.0,,,,,,0,563.3529929874943,District Water Body Atlas
Phase 1,Dadra & Nagar Havelli And Daman & Diu,DD,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Umarkui,DD14DNH0002,20.26407921,73.0937155,West flowing rivers from Tapi to Tadri,West flowing rivers from Tapi to Tadri,Damanganga,Ponds,1.02707657,10270.765658062941,456.98493452131896,No,No,No,No,Umarkui,NWIC,2,2,23974.0,38,465,3949,524948,14,14,BHT,BHT,WS14BHT028,,01,,,,,,,,0.0,0.0,,,,,,0,456.98493452131896,District Water Body Atlas
Phase 1,Dadra & Nagar Havelli And Daman & Diu,DD,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Morkhal,DD14DNH0004,20.31616854,73.09834194,West flowing rivers from Tapi to Tadri,West flowing rivers from Tapi to Tadri,Kolak,Ponds,1.4193794,14193.794012606082,527.8989982679077,No,No,No,No,Morkhal,NWIC,4,4,24312.0,38,465,3949,524936,14,14,BHT,BHT,WS14BHT046,,01,,,,,,,,0.0,0.0,,,,,,0,527.8989982679077,District Water Body Atlas
Phase 1,Dadra & Nagar Havelli And Daman & Diu,DD,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Umarkui,DD14DNH0005,20.26125779,73.09494418999999,West flowing rivers from Tapi to Tadri,West flowing rivers from Tapi to Tadri,Damanganga,Ponds,1.6081156,16081.155950160022,483.39379581759243,No,No,No,No,,NWIC,5,5,26966.0,38,465,3949,524948,14,14,BHT,BHT,WS14BHT028,,01,,,,,,,,0.0,0.0,,,,,,0,483.39379581759243,District Water Body Atlas
Phase 1,Dadra & Nagar Havelli And Daman & Diu,DD,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Luhari,DD14DNH0006,20.21142683,72.96628429,West flowing rivers from Tapi to Tadri,West flowing rivers from Tapi to Tadri,Kalu/Darota,Ponds,1.03847867,10384.786657141443,457.1637929079488,No,No,No,No,,NWIC,6,6,26967.0,38,465,3949,524954,14,14,BHT,BHT,WS14BHT047,Kuvari Lake,01,,,,,,,,0.0,0.0,,,,,,0,457.1637929079488,District Water Body Atlas
Phase 1,Dadra & Nagar Havelli And Daman & Diu,DD,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Surangi,DD14DNH0007,20.15919164,73.00016599,West flowing rivers from Tapi to Tadri,West flowing rivers from Tapi to Tadri,Damanganga,Ponds,1.51282488,15128.248808507167,603.5844549465775,No,Yes,No,Yes,,NWIC,7,7,26968.0,38,465,3949,524959,14,14,BHT,BHT,WS14BHT028,,01,,,,,,,,0.0,0.0,,,,,,0,603.5844549465775,District Water Body Atlas
Phase 1,Dadra & Nagar Havelli And Daman & Diu,DD,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Velugam,DD14DNH0008,20.13557531,72.98139773,West flowing rivers from Tapi to Tadri,West flowing rivers from Tapi to Tadri,Damanganga,Ponds,2.38190713,23819.07127970953,896.3024910211457,No,No,No,No,,NWIC,8,8,26969.0,38,465,3949,524961,14,14,BHT,BHT,WS14BHT028,,01,,,,,,,,0.0,0.0,,,,,,0,896.3024910211457,District Water Body Atlas
Phase 1,Dadra & Nagar Havelli And Daman & Diu,DD,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Tinoda,DD14DNH0009,20.15313145,73.05645363,West flowing rivers from Tapi to Tadri,West flowing rivers from Tapi to Tadri,Damanganga,Ponds,1.4353051,14353.051014995162,500.8552100645695,No,No,No,No,,NWIC,9,9,26970.0,38,465,3949,524964,14,14,BHT,BHT,WS14BHT028,,01,,,,,,,,0.0,0.0,,,,,,0,500.8552100645695,District Water Body Atlas
Phase 1,Dadra & Nagar Havelli And Daman & Diu,DD,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Kherdi,DD14DNH0010,20.107483249999998,73.03788447000001,West flowing rivers from Tapi to Tadri,West flowing rivers from Tapi to Tadri,Damanganga,Ponds,1.09297663,10929.766295935913,421.7548413778917,Yes,Yes,Yes,Yes,,NWIC,10,10,26971.0,38,465,3949,524985,14,14,BHT,BHT,WS14BHT028,,01,,,,,,,,0.0,0.0,,,,,,0,421.7548413778917,District Water Body Atlas
Phase 1,Dadra & Nagar Havelli And Daman & Diu,DD,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Parzai,DD14DNH0011,20.09470472,73.04015702,West flowing rivers from Tapi to Tadri,West flowing rivers from Tapi to Tadri,Damanganga,Ponds,1.17435195,11743.519452235592,481.7507394641299,No,No,No,No,,NWIC,11,11,26972.0,38,465,3949,524987,14,14,BHT,BHT,WS14BHT028,,01,,,,,,,,0.0,0.0,,,,,,0,481.7507394641299,District Water Body Atlas
Phase 1,Dadra & Nagar Havelli And Daman & Diu,DD,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Tighra,DD14DNH0013,20.31271088,72.96939108000001,West flowing rivers from Tapi to Tadri,West flowing rivers from Tapi to Tadri,Damanganga,Ponds,4.880161009999999,48801.610078512094,1540.4281032111192,No,No,No,No,Tighra,NWIC,13,13,90099.0,38,465,3949,524933,14,14,BHT,BHT,WS14BHT028,Vanganga Lake,01,,,,,,,,0.0,0.0,,,,,,0,1540.4281032111192,District Water Body Atlas
