Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,photo,shape_le_1,Dataset_Name
Phase 1,Goa,GA,North Goa,Pernem,Arambol CT,GA14NGO0040,15.67773131,73.70751059999999,West flowing rivers from Tapi to Tadri,Vasishti and others,Terekhol,Ponds,1.59391653,15939.165266915132,524.9772681575104,No,No,No,No,Arambol CT,NWIC,76,76,22904.0,30,551,5609,626658,14,14,VAS,VAS,WS14VAS047,,01,,,,,,,,0.0,0.0,,,,,,0,524.9772681575104,District Water Body Atlas
Phase 1,Goa,GA,North Goa,Tiswadi,Ella,GA14NGO0201,15.5185344,73.92768081999999,West flowing rivers from Tapi to Tadri,Vasishti and others,Mahadayi,Ponds,1.23286527,12328.652674453504,480.7037598807419,No,No,No,No,,NWIC,261,261,25339.0,30,551,5611,626714,14,14,VAS,VAS,WS14VAS033,,01,,,,,,,,0.0,0.0,,,,,,0,480.7037598807419,District Water Body Atlas
Phase 1,Goa,GA,North Goa,Tiswadi,Batim,GA14NGO0234,15.45732407,73.89224497000001,West flowing rivers from Tapi to Tadri,Vasishti and others,Mahadayi,Ponds,1.19688484,11968.84842228185,451.8882095135181,No,No,No,No,,NWIC,294,294,25372.0,30,551,5611,626722,14,14,VAS,VAS,WS14VAS033,,01,,,,,,,,0.0,0.0,,,,,,0,451.8882095135181,District Water Body Atlas
Phase 1,Goa,GA,South Goa,Salcete,Curtorim CT,GA14SGO0099,15.300550359999999,74.01504406,West flowing rivers from Tapi to Tadri,Vasishti and others,Sal,Ponds,1.10221603,11022.16026136211,441.5886815223833,No,No,No,No,Curtorim CT,NWIC,445,445,25523.0,30,552,5616,626926,14,14,VAS,VAS,WS14VAS035,,01,,,,,,,,0.0,0.0,,,,,,0,441.5886815223833,District Water Body Atlas
Phase 1,Goa,GA,North Goa,Ponda,Betqui,GA14NGO0011,15.49565939,73.9921914,West flowing rivers from Tapi to Tadri,Vasishti and others,Mahadayi,Ponds,2.78408674,27840.867370401935,768.2674669293101,No,No,No,No,Betqui,NWIC,11,11,22839.0,30,551,5614,626844,14,14,VAS,VAS,WS14VAS033,,01,,,,,,,,0.0,0.0,,,,,,0,768.2674669293101,District Water Body Atlas
Phase 1,Goa,GA,South Goa,Sanguem,Uguem,GA14SGO0024,15.243790200000001,74.1879197,West flowing rivers from Tapi to Tadri,Vasishti and others,Kushavati Or Paroda,Ponds,1.01875746,10187.574573992362,388.11492273164697,No,No,No,No,Uguem,NWIC,43,43,22871.0,30,552,5618,627003,14,14,VAS,VAS,WS14VAS034,,01,,,,,,,,0.0,0.0,,,,,,0,388.11492273164697,District Water Body Atlas
Phase 1,Goa,GA,South Goa,Salcete,Varca CT,GA14SGO0030,15.23987119,73.94979362000001,West flowing rivers from Tapi to Tadri,Vasishti and others,Sal,Ponds,1.0034465,10034.46496233087,381.648354594017,Yes,Yes,Yes,Yes,Varca CT,NWIC,51,51,22879.0,30,552,5616,626932,14,14,VAS,VAS,WS14VAS035,,01,,,,,,,,0.0,0.0,,,,,,0,381.648354594017,District Water Body Atlas
Phase 1,Goa,GA,South Goa,Salcete,Curtorim CT,GA14SGO0055,15.29832014,74.01436727000001,West flowing rivers from Tapi to Tadri,Vasishti and others,Sal,Ponds,1.39487799,13948.77994662711,477.7446962471837,No,No,No,No,Curtorim CT,NWIC,107,107,25185.0,30,552,5616,626926,14,14,VAS,VAS,WS14VAS035,,01,,,,,,,,0.0,0.0,,,,,,0,477.7446962471837,District Water Body Atlas
Phase 1,Goa,GA,North Goa,Bardez,Arpora,GA14NGO0110,15.568927319999998,73.75679024,West flowing rivers from Tapi to Tadri,Vasishti and others,Mahadayi,Ponds,1.26294931,12629.493112257553,442.42860178431334,No,No,No,No,,NWIC,170,170,25248.0,30,551,5610,626673,14,14,VAS,VAS,WS14VAS033,,01,,,,,,,,0.0,0.0,,,,,,0,442.42860178431334,District Water Body Atlas
Phase 1,Goa,GA,North Goa,Bicholim,Carapur CT,GA14NGO0121,15.566547629999999,74.03419228,West flowing rivers from Tapi to Tadri,Vasishti and others,Mahadayi,Ponds,1.7377395,17377.395041485473,574.2751951483677,No,No,No,No,,NWIC,181,181,25259.0,30,551,5612,626763,14,14,VAS,VAS,WS14VAS033,,01,,,,,,,,0.0,0.0,,,,,,0,574.2751951483677,District Water Body Atlas
