Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,photo,shape_le_1,Dataset_Name
Phase 1,Himachal Pradesh,HP,Kangra,Indora,Palahta,HP01KNG0018,32.064342460000006,75.75024488000001,Indus (Up to border),Beas,Beas,Ponds,1.90325273,19032.52731225162,723.842355479009,Yes,Yes,Yes,No,Palahta,NWIC,31,31,32119.0,02,018,0094,008779,01,01,BEA,BEA,WS01BEA023,,01,,,,,,,,0.0,0.0,,,,,,0,723.842355479009,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Indora,Khanpur,HP01KNG0019,32.09740487,75.64716414,Indus (Up to border),Beas,Beas,Ponds,10.66314204,106631.42040551497,2141.3092110588477,No,No,No,No,Khanpur,NWIC,32,32,32120.0,02,018,0094,008789,01,01,BEA,BEA,WS01BEA023,,01,,,,,,,,0.0,0.0,,,,,,0,2141.3092110588477,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Mandi,Sundarnagar,Data Partially Available,HP01MND0009,31.37668755,76.86504918,Indus (Up to border),Satluj Upper,Satluj,Tanks,437.67421150999996,4376742.115088025,19491.457264880763,No,No,No,No,Data Partially Available,NWIC,42,42,32130.0,02,022,0132,999999,01,01,SUU,SUU,WS01SUU027,Kol,02,,,,,,,,0.0,0.0,,,,,,0,19491.457264880763,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Indora,Barota,HP01KNG0034,32.051044420000004,75.73505813,Indus (Up to border),Beas,Beas,Ponds,1.03457975,10345.797461050255,403.5327246399057,No,No,No,No,,NWIC,56,56,32144.0,02,018,0094,008798,01,01,BEA,BEA,WS01BEA023,,01,,,,,,,,0.0,0.0,,,,,,0,403.5327246399057,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Mandi,Chachyot,Bakhli,HP01MND0011,31.67178488,77.07433239999999,Indus (Up to border),Beas,Charagtti Nal,Tanks,106.9310716,1069310.7160212165,11389.814556535513,No,No,No,No,Bakhli,NWIC,44,44,32132.0,02,022,0137,015306,01,01,BEA,BEA,WS01BEA008,Pandoh,02,,,,,,,,0.0,0.0,,,,,,0,11389.814556535513,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Sirmaur,Paonta Sahib,Data Partially Available,HP2ASRM0001,30.5036356,77.80016532,Ganga,Yamuna Upper,Asan (Tons),Tanks,53.035470610000004,530354.7061478569,3219.720307310323,No,No,No,No,Data Partially Available,NWIC,1,1,32071.0,02,024,0173,999999,2A,2A,YAU,YAU,WS2AYAU013,Dakpatthar Barrage,02,,,,,,,,0.0,0.0,,,,,,0,3219.720307310323,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Mandi,Padhar,Thuji,HP01MND0001,32.03741738,76.84324438,Indus (Up to border),Beas,Uhl,Tanks,3.32756264,33275.62637314218,1047.4983006047953,No,No,No,No,Thuji,NWIC,2,2,32090.0,02,022,0123,012999,01,01,BEA,BEA,WS01BEA009,Uhl,02,,,,,,,,0.0,0.0,,,,,,0,1047.4983006047953,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Mandi,Padhar,Dharangan,HP01MND0002,32.0344148,76.84686698,Indus (Up to border),Beas,Uhl,Ponds,2.33766803,23376.680334772194,596.6834980746152,No,No,No,No,Dharangan,NWIC,3,3,32091.0,02,022,0123,013000,01,01,BEA,BEA,WS01BEA009,,01,,,,,,,,0.0,0.0,,,,,,0,596.6834980746152,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Mandi,Mandi,Rawalsar,HP01MND0003,31.63421733,76.83337909999999,Indus (Up to border),Beas,Kansa Khola,Ponds,3.74618089,37461.80885196011,723.8675511030533,No,No,No,No,Rawalsar,NWIC,4,4,32092.0,02,022,0133,248226,01,01,BEA,BEA,WS01BEA010,,01,,,,,,,,0.0,0.0,,,,,,0,723.8675511030533,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Mandi,Mandi,Sar Ki Dhar,HP01MND0004,31.63514095,76.81442990000001,Indus (Up to border),Beas,Kansa Khola,Ponds,3.94382808,39438.28082599578,770.1305956417009,No,No,No,No,Sar Ki Dhar,NWIC,5,5,32093.0,02,022,0133,014564,01,01,BEA,BEA,WS01BEA010,,01,,,,,,,,0.0,0.0,,,,,,0,770.1305956417009,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Mandi,Mandi,Nalsar,HP01MND0005,31.58512414,76.95895442,Indus (Up to border),Beas,Kansa Khola,Ponds,3.18574863,31857.486326679875,667.1279251852214,No,No,No,No,Nalsar,NWIC,6,6,32094.0,02,022,0133,014720,01,01,BEA,BEA,WS01BEA010,,01,,,,,,,,0.0,0.0,,,,,,0,667.1279251852214,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Solan,Arki,Data Partially Available,HP01SLN0001,31.08106691,76.97275025,Indus (Up to border),Satluj Upper,Gambhar,Ponds,1.38461351,13846.135120651581,447.0288053281784,No,No,No,No,Data Partially Available,NWIC,7,7,32095.0,02,025,0158,999999,01,01,SUU,SUU,WS01SUU030,,01,,,,,,,,0.0,0.0,,,,,,0,447.0288053281784,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Solan,Nalagarh,Data Partially Available,HP01SLN0002,31.047036690000002,76.6663936,Indus (Up to border),Satluj Lower,Sirsa,Ponds,1.2924939,12924.938951127157,640.3485829645027,Yes,No,Yes,No,Data Partially Available,NWIC,8,8,32096.0,02,025,0161,999999,01,01,SUL,SUL,WS01SUL003,,01,,,,,,,,0.0,0.0,,,,,,0,640.3485829645027,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Solan,Nalagarh,Data Partially Available,HP01SLN0003,30.99999404,76.69155261,Indus (Up to border),Satluj Lower,Sirsa,Ponds,1.3440974,13440.974043495073,636.9561488158819,Yes,Yes,Yes,Yes,Data Partially Available,NWIC,9,9,32097.0,02,025,0161,999999,01,01,SUL,SUL,WS01SUL003,,01,,,,,,,,0.0,0.0,,,,,,0,636.9561488158819,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Solan,Baddi,Data Partially Available,HP01SLN0004,31.01763558,76.77622634000001,Indus (Up to border),Satluj Lower,Sirsa,Ponds,1.49631514,14963.151428314897,672.0678204354721,No,No,No,No,Data Partially Available,NWIC,10,10,32098.0,02,025,0162,999999,01,01,SUL,SUL,WS01SUL003,,01,,,,,,,,0.0,0.0,,,,,,0,672.0678204354721,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Dera Gopipur,Sanot,HP01KNG0001,31.95134623,75.92359661,Indus (Up to border),Beas,Beas,Ponds,3.42709936,34270.99364191992,753.5816023175851,No,No,No,No,Sanot,NWIC,11,11,32099.0,02,018,0103,010425,01,01,BEA,BEA,WS01BEA021,,01,,,,,,,,0.0,0.0,,,,,,0,753.5816023175851,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Indora,Serat,HP01KNG0002,32.21822336,75.64608317,Indus (Up to border),Beas,Beas,Ponds,2.19973331,21997.333099985015,631.185302576638,No,No,No,Yes,Serat,NWIC,12,12,32100.0,02,018,0094,008688,01,01,BEA,BEA,WS01BEA023,,01,,,,,,,,0.0,0.0,,,,,,0,631.185302576638,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Indora,Serat,HP01KNG0003,32.216745460000006,75.64554018,Indus (Up to border),Beas,Beas,Ponds,2.80964695,28096.469457388193,716.8383107944894,No,No,No,No,Serat,NWIC,13,13,32101.0,02,018,0094,008688,01,01,BEA,BEA,WS01BEA023,,01,,,,,,,,0.0,0.0,,,,,,0,716.8383107944894,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Indora,Khanpur,HP01KNG0004,32.08897668,75.65472053,Indus (Up to border),Beas,Beas,Ponds,3.37797265,33779.72654824191,847.66156111508,No,No,No,No,Khanpur,NWIC,14,14,32102.0,02,018,0094,008789,01,01,BEA,BEA,WS01BEA023,,01,,,,,,,,0.0,0.0,,,,,,0,847.66156111508,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Sirmaur,Nahan,Rukhri,HP01SRM0002,30.51335194,77.3519599,Indus (Up to border),Ghaghar and others,Markanda,Ponds,4.9656858,49656.85798219209,1021.6902171458853,No,No,No,No,Rukhri,NWIC,15,15,32103.0,02,024,0172,023230,01,01,GHO,GHO,WS01GHO004,,01,,,,,,,,0.0,0.0,,,,,,0,1021.6902171458853,District Water Body Atlas
