Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,photo,shape_le_1,Dataset_Name
Phase 1,Kerala,KL,Thrissur,Kodungallur,Methala CT,KL15TSR0009,10.21981684,76.19787898,West flowing rivers from Tadri to Kanyakumari,Periyar and others,Periyar,Ponds,1.01769733,10176.973253167918,404.14346942683244,No,No,No,No,Methala CT,NWIC,68,68,46251.0,32,566,5655,627882,15,15,PAR,PAR,WS15PAR025,,01,,,,,,,,0.0,0.0,,,,,,0,404.14346942683244,District Water Body Atlas
Phase 1,Kerala,KL,Thrissur,Thrissur,Thrissur,KL15TSR0192,10.56161765,76.24091781999999,West flowing rivers from Tadri to Kanyakumari,Varrar and others,Vadakkancheri Puzha/Aloor,Ponds,1.57845881,15784.588092419765,495.8960181117932,No,No,No,No,,NWIC,360,360,50176.0,32,566,5654,252194,15,15,VAR,VAR,WS15VAR020,,01,,,,,,,,0.0,0.0,,,,,,0,495.8960181117932,District Water Body Atlas
Phase 1,Kerala,KL,Thrissur,Chalakkudy,Pariyaram,KL15TSR0244,10.43886825,76.48010122,West flowing rivers from Tadri to Kanyakumari,Varrar and others,Kurumalli Puzha,Tanks,827.2082201300001,8272082.201278516,52155.97877826265,No,No,No,No,Pariyaram,NWIC,412,412,90121.0,32,566,5939,627903,15,15,VAR,VAR,WS15VAR019,Chimony Reservoir,02,,,,,,,,0.0,0.0,,,,,,0,52155.97877826265,District Water Body Atlas
Phase 1,Kerala,KL,Kozhikode,Koyilandi,Chakkittapara,KL15KOZ0039,11.57196057,75.84010907000001,West flowing rivers from Tadri to Kanyakumari,Varrar and others,Kuttyadi,Tanks,966.51426898,9665142.689761018,119023.45140948369,No,No,No,No,Chakkittapara,NWIC,413,413,90122.0,32,561,5639,627372,15,15,VAR,VAR,WS15VAR022,Kuttiyadi (Id) Reservoir,02,,,,,,,,0.0,0.0,,,,,,0,119023.45140948369,District Water Body Atlas
Phase 1,Kerala,KL,Thrissur,Thrissur,Peechi,KL15TSR0245,10.51060597,76.39607296,West flowing rivers from Tadri to Kanyakumari,Varrar and others,Kurumalli Puzha,Tanks,1048.48329995,10484832.999526752,128636.46920860118,No,No,No,No,Peechi,NWIC,414,414,90123.0,32,566,5654,627816,15,15,VAR,VAR,WS15VAR019,Peechi Reservoir,02,,,,,,,,0.0,0.0,,,,,,0,128636.46920860118,District Water Body Atlas
Phase 1,Kerala,KL,Malappuram,Tirurangadi,Ariyallur CT,KL15MLP0001,11.1016827,75.83670058,West flowing rivers from Tadri to Kanyakumari,Varrar and others,Kadalundi,Ponds,2.41479161,24147.916124169315,907.8130544466642,No,No,No,No,Ariyallur CT,NWIC,1,1,44877.0,32,562,5645,627544,15,15,VAR,VAR,WS15VAR018,,01,,,,,,,,0.0,0.0,,,,,,0,907.8130544466642,District Water Body Atlas
Phase 1,Kerala,KL,Thrissur,Chavakkad,Engandiyur,KL15TSR0001,10.52504051,76.04251421000001,West flowing rivers from Tadri to Kanyakumari,Varrar and others,Vadakkancheri Puzha/Aloor,Ponds,2.39848385,23984.83851843822,589.6967127547571,No,No,No,No,Engandiyur,NWIC,2,2,44878.0,32,566,5653,627789,15,15,VAR,VAR,WS15VAR020,,01,,,,,,,,0.0,0.0,,,,,,0,589.6967127547571,District Water Body Atlas
Phase 1,Kerala,KL,Kasaragod,Manjeswaram,Pavoor,KL15KSR0001,12.74288134,74.92977619,West flowing rivers from Tadri to Kanyakumari,Netravati and others,Uppala,Ponds,1.07451015,10745.10149425425,382.5448470074725,No,No,No,No,Pavoor,NWIC,3,3,46186.0,32,558,5932,627057,15,15,NET,NET,WS15NET029,,01,,,,,,,,0.0,0.0,,,,,,0,382.5448470074725,District Water Body Atlas
Phase 1,Kerala,KL,Kozhikode,Thamarassery,Kizhakkoth,KL15KOZ0001,11.39510834,75.89771108,West flowing rivers from Tadri to Kanyakumari,Varrar and others,Pannur Puzha,Ponds,1.17658298,11765.829789023956,397.500876561531,No,No,No,No,Kizhakkoth,NWIC,4,4,46187.0,32,561,5938,627403,15,15,VAR,VAR,WS15VAR023,,01,,,,,,,,0.0,0.0,,,,,,0,397.500876561531,District Water Body Atlas
Phase 1,Kerala,KL,Kozhikode,Kozhikode,Chelannur CT,KL15KOZ0002,11.34594528,75.79375024,West flowing rivers from Tadri to Kanyakumari,Varrar and others,Pannur Puzha,Ponds,1.90813055,19081.305536676082,677.9986484967422,No,No,No,No,Chelannur CT,NWIC,5,5,46188.0,32,561,5640,627422,15,15,VAR,VAR,WS15VAR023,,01,,,,,,,,0.0,0.0,,,,,,0,677.9986484967422,District Water Body Atlas
