Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,photo,shape_le_1,Dataset_Name
Phase 1,Meghalaya,ML,Ri Bhoi,Umling,Data Partially Available,ML2BRGH0007,26.000741759999997,91.80013052,Brahamaputra,Brahmaputra Lower,Kopili,Tanks,45.606984260000004,456069.8425809379,14453.113002890828,No,No,No,No,Data Partially Available,NWIC,11,11,85859.0,17,276,1985,999999,2B,2B,BRL,BRL,WS2BBRL040,Umtru,02,,,,,,,,0.0,0.0,,,,,,0,14453.113002890828,District Water Body Atlas
Phase 1,Meghalaya,ML,West Jaintia Hills,Amlarem,Data Partially Available,ML2CWJH0002,25.26634442,92.19665709,Barak and others,Kynchiang and other south flowing rivers,Myntdu,Tanks,59.966513150000004,599665.1314702926,10359.789860702323,No,No,No,No,Data Partially Available,NWIC,12,12,85860.0,17,275,1998,999999,2C,2C,KYN,KYN,WS2CKYN010,Myntdu Leshka Reservoir,02,,,,,,,,0.0,0.0,,,,,,0,10359.789860702323,District Water Body Atlas
Phase 1,Meghalaya,ML,Ri Bhoi,Umsning,Data Partially Available,ML2BRGH0009,25.77091236,91.86032757,Brahamaputra,Brahmaputra Lower,Umtru,Ponds,2.84465669,28446.56690833955,1115.7504088337057,No,No,No,No,Data Partially Available,NWIC,14,14,85862.0,17,276,1987,999999,2B,2B,BRL,BRL,WS2BBRL039,,01,,,,,,,,0.0,0.0,,,,,,0,1115.7504088337057,District Water Body Atlas
Phase 1,Meghalaya,ML,West Jaintia Hills,Thadlaskein,Data Partially Available,ML2BWJH0001,25.49698884,92.17309809,Brahamaputra,Brahmaputra Lower,Kopili,Lakes,3.5370099,35370.09896384169,766.456860027944,No,No,No,No,Data Partially Available,NWIC,1,1,85849.0,17,275,1996,999999,2B,2B,BRL,BRL,WS2BBRL029,,03,,,,,,,,0.0,0.0,,,,,,0,766.456860027944,District Water Body Atlas
Phase 1,Meghalaya,ML,Ri Bhoi,Umsning,Data Partially Available,ML2BRGH0001,25.72291779,92.03874996,Brahamaputra,Brahmaputra Lower,Umkhen,Ponds,1.19051823,11905.182277903348,461.1380926582874,No,No,No,No,Data Partially Available,NWIC,2,2,85850.0,17,276,1987,999999,2B,2B,BRL,BRL,WS2BBRL035,,01,,,,,,,,0.0,0.0,,,,,,0,461.1380926582874,District Water Body Atlas
Phase 1,Meghalaya,ML,East Garo Hills,Samanda,Data Partially Available,ML2CEGH0001,25.51840415,90.57086889,Barak and others,Kynchiang and other south flowing rivers,Someswari/Simsang,Ponds,3.23851643,32385.164316711704,1562.5536717268753,No,No,No,No,Data Partially Available,NWIC,3,3,85851.0,17,273,1974,999999,2C,2C,KYN,KYN,WS2CKYN004,,01,,,,,,,,0.0,0.0,,,,,,0,1562.5536717268753,District Water Body Atlas
Phase 1,Meghalaya,ML,South West Garo Hills,Zikzak,Data Partially Available,ML2CSWG0001,25.36230674,89.85070808,Barak and others,Kynchiang and other south flowing rivers,Bandra,Lakes,1.97338637,19733.863652577762,589.0415843704673,No,No,No,No,Data Partially Available,NWIC,4,4,85852.0,17,663,1967,999999,2C,2C,KYN,KYN,WS2CKYN001,,03,,,,,,,,0.0,0.0,,,,,,0,589.0415843704673,District Water Body Atlas
Phase 1,Meghalaya,ML,Ri Bhoi,Jirang,Data Partially Available,ML2BRGH0002,26.01686351,91.73271041,Brahamaputra,Brahmaputra Lower,Umtru,Ponds,1.89282497,18928.249700634115,1020.8301003729462,No,No,No,No,Data Partially Available,NWIC,5,5,85853.0,17,276,1986,999999,2B,2B,BRL,BRL,WS2BBRL039,,01,,,,,,,,0.0,0.0,,,,,,0,1020.8301003729462,District Water Body Atlas
Phase 1,Meghalaya,ML,East Garo Hills,Songsak,Data Partially Available,ML2BEGH0002,25.632299800000002,90.65886639,Brahamaputra,Brahmaputra Lower,Krishnai,Ponds,1.26594325,12659.432452498493,544.8668870227243,No,No,No,No,Data Partially Available,NWIC,6,6,85854.0,17,273,1973,999999,2B,2B,BRL,BRL,WS2BBRL053,,01,,,,,,,,0.0,0.0,,,,,,0,544.8668870227243,District Water Body Atlas
Phase 1,Meghalaya,ML,Ri Bhoi,Umling,Data Partially Available,ML2BRGH0003,25.88792071,91.93016509,Brahamaputra,Brahmaputra Lower,Umtru,Ponds,3.64434432,36443.44317525823,1325.696409112069,No,No,No,No,Data Partially Available,NWIC,7,7,85855.0,17,276,1985,999999,2B,2B,BRL,BRL,WS2BBRL039,,01,,,,,,,,0.0,0.0,,,,,,0,1325.696409112069,District Water Body Atlas
