Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,photo,shape_le_1,Dataset_Name
Phase 1,Manipur,MN,Imphal East,Porompat,Lairikyengbam Leikai CT,MN20IME0001,24.81867586,93.95205245,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Tril,Lakes,3.77839863,37783.98629616668,1144.7420138067814,No,No,No,No,,NWIC,2,2,80944.0,14,255,1885,270317,20,20,IMP,IMP,WS20IMP015,,03,,,,,,,,0.0,0.0,,,,,,0,1144.7420138067814,District Water Body Atlas
Phase 1,Manipur,MN,Imphal East,Porompat,Porompat CT,MN20IME0006,24.793381319999998,93.95007471000001,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Tril,Ponds,2.95236778,29523.677766190558,1717.880534063536,No,No,No,No,,NWIC,7,7,80949.0,14,255,1885,270312,20,20,IMP,IMP,WS20IMP015,,01,,,,,,,,0.0,0.0,,,,,,0,1717.880534063536,District Water Body Atlas
Phase 1,Manipur,MN,Imphal East,Sawombung,Pangei,MN20IME0009,24.877316420000003,93.96416301000001,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Ponds,3.44897138,34489.7137839017,1074.5341112578444,No,No,No,No,,NWIC,15,15,80957.0,14,255,1884,270242,20,20,IMP,IMP,WS20IMP014,,01,,,,,,,,0.0,0.0,,,,,,0,1074.5341112578444,District Water Body Atlas
Phase 1,Manipur,MN,Imphal West,Lamphelpat,Imphal Mci Plus Og,MN20IMW0031,24.82102188,93.91904774999999,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Ponds,1.54345517,15434.551741384319,549.3547733977491,No,No,No,No,,NWIC,85,85,81027.0,14,256,1881,801487,20,20,IMP,IMP,WS20IMP016,,01,,,,,,,,0.0,0.0,,,,,,0,549.3547733977491,District Water Body Atlas
Phase 1,Manipur,MN,Imphal West,Wangoi,Samushang,MN20IMW0039,24.640061720000002,93.82141369,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Lakes,2.33945093,23394.509274622036,650.9753802058168,No,No,No,No,,NWIC,99,99,81041.0,14,256,1882,270151,20,20,IMP,IMP,WS20IMP020,,03,,,,,,,,0.0,0.0,,,,,,0,650.9753802058168,District Water Body Atlas
Phase 1,Manipur,MN,Imphal West,Wangoi,Samushang,MN20IMW0042,24.61158473,93.81082793,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Ponds,12.97245756,129724.57561065016,1345.0124086998705,No,No,No,No,,NWIC,102,102,81044.0,14,256,1882,270151,20,20,IMP,IMP,WS20IMP020,,01,,,,,,,,0.0,0.0,,,,,,0,1345.0124086998705,District Water Body Atlas
Phase 1,Manipur,MN,Bishnupur,Bishnupur,Loktak Lake,MN20BSH0012,24.55447337,93.86236188000001,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Ponds,5.66384113,56638.41126339418,1368.7568260602914,No,No,No,No,,NWIC,103,103,81045.0,14,252,1874,999999,20,20,IMP,IMP,WS20IMP020,,01,,,,,,,,0.0,0.0,,,,,,0,1368.7568260602914,District Water Body Atlas
Phase 1,Manipur,MN,Imphal West,Lamsang,Khonghampat,MN20IMW0001,24.890602519999998,93.88500398000001,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Ponds,1.68924091,16892.40911229194,576.99274334333,No,No,No,No,,NWIC,1,1,80943.0,14,256,1879,270053,20,20,IMP,IMP,WS20IMP016,,01,,,,,,,,0.0,0.0,,,,,,0,576.99274334333,District Water Body Atlas
Phase 1,Manipur,MN,Imphal East,Porompat,Imphal Mci Plus Og,MN20IME0002,24.80563298,93.95299096,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Tril,Ponds,1.21301667,12130.166682946237,546.2706135917695,No,No,No,No,,NWIC,3,3,80945.0,14,255,1885,801487,20,20,IMP,IMP,WS20IMP015,,01,,,,,,,,0.0,0.0,,,,,,0,546.2706135917695,District Water Body Atlas
Phase 1,Manipur,MN,Imphal East,Porompat,Thangjam Leikai,MN20IME0003,24.817660739999997,93.96223228,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Tril,Ponds,1.85733811,18573.381053370565,578.6173301496927,No,No,No,No,,NWIC,4,4,80946.0,14,255,1885,270286,20,20,IMP,IMP,WS20IMP015,,01,,,,,,,,0.0,0.0,,,,,,0,578.6173301496927,District Water Body Atlas
