Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,photo,shape_le_1,Dataset_Name
Phase 1,Madhya Pradesh,MP,Seoni,Chhapara,Gohna,MP03SEO0950,22.35377076,79.60415523,Godavari,Weinganga,Wainganga,Tanks,4078.68086486,40786808.64855617,114696.0070987988,No,No,No,No,Gohna,NWIC,3656,3656,90185.0,23,428,3660,496061,03,03,WEI,WEI,WS03WEI004,Upper Wainganga (Sanjay Sarovar),02,,,,,,,,0.0,0.0,,,,,,0,114696.0070987988,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Sagar,Khurai,Mukarampur,MP2ASGR0549,24.00747192,78.34078561999999,Ganga,Yamuna Lower,Narain,Ponds,3.82517227,38251.72266648774,798.392125801467,Yes,No,Yes,No,,NWIC,2590,2590,87126.0,23,425,3444,459881,2A,2A,YAL,YAL,WS2AYAL012,,01,,,,,,,,0.0,0.0,,,,,,0,798.392125801467,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Tikamgarh,Baldeogarh,Darguwan Khalsa,MP2ATKM0732,24.70723361,79.21137689,Ganga,Yamuna Lower,,Ponds,21.447218059999997,214472.1806412028,2180.835904126394,No,No,No,No,Darguwan Khalsa,NWIC,55,55,55.0,23,434,3421,457105,2A,2A,YAL,YAL,WS2AYAL024,Chandel Tal,01,,,,,,,,0.0,0.0,,,,,55_Tikamgarh,0,2180.835904126394,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Tikamgarh,Tikamgarh,Tikamgarh,MP2ATKM0736,24.74881902,78.83464332999999,Ganga,Yamuna Lower,,Ponds,4.17386037,41738.603696030514,811.8464012802549,No,No,No,No,Tikamgarh,NWIC,59,59,59.0,23,434,3423,290285,2A,2A,YAL,YAL,WS2AYAL016,Sail Sagar,01,,,,,,,,0.0,0.0,,,,,59_Tikamgarh,0,811.8464012802549,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Tikamgarh,Badgaon Dhasan,Dongarpur,MP2ATKM0058,24.62593942,79.09117072,Ganga,Yamuna Lower,,Tanks,4261.8503736,42618503.73362927,89591.23102388362,No,No,No,No,Dongarpur,NWIC,171,171,171.0,23,434,6998,457324,2A,2A,YAL,YAL,WS2AYAL024,Bansujara,02,,,,,,,,0.0,0.0,,,,,171_Tikamgarh,0,89591.23102388362,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Tikamgarh,Baldeogarh,Narayanpur,MP2ATKM0030,24.71559379,78.96413454,Ganga,Yamuna Lower,,Tanks,141.41595188,1414159.5187569172,8609.550531282059,No,No,No,No,Narayanpur,NWIC,143,143,143.0,23,434,3421,457052,2A,2A,YAL,YAL,WS2AYAL025,,02,,,,,,,,0.0,0.0,,,,,143_Tikamgarh,0,8609.550531282059,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Tikamgarh,Jatara,Ramnagar,MP2ATKM0441,25.02628344,79.07180833999999,Ganga,Yamuna Lower,,Ponds,1.7576897,17576.896996796026,595.687274507349,No,No,No,No,Ramnagar,NWIC,554,554,554.0,23,434,3418,456757,2A,2A,YAL,YAL,WS2AYAL025,,01,,,,,,,,0.0,0.0,,,,,556_Tikamgarh,0,595.687274507349,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Sagar,Rehli,Menai,MP2ASGR0453,23.659497960000003,79.13321969,Ganga,Yamuna Lower,Kopra,Tanks,74.75823967000001,747582.396659296,7018.2619272724905,No,No,No,No,Menai,NWIC,2494,2494,87030.0,23,425,3451,461188,2A,2A,YAL,YAL,WS2AYAL074,,02,,,,,,,,0.0,0.0,,,,,,0,7018.2619272724905,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Sagar,Kesli,Thawari,MP2ASGR0477,23.393617199999998,78.69469224,Ganga,Yamuna Lower,Sonar,Tanks,407.54032185,4075403.218451169,20114.506054427136,No,No,No,No,Thawari,NWIC,2518,2518,87054.0,23,425,3452,461270,2A,2A,YAL,YAL,WS2AYAL071,Sonpur Feeder Dam,02,,,,,,,,0.0,0.0,,,,,,0,20114.506054427136,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Chhatarpur,Maharajpur,Fulari,MP2ACRP0373,25.03157201,79.80842019,Ganga,Yamuna Lower,Urmal,Ponds,1.01372545,10137.254483196013,373.11924333892426,Yes,No,No,No,Fulari,NWIC,2983,2983,87519.0,23,398,3428,457790,2A,2A,YAL,YAL,WS2AYAL083,,01,,,,,,,,0.0,0.0,,,,,,0,373.11924333892426,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Chhatarpur,Bijawar,Lahar,MP2ACRP0529,24.59012114,79.64203508,Ganga,Yamuna Lower,Balana,Ponds,1.19045666,11904.56663568539,477.6442412154889,No,No,No,No,Lahar,NWIC,3139,3139,87675.0,23,398,3433,458398,2A,2A,YAL,YAL,WS2AYAL079,,01,,,,,,,,0.0,0.0,,,,,,0,477.6442412154889,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Chhatarpur,Buxwaha,Kuhi,MP2ACRP0840,24.236045400000002,79.29421620000001,Ganga,Yamuna Lower,Kathan,Tanks,56.75541384,567554.13837168,4646.182152454156,No,No,No,No,Kuhi,NWIC,3450,3450,87986.0,23,398,3434,458537,2A,2A,YAL,YAL,WS2AYAL023,,02,,,,,,,,0.0,0.0,,,,,,0,4646.182152454156,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Chhatarpur,Chandla,Byas Badaura,MP2ACRP1013,25.094049050000002,80.25718995,Ganga,Yamuna Lower,Ken,Ponds,2.11508211,21150.821142155553,630.1018852220052,Yes,Yes,Yes,Yes,,NWIC,3621,3621,88157.0,23,398,3426,457612,2A,2A,YAL,YAL,WS2AYAL085,,01,,,,,,,,0.0,0.0,,,,,,0,630.1018852220052,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Chhatarpur,Gaurihar,Sadwakol,MP2ACRP1032,25.20744915,80.32656371,Ganga,Yamuna Lower,Ken,Ponds,1.61392004,16139.2003891591,515.9523582426011,Yes,Yes,Yes,No,,NWIC,3640,3640,88176.0,23,398,3424,457484,2A,2A,YAL,YAL,WS2AYAL085,,01,,,,,,,,0.0,0.0,,,,,,0,515.9523582426011,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Chhatarpur,Chhatarpur,Hatna,MP2ACRP1044,24.91647426,79.55013948,Ganga,Yamuna Lower,Urmal,Ponds,2.10913676,21091.36760854247,536.1452752459684,Yes,Yes,Yes,Yes,,NWIC,3652,3652,88188.0,23,398,3429,457847,2A,2A,YAL,YAL,WS2AYAL083,,01,,,,,,,,0.0,0.0,,,,,,0,536.1452752459684,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Chhatarpur,Rajnagar,Khajuraho,MP2ACRP1050,24.84973161,79.92150181,Ganga,Yamuna Lower,Kutri,Ponds,6.37446707,63744.6706722401,1078.1603768158348,No,No,No,No,Khajuraho,NWIC,3661,3661,90193.0,23,398,3430,250743,2A,2A,YAL,YAL,WS2AYAL082,Shivsagar Lake Khajuraho,01,,,,,,,,0.0,0.0,,,,,,0,1078.1603768158348,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Tikamgarh,Baldeogarh,Dumbar,MP2ATKM0726,24.71787745,79.00663135,Ganga,Yamuna Lower,,Ponds,8.344065709999999,83440.65705109095,2025.8125836434365,No,No,No,No,Dumbar,NWIC,1,1,1.0,23,434,3421,457059,2A,2A,YAL,YAL,WS2AYAL025,,01,,,,,,,,0.0,0.0,,,,,1_Tikamgarh,0,2025.8125836434365,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Tikamgarh,Khargapur,Majra Adaku,MP2ATKM0715,24.752500400000002,79.13955493,Ganga,Yamuna Lower,,Ponds,1.04055913,10405.591346482652,487.53537457008537,Yes,No,No,No,Majra Adaku,NWIC,2,2,2.0,23,434,3422,457146,2A,2A,YAL,YAL,WS2AYAL026,,01,,,,,,,,0.0,0.0,,,,,2_Tikamgarh,0,487.53537457008537,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Tikamgarh,Baldeogarh,Devarda Khas,MP2ATKM0704,24.741925780000003,79.14439309,Ganga,Yamuna Lower,,Ponds,2.74589504,27458.95042435489,772.9760155105632,No,No,No,No,Devarda Khas,NWIC,3,3,3.0,23,434,3421,457078,2A,2A,YAL,YAL,WS2AYAL026,,01,,,,,,,,0.0,0.0,,,,,3_Tikamgarh,0,772.9760155105632,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Tikamgarh,Baldeogarh,Kannpur,MP2ATKM0693,24.68496299,79.25701801000001,Ganga,Yamuna Lower,,Ponds,2.51885396,25188.539636169167,833.2151018345636,No,No,No,No,Kannpur,NWIC,4,4,4.0,23,434,3421,457100,2A,2A,YAL,YAL,WS2AYAL024,,01,,,,,,,,0.0,0.0,,,,,4_Tikamgarh,0,833.2151018345636,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Tikamgarh,Baldeogarh,Saipura,MP2ATKM0682,24.682243510000003,79.28502888,Ganga,Yamuna Lower,,Ponds,1.56493256,15649.32555594006,577.287197516148,No,No,No,No,Saipura,NWIC,5,5,5.0,23,434,3421,457098,2A,2A,YAL,YAL,WS2AYAL024,,01,,,,,,,,0.0,0.0,,,,,5_Tikamgarh,0,577.287197516148,District Water Body Atlas
Phase 1,Madhya Pradesh,MP,Tikamgarh,Baldeogarh,Imiliya,MP2ATKM0681,24.69961987,79.2482004,Ganga,Yamuna Lower,,Ponds,2.08725226,20872.52258354496,594.8745258928252,Yes,No,No,No,Imiliya,NWIC,6,6,6.0,23,434,3421,457095,2A,2A,YAL,YAL,WS2AYAL024,,01,,,,,,,,0.0,0.0,,,,,6_Tikamgarh,0,594.8745258928252,District Water Body Atlas
