Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,photo,shape_le_1,Dataset_Name
Phase 1,Mizoram,MZ,Aizawl,Phullen,Data Partially Available,MZ2CAIZ0001,23.988743990000003,93.00125172999999,Barak and others,Barak,Tuivawl,Ponds,1.65626144,16562.61437306688,519.6283205011142,No,No,No,No,,NWIC,2,2,81787.0,15,261,1903,999999,2C,2C,BAR,BAR,WS2CBAR020,,01,,,,,,,,0.0,0.0,,,,,,0,519.6283205011142,District Water Body Atlas
Phase 1,Mizoram,MZ,Lawngtlai,S Bungtlang,Data Partially Available,MZ20LWN0002,22.21967466,92.66439102,Minor rivers draining into Myanmar and Bangladesh,Khawthlangtuipui & Others,Tuichawng,Ponds,1.90302488,19030.248773648753,1121.7376758119367,No,No,Yes,No,,NWIC,7,7,81792.0,15,264,1918,999999,20,20,KHO,KHO,WS20KHO004,,01,,,,,,,,0.0,0.0,,,,,,0,1121.7376758119367,District Water Body Atlas
Phase 1,Mizoram,MZ,Lawngtlai,Chawngte,Data Partially Available,MZ20LWN0003,22.24762788,92.63621443,Minor rivers draining into Myanmar and Bangladesh,Khawthlangtuipui & Others,Tuichawng,Ponds,1.625465,16254.65000129903,955.3595952121091,Yes,Yes,Yes,No,,NWIC,8,8,81793.0,15,264,1916,999999,20,20,KHO,KHO,WS20KHO004,,01,,,,,,,,0.0,0.0,,,,,,0,955.3595952121091,District Water Body Atlas
Phase 1,Mizoram,MZ,Saiha,Tuipang,Data Partially Available,MZ20SAI0001,22.19878568,92.90573112,Minor rivers draining into Myanmar and Bangladesh,Chhimtuipui & Others,Kaladan/Boinu/Tuipui,Ponds,2.66775666,26677.566577349084,701.2199532513491,Yes,No,No,Yes,,NWIC,11,11,81796.0,15,267,1920,999999,20,20,CHO,CHO,WS20CHO014,,01,,,,,,,,0.0,0.0,,,,,,0,701.2199532513491,District Water Body Atlas
Phase 1,Mizoram,MZ,Lunglei,Lungsen,Data Partially Available,MZ20LNG0001,22.916654819999998,92.41146629,Minor rivers draining into Myanmar and Bangladesh,Khawthlangtuipui & Others,Karnaphuli,Ponds,3.98745273,39874.52730053436,1879.1487500743278,No,No,No,No,,NWIC,1,1,81786.0,15,265,1913,999999,20,20,KHO,KHO,WS20KHO006,,01,,,,,,,,0.0,0.0,,,,,,0,1879.1487500743278,District Water Body Atlas
Phase 1,Mizoram,MZ,Aizawl,Phullen,Data Partially Available,MZ2CAIZ0002,23.87458012,93.03834418000001,Barak and others,Barak,Tuibum Lui,Ponds,2.77997863,27799.78633692755,1560.1065730066114,No,No,No,No,,NWIC,3,3,81788.0,15,261,1903,999999,2C,2C,BAR,BAR,WS2CBAR018,,01,,,,,,,,0.0,0.0,,,,,,0,1560.1065730066114,District Water Body Atlas
Phase 1,Mizoram,MZ,Aizawl,Phullen,Data Partially Available,MZ2CAIZ0003,23.73874666,92.95269829,Barak and others,Barak,Tuirini Lui,Ponds,3.67839651,36783.96510202291,795.5037852067298,No,No,No,No,,NWIC,4,4,81789.0,15,261,1903,999999,2C,2C,BAR,BAR,WS2CBAR025,,01,,,,,,,,0.0,0.0,,,,,,0,795.5037852067298,District Water Body Atlas
Phase 1,Mizoram,MZ,Saiha,Tuipang,Data Partially Available,MZ20SAI0003,22.19932119,92.89958332,Minor rivers draining into Myanmar and Bangladesh,Chhimtuipui & Others,Kaladan/Boinu/Tuipui,Ponds,1.5282005,15282.004960149967,547.3076132687299,Yes,Yes,Yes,Yes,,NWIC,37,37,81822.0,15,267,1920,999999,20,20,CHO,CHO,WS20CHO014,,01,,,,,,,,0.0,0.0,,,,,,0,547.3076132687299,District Water Body Atlas
Phase 1,Mizoram,MZ,Lawngtlai,Chawngte,Data Partially Available,MZ20LWN0001,22.70432339,92.52696952,Minor rivers draining into Myanmar and Bangladesh,Khawthlangtuipui & Others,Karnaphuli,Ponds,1.57151001,15715.100094337895,1014.3449829699676,No,No,No,No,,NWIC,5,5,81790.0,15,264,1916,999999,20,20,KHO,KHO,WS20KHO006,,01,,,,,,,,0.0,0.0,,,,,,0,1014.3449829699676,District Water Body Atlas
Phase 1,Mizoram,MZ,Serchhip,Serchhip,Thenzawl,MZ2CSER0001,23.26691178,92.75534869,Barak and others,Barak,Dhaleswari,Ponds,3.60522115,36052.211495891286,2934.103735502084,No,No,No,No,,NWIC,6,6,81791.0,15,268,1910,249777,2C,2C,BAR,BAR,WS2CBAR034,,01,,,,,,,,0.0,0.0,,,,,,0,2934.103735502084,District Water Body Atlas
