Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,photo,shape_le_1,Dataset_Name
Phase 1,Puducherry,PY,Pondicherry,Villianur Taluk,Sedarapet,PY17PON0012,11.99010928,79.75456990999999,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,1.34346677,13434.667729806759,425.4717835127501,No,No,No,No,Sedarapet,NWIC,12,12,81838.0,34,600,5911,644942,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,425.4717835127501,District Water Body Atlas
Phase 1,Puducherry,PY,Karaikal,Karaikal Taluk,Karaikal,PY05KKL0020,10.918019769999999,79.80872136,Cauvery,Cauvery Lower,Arasalar,Ponds,1.18017492,11801.74919480668,484.786015879588,No,No,No,No,Karaikal,NWIC,46,46,81872.0,34,598,5914,253096,05,05,CAL,CAL,WS05CAL026,,01,,,,,,,,0.0,0.0,,,,,,0,484.786015879588,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Villianur Taluk,Kizhur,PY17PON0034,11.890691219999999,79.69292829999999,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,9.89600081,98960.00806601936,1515.2039815446603,No,No,No,No,Kizhur,NWIC,55,55,81881.0,34,600,5911,644952,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,1515.2039815446603,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Bahour Taluk,Embalam,PY17PON0042,11.87934366,79.7115249,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,12.44968839,124496.88391387783,2274.989900425466,No,No,No,No,Embalam,NWIC,63,63,81889.0,34,600,5912,644964,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,2274.989900425466,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Villianur Taluk,Thondamanatham,PY17PON0054,11.963147500000002,79.71956078,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,37.67852778,376785.27782256657,2856.99670945984,No,Yes,No,No,Thondamanatham,NWIC,75,75,81901.0,34,600,5911,644945,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,2856.99670945984,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Villianur Taluk,Sathamangalam,PY17PON0056,11.88721134,79.7136176,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,6.768591900000001,67685.91904361988,1026.6380948461904,No,No,No,No,Sathamangalam,NWIC,77,77,81903.0,34,600,5911,644953,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,1026.6380948461904,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Villianur Taluk,Thirubuvanai,PY17PON0080,11.91850952,79.64440066,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,2.05949151,20594.915061503354,789.668039502483,Yes,Yes,Yes,No,Thirubuvanai,NWIC,105,105,81931.0,34,600,5911,644940,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,789.668039502483,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Puducherry Taluk,Abishegapakkam,PY17PON0001,11.865651100000001,79.77791964000001,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,1.33314125,13331.412500470758,495.43393590090153,No,No,No,No,Abishegapakkam,NWIC,1,1,81827.0,34,600,5909,644918,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,495.43393590090153,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Bahour Taluk,Outchimedu,PY17PON0002,11.789376650000001,79.77036933000001,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Ponnaiyar,Lakes,2.5495951,25495.95099881395,792.2232880510708,Yes,Yes,Yes,Yes,Outchimedu,NWIC,2,2,81828.0,34,600,5912,644980,17,17,PON,PON,WS17PON023,,03,,,,,,,,0.0,0.0,,,,,,0,792.2232880510708,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Villianur Taluk,Kunichempet,PY17PON0003,11.99601941,79.63992734,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,1.8214686,18214.685973859905,632.6523584616382,No,No,No,No,Kunichempet,NWIC,3,3,81829.0,34,600,5911,644931,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,632.6523584616382,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Villianur Taluk,Kuppam,PY17PON0004,11.9854971,79.70135216,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,1.89694035,18969.403520730113,548.1973365819803,No,Yes,No,No,Valudavur,NWIC,4,4,81830.0,34,600,5911,644928,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,548.1973365819803,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Bahour Taluk,Nettapakkam,PY17PON0005,11.84682403,79.64120123,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Ponnaiyar,Ponds,1.66315152,16631.51519660265,481.2418193268,No,No,No,No,Sorappur,NWIC,5,5,81831.0,34,600,5912,644968,17,17,PON,PON,WS17PON023,,01,,,,,,,,0.0,0.0,,,,,,0,481.2418193268,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Villianur Taluk,Kunichempet,PY17PON0006,11.99139012,79.63354203,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,17.67730975,176773.09753061685,2105.7159684458125,No,Yes,No,No,Kunichempet,NWIC,6,6,81832.0,34,600,5911,644931,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,2105.7159684458125,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Villianur Taluk,Sathamangalam,PY17PON0007,11.88813332,79.71758581,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,5.09095261,50909.52605720973,951.3532348250299,No,No,No,No,Sathamangalam,NWIC,7,7,81833.0,34,600,5911,644953,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,951.3532348250299,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Ozhukarai Taluk,Ozhukarai,PY17PON0008,11.937021419999999,79.79446291,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,7.65072783,76507.27827343921,1512.564855177519,Yes,Yes,Yes,Yes,Ozhukarai,NWIC,8,8,81834.0,34,600,5910,253093,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,1512.564855177519,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Villianur Taluk,Thirubuvanai,PY17PON0009,11.91988483,79.65661695,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,1.44458747,14445.874709418702,443.2573755823331,Yes,Yes,Yes,No,Thirubuvanai,NWIC,9,9,81835.0,34,600,5911,644940,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,443.2573755823331,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Bahour Taluk,Kariamanickam,PY17PON0010,11.87459232,79.6178578,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,4.938071939999999,49380.71942076804,2075.3056214618637,No,No,No,No,Kariamanickam,NWIC,10,10,81836.0,34,600,5912,644962,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,2075.3056214618637,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Bahour Taluk,Kariamanickam,PY17PON0011,11.87212127,79.61451831000001,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,4.30268529,43026.85290648726,2066.2432859031965,Yes,Yes,Yes,No,Kariamanickam,NWIC,11,11,81837.0,34,600,5912,644962,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,2066.2432859031965,District Water Body Atlas
Phase 1,Puducherry,PY,Karaikal,Thirunallar Taluk,Sellur,PY05KKL0001,10.91768254,79.77316035,Cauvery,Cauvery Lower,Arasalar,Ponds,3.29441123,32944.112328282325,726.7164661418834,No,No,No,No,Sellur,NWIC,13,13,81839.0,34,598,5915,645010,05,05,CAL,CAL,WS05CAL026,,01,,,,,,,,0.0,0.0,,,,,,0,726.7164661418834,District Water Body Atlas
Phase 1,Puducherry,PY,Karaikal,Thirunallar Taluk,Subrayapuram,PY05KKL0002,10.94118064,79.79545202,Cauvery,Cauvery Lower,Arasalar,Ponds,1.39714365,13971.436469443957,551.6262819411356,No,No,No,No,Subrayapuram,NWIC,14,14,81840.0,34,598,5915,645005,05,05,CAL,CAL,WS05CAL026,,01,,,,,,,,0.0,0.0,,,,,,0,551.6262819411356,District Water Body Atlas
Phase 1,Puducherry,PY,Karaikal,Thirunallar Taluk,Thevamapuram,PY05KKL0003,10.9513552,79.76504526,Cauvery,Cauvery Lower,Arasalar,Ponds,1.04135428,10413.542847879395,445.062484645346,No,No,No,No,Thevamapuram,NWIC,15,15,81841.0,34,598,5915,645003,05,05,CAL,CAL,WS05CAL026,,01,,,,,,,,0.0,0.0,,,,,,0,445.062484645346,District Water Body Atlas
Phase 1,Puducherry,PY,Karaikal,Karaikal Taluk,Keezhaiyur South,PY05KKL0004,10.86500115,79.83032333999999,Cauvery,Cauvery Lower,Puttar Or Puravadaiyanar,Ponds,1.63158329,16315.832928783935,487.14261542313506,No,No,No,No,Keezhaiyur South,NWIC,16,16,81842.0,34,598,5914,644992,05,05,CAL,CAL,WS05CAL027,,01,,,,,,,,0.0,0.0,,,,,,0,487.14261542313506,District Water Body Atlas
Phase 1,Puducherry,PY,Karaikal,Karaikal Taluk,Polagam,PY05KKL0005,10.85705936,79.8228323,Cauvery,Cauvery Lower,Puttar Or Puravadaiyanar,Ponds,7.37687221,73768.7221099916,1406.0954537038513,No,No,No,No,Polagam,NWIC,17,17,81843.0,34,598,5914,644993,05,05,CAL,CAL,WS05CAL027,,01,,,,,,,,0.0,0.0,,,,,,0,1406.0954537038513,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Villianur Taluk,Pudukuppam,PY17PON0013,12.01070804,79.69505695999999,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,1.0886656,10886.655965518437,401.8174409506889,No,Yes,Yes,Yes,Pudukuppam,NWIC,18,18,81844.0,34,600,5911,644926,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,401.8174409506889,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Villianur Taluk,Suthukeny,PY17PON0014,12.008027599999998,79.68400620999999,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,6.94553924,69455.39242906446,2145.1410200182245,No,No,No,No,Suthukeny,NWIC,19,19,81845.0,34,600,5911,644925,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,2145.1410200182245,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Villianur Taluk,Uruvaiyar,PY17PON0015,11.89581361,79.74738329,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,3.65509084,36550.90837837296,1625.4956492347164,Yes,Yes,Yes,No,Uruvaiyar,NWIC,20,20,81846.0,34,600,5911,644955,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,1625.4956492347164,District Water Body Atlas
Phase 1,Puducherry,PY,Karaikal,Thirunallar Taluk,Sorakudy,PY05KKL0006,10.95058953,79.77701717000001,Cauvery,Cauvery Lower,Arasalar,Ponds,1.72044874,17204.48744015627,482.20560024516084,No,No,No,No,Sorakudy,NWIC,21,21,81847.0,34,598,5915,645004,05,05,CAL,CAL,WS05CAL026,,01,,,,,,,,0.0,0.0,,,,,,0,482.20560024516084,District Water Body Atlas
Phase 1,Puducherry,PY,Karaikal,Karaikal Taluk,Thiruvettakudy,PY05KKL0007,10.97498803,79.84708488,Cauvery,Cauvery Lower,Nandalar,Ponds,2.27906873,22790.68725458349,653.1597129259478,No,No,No,No,Thiruvettakudy,NWIC,22,22,81848.0,34,598,5914,644985,05,05,CAL,CAL,WS05CAL025,,01,,,,,,,,0.0,0.0,,,,,,0,653.1597129259478,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Villianur Taluk,Kodathur,PY17PON0016,11.99465569,79.66656868,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,1.5873277,15873.27702360633,541.3679186048116,No,Yes,Yes,Yes,Kodathur,NWIC,23,23,81849.0,34,600,5911,644930,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,541.3679186048116,District Water Body Atlas
Phase 1,Puducherry,PY,Karaikal,Karaikal Taluk,Thiruvettakudy,PY05KKL0008,10.96988331,79.8445984,Cauvery,Cauvery Lower,Nandalar,Ponds,1.17823269,11782.326906253455,610.1332936016496,No,No,No,No,Thiruvettakudy,NWIC,24,24,81850.0,34,598,5914,644985,05,05,CAL,CAL,WS05CAL025,,01,,,,,,,,0.0,0.0,,,,,,0,610.1332936016496,District Water Body Atlas
Phase 1,Puducherry,PY,Karaikal,Karaikal Taluk,Keezhaiyur North,PY05KKL0009,10.8672947,79.84732606,Cauvery,Cauvery Lower,Puttar Or Puravadaiyanar,Ponds,2.42189199,24218.9198979378,687.0012449888474,No,No,No,No,Keezhaiyur North,NWIC,25,25,81851.0,34,598,5914,644991,05,05,CAL,CAL,WS05CAL027,,01,,,,,,,,0.0,0.0,,,,,,0,687.0012449888474,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Villianur Taluk,Perungalur,PY17PON0017,11.872227089999999,79.75409913,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,4.95106858,49510.685803255954,2945.0561404835466,No,No,No,No,Perungalur,NWIC,26,26,81852.0,34,600,5911,644957,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,2945.0561404835466,District Water Body Atlas
Phase 1,Puducherry,PY,Karaikal,Karaikal Taluk,Thirumalairayanpattinam CT,PY05KKL0010,10.87295915,79.83159499,Cauvery,Cauvery Lower,Puttar Or Puravadaiyanar,Ponds,3.26897213,32689.721292902956,748.5249618803296,No,No,No,No,Thirumalairayanpattinam CT,NWIC,27,27,81853.0,34,598,5914,644995,05,05,CAL,CAL,WS05CAL027,,01,,,,,,,,0.0,0.0,,,,,,0,748.5249618803296,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Bahour Taluk,Irulansanthai,PY17PON0018,11.798491380000002,79.72585322,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Ponnaiyar,Ponds,1.06441323,10644.132271779314,867.5038709179987,Yes,Yes,No,No,Irulansanthai,NWIC,28,28,81854.0,34,600,5912,644977,17,17,PON,PON,WS17PON023,,01,,,,,,,,0.0,0.0,,,,,,0,867.5038709179987,District Water Body Atlas
Phase 1,Puducherry,PY,Pondicherry,Villianur Taluk,Odiampet OG,PY17PON0019,11.902197950000001,79.76905167000001,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Ponds,1.67556888,16755.6888214755,615.2664524130835,No,No,No,No,Odiampet OG,NWIC,29,29,81855.0,34,600,5911,644960,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,0,615.2664524130835,District Water Body Atlas
