Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Bihar,Begusarai,Chhorahi,Parora,BR2ABSR0051,25.65823444,86.13662546,Ganga,Gandak and others,Chanha,Lakes/Pond,1.2191297,12191.296982462638,417.88643701346314,,NWIC,48,48,30848.0,10,191,1305,237475,2A,2A,GAN,GAN,WS2AGAN063,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,417.88643701346314,District Water Body Atlas
Phase 2,Bihar,Begusarai,Begusarai,Rahimpur Taraia,BR2ABSR0032,25.48285174,86.16775416,Ganga,Gandak and others,Burhi Gandak,Lakes/Pond,1.22548045,12254.804502162542,469.6656436655381,,NWIC,29,29,30829.0,10,191,1314,238111,2A,2A,GAN,GAN,WS2AGAN064,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,469.6656436655381,District Water Body Atlas
Phase 2,Bihar,Begusarai,Begusarai,Dhobauli,BR2ABSR0039,25.41019111,86.19548234000001,Ganga,Gandak and others,Burhi Gandak,Lakes/Pond,1.57694126,15769.412608874016,727.1641012262273,,NWIC,36,36,30836.0,10,191,1314,238123,2A,2A,GAN,GAN,WS2AGAN064,,01,,,,,,,,0.0,0.0,,,,,,No,No,Yes,No,No,No,No,No,No,0,727.1641012262273,District Water Body Atlas
Phase 2,Bihar,Begusarai,Khudabandpur,Khodawandpur,BR2ABSR0047,25.65884779,86.05400415,Ganga,Gandak and others,Chanha,Lakes/Pond,1.47581456,14758.145609764488,548.1757736567574,,NWIC,44,44,30844.0,10,191,1304,237415,2A,2A,GAN,GAN,WS2AGAN063,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,548.1757736567574,District Water Body Atlas
Phase 2,Bihar,Kaimur (Bhabua),Chand,Kesari,BR2AKMR0036,25.16649062,83.44263763,Ganga,Ghaghara Confluence to Gomti confluence,Kakrikundi Nala,Lakes/Pond,1.03788978,10378.897762364375,396.91565204127284,Kesari,NWIC,248,248,53767.0,10,200,1451,249744,2A,2A,GHG,GHG,WS2AGHG026,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,396.91565204127284,District Water Body Atlas
Phase 2,Bihar,Kaimur (Bhabua),Chand,Lohdan,BR2AKMR0048,25.061940500000002,83.43107244,Ganga,Ghaghara Confluence to Gomti confluence,Kakrikundi Nala,Lakes/Pond,1.16471383,11647.13826918901,415.8320942754658,Lohdan,NWIC,260,260,53779.0,10,200,1451,249722,2A,2A,GHG,GHG,WS2AGHG026,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,415.8320942754658,District Water Body Atlas
Phase 2,Bihar,Kaimur (Bhabua),Bhabua,Gorhan,BR2AKMR0167,25.02771815,83.5791325,Ganga,Ghaghara Confluence to Gomti confluence,Sura,Lakes/Pond,1.21139169,12113.916927399723,416.8250517417176,Gorhan,NWIC,379,379,53898.0,10,200,1453,249996,2A,2A,GHG,GHG,WS2AGHG024,,01,,,,,,,,0.0,0.0,,,,,,Yes,No,Yes,No,Yes,No,Yes,No,Yes,0,416.8250517417176,District Water Body Atlas
Phase 2,Bihar,Kaimur (Bhabua),Kudra,Sakri,BR2AKMR0180,25.04175656,83.80383692999999,Ganga,Ghaghara Confluence to Gomti confluence,Durgauti,Lakes/Pond,1.25341712,12534.171200232306,423.0072463628081,Sakri,NWIC,392,392,53911.0,10,200,1448,249249,2A,2A,GHG,GHG,WS2AGHG027,,01,,,,,,,,0.0,0.0,,,,,,No,No,Yes,No,Yes,No,Yes,Yes,No,0,423.0072463628081,District Water Body Atlas
Phase 2,Bihar,Kaimur (Bhabua),Bhabua,Manikpur,BR2AKMR0253,25.0407583,83.6969302,Ganga,Ghaghara Confluence to Gomti confluence,Durgauti,Lakes/Pond,1.01507889,10150.788877564994,371.84043322933417,,NWIC,465,465,55879.0,10,200,1453,250162,2A,2A,GHG,GHG,WS2AGHG025,,01,,,,,,,,0.0,0.0,,,,,,No,No,Yes,No,No,No,No,No,Yes,0,371.84043322933417,District Water Body Atlas
Phase 2,Bihar,Begusarai,Chhorahi,Gangi Jamuni,BR2ABSR0001,25.75813968,86.12712805,Ganga,Kosi,Kareha,Lakes/Pond,1.61674544,16167.454400442883,491.738362463915,,NWIC,1,1,30629.0,10,191,1305,237427,2A,2A,KOS,KOS,WS2AKOS015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,Yes,Yes,No,No,No,No,0,491.738362463915,District Water Body Atlas
Phase 2,Bihar,Begusarai,Chhorahi,Purpathar,BR2ABSR0002,25.767545329999997,86.12986507000001,Ganga,Kosi,Kareha,Others,10.23637417,102363.74168603338,2839.7928640707833,,NWIC,2,2,30630.0,10,191,1305,237426,2A,2A,KOS,KOS,WS2AKOS015,,05,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,2839.7928640707833,District Water Body Atlas
Phase 2,Bihar,Begusarai,Chhorahi,Gauri Dih,BR2ABSR0003,25.7659152,86.14585704999999,Ganga,Kosi,Kareha,Others,11.58080424,115808.04237451417,3182.722381333266,,NWIC,3,3,30631.0,10,191,1305,237429,2A,2A,KOS,KOS,WS2AKOS015,,05,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,3182.722381333266,District Water Body Atlas
Phase 2,Bihar,Begusarai,Chhorahi,Gauri Dih,BR2ABSR0004,25.75476053,86.14382687999999,Ganga,Kosi,Kareha,Lakes/Pond,6.71820864,67182.08639431639,1710.8391870782475,,NWIC,4,4,30632.0,10,191,1305,237429,2A,2A,KOS,KOS,WS2AKOS015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1710.8391870782475,District Water Body Atlas
Phase 2,Bihar,Begusarai,Chhorahi,Sahuri,BR2ABSR0005,25.7434055,86.14494678000001,Ganga,Kosi,Kareha,Lakes/Pond,1.03795271,10379.52708877699,404.6968910311486,,NWIC,5,5,30633.0,10,191,1305,237438,2A,2A,KOS,KOS,WS2AKOS015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,404.6968910311486,District Water Body Atlas
Phase 2,Bihar,Begusarai,Begusarai,Begusarai M Corp,BR2ABSR0024,25.428991179999997,86.09620495,Ganga,Gandak and others,Burhi Gandak,Lakes/Pond,1.11288778,11128.877799393567,405.3184615470474,,NWIC,21,21,30821.0,10,191,1314,0,2A,2A,GAN,GAN,WS2AGAN064,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,405.3184615470474,District Water Body Atlas
Phase 2,Bihar,Begusarai,Chhorahi,Sahuri,BR2ABSR0006,25.73136132,86.14530371000001,Ganga,Kosi,Kareha,Lakes/Pond,3.25256269,32525.626945538905,716.9629484292689,,NWIC,6,6,30634.0,10,191,1305,237438,2A,2A,KOS,KOS,WS2AKOS015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,716.9629484292689,District Water Body Atlas
Phase 2,Bihar,Begusarai,Bakhri,Bahor Chak,BR2ABSR0008,25.63257597,86.27990217,Ganga,Kosi,Kareha,Lakes/Pond,230.75594145,2307559.414450703,10460.772363861515,,NWIC,7,7,30635.0,10,191,1316,238200,2A,2A,KOS,KOS,WS2AKOS015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,10460.772363861515,District Water Body Atlas
Phase 2,Bihar,Begusarai,Chhorahi,Sahuri,BR2ABSR0009,25.73846172,86.1514632,Ganga,Kosi,Kareha,Lakes/Pond,2.2900054,22900.05395874442,547.4763602190974,,NWIC,8,8,30636.0,10,191,1305,237438,2A,2A,KOS,KOS,WS2AKOS015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,547.4763602190974,District Water Body Atlas
Phase 2,Bihar,Begusarai,Garhpura,Mauji Hari Singh,BR2ABSR0010,25.65106366,86.24184982999999,Ganga,Kosi,Kareha,Lakes/Pond,8.61406752,86140.67518889578,1447.504688199311,,NWIC,9,9,30637.0,10,191,1306,237505,2A,2A,KOS,KOS,WS2AKOS015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1447.504688199311,District Water Body Atlas
Phase 2,Bihar,Begusarai,Garhpura,Khakharua,BR2ABSR0011,25.63763636,86.25484248000001,Ganga,Kosi,Kareha,Lakes/Pond,11.8065144,118065.14402235569,2234.543217087378,,NWIC,10,10,30638.0,10,191,1306,237508,2A,2A,KOS,KOS,WS2AKOS015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,2234.543217087378,District Water Body Atlas
Phase 2,Bihar,Begusarai,Barauni,Rupaspur,BR2ABSR0014,25.4212514,86.07154684,Ganga,Gandak and others,Ganga,Lakes/Pond,2.0545762,20545.762028110992,603.7480205653922,,NWIC,11,11,30811.0,10,191,1312,238040,2A,2A,GAN,GAN,WS2AGAN050,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,603.7480205653922,District Water Body Atlas
Phase 2,Bihar,Begusarai,Barauni,Makardahi,BR2ABSR0015,25.407611969999998,86.08384078,Ganga,Gandak and others,Ganga,Lakes/Pond,1.05364848,10536.484835994084,392.3554441251615,,NWIC,12,12,30812.0,10,191,1312,238046,2A,2A,GAN,GAN,WS2AGAN050,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,392.3554441251615,District Water Body Atlas
Phase 2,Bihar,Begusarai,Begusarai,Begusarai M Corp,BR2ABSR0016,25.40074913,86.10208137000001,Ganga,Gandak and others,Ganga,Lakes/Pond,1.45423095,14542.309485807564,531.8882552690975,,NWIC,13,13,30813.0,10,191,1314,0,2A,2A,GAN,GAN,WS2AGAN050,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,531.8882552690975,District Water Body Atlas
Phase 2,Bihar,Begusarai,Shamho Akha Kurha,Akbarpur,BR2ABSR0017,25.30188613,86.19876476,Ganga,Gandak and others,Ganga,Lakes/Pond,18.09881085,180988.10852581434,2201.8051430902824,,NWIC,14,14,30814.0,10,191,1321,238486,2A,2A,GAN,GAN,WS2AGAN050,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,2201.8051430902824,District Water Body Atlas
Phase 2,Bihar,Begusarai,Matihani,Balahpur,BR2ABSR0018,25.3662845,86.24276207,Ganga,Gandak and others,Ganga,Lakes/Pond,4.98581927,49858.192661627705,1923.5768761822762,,NWIC,15,15,30815.0,10,191,1320,238442,2A,2A,GAN,GAN,WS2AGAN050,,01,,,,,,,,0.0,0.0,,,,,,Yes,No,No,No,No,No,No,No,No,0,1923.5768761822762,District Water Body Atlas
Phase 2,Bihar,Begusarai,Barauni,Kesabe,BR2ABSR0019,25.421520790000002,86.07429056000001,Ganga,Gandak and others,Burhi Gandak,Lakes/Pond,2.13020423,21302.042325191574,607.552075721911,,NWIC,16,16,30816.0,10,191,1312,238044,2A,2A,GAN,GAN,WS2AGAN064,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,607.552075721911,District Water Body Atlas
