Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Chhattisgarh,Dhamtari,Kurud,Maroud,CG08DMT0567,20.909068339999997,81.68933626,Mahanadi,Mahanadi Upper,Kharun,Tank,1.18752654,11875.265389354114,421.9685915125516,Maroud,NWIC,2283,2283,54797.0,22,377,3344,446798,08,08,MAU,MAU,WS08MAU019,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,421.9685915125516,District Water Body Atlas
Phase 2,Chhattisgarh,Bastar,Bastar,Vishrampuri,CG03BAS0028,19.3730891,81.82766681000001,Godavari,Indravati,Narangi,Lakes/Pond,1.2189088,12189.088030509478,412.5132217255623,,NWIC,28,28,40661.0,22,374,3363,449322,03,03,IND,IND,WS03IND016,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,412.5132217255623,District Water Body Atlas
Phase 2,Chhattisgarh,Bastar,Bakavand,Chhotejirakhal,CG03BAS0045,19.40966918,81.95519347,Godavari,Indravati,Markandi,Lakes/Pond,1.83089347,18308.934735762236,630.628814351671,,NWIC,45,45,40678.0,22,374,3364,449394,03,03,IND,IND,WS03IND014,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,630.628814351671,District Water Body Atlas
Phase 2,Chhattisgarh,Dhamtari,Kurud,Gadadih,CG08DMT0125,20.81434516,81.77359441,Mahanadi,Mahanadi Middle,Pairi,Tank,1.11462148,11146.214798260891,427.4266507776057,Gadadih,NWIC,1841,1841,54355.0,22,377,3344,446883,08,08,MAM,MAM,WS08MAM015,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,427.4266507776057,District Water Body Atlas
Phase 2,Chhattisgarh,Dhamtari,Magarlod,Charbhata,CG08DMT0741,20.77805171,81.85611222,Mahanadi,Mahanadi Middle,Pairi,Tank,1.30443283,13044.328321429903,453.86793326231515,Charbhata,NWIC,2457,2457,54971.0,22,377,3345,446961,08,08,MAM,MAM,WS08MAM015,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,453.86793326231515,District Water Body Atlas
Phase 2,Chhattisgarh,Dhamtari,Kurud,Anwari,CG08DMT0786,20.9366521,81.65406186999999,Mahanadi,Mahanadi Upper,Kharun,Tank,1.16365829,11636.58288814264,417.16964066419183,Anwari,NWIC,2502,2502,55016.0,22,377,3344,446793,08,08,MAU,MAU,WS08MAU019,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,417.16964066419183,District Water Body Atlas
Phase 2,Chhattisgarh,Dhamtari,Kurud,Bhakhara,CG08DMT1154,20.89763425,81.57531738,Mahanadi,Mahanadi Upper,Kharun,Tank,2.25022868,22502.286836380867,577.5387311293014,Bhakhara,NWIC,2870,2870,55384.0,22,377,3344,253107,08,08,MAU,MAU,WS08MAU019,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,577.5387311293014,District Water Body Atlas
Phase 2,Chhattisgarh,Dhamtari,Kurud,Karga,CG08DMT1203,20.99230935,81.74485403,Mahanadi,Mahanadi Middle,Pairi,Tank,1.17601694,11760.169424577924,435.7986754898597,Karga,NWIC,2919,2919,55433.0,22,377,3344,446850,08,08,MAM,MAM,WS08MAM015,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,435.7986754898597,District Water Body Atlas
Phase 2,Chhattisgarh,Bemetara,Bemetara,Tuma,CG08BEM1384,21.76347622,81.71717257,Mahanadi,Mahanadi Upper,Seonath,Lakes/Pond,1.59794325,15979.432464216186,515.5353545129958,,NWIC,3361,3361,56183.0,22,650,3312,442061,08,08,MAU,MAU,WS08MAU031,,01,,,,,,,,0.0,0.0,,,,,,Yes,Yes,No,Yes,No,No,No,No,Yes,0,515.5353545129958,District Water Body Atlas
Phase 2,Chhattisgarh,Bemetara,Bemetara,Kapa,CG08BEM1426,21.85394878,81.47274718,Mahanadi,Mahanadi Upper,Hanp,Lakes/Pond,2.55919512,25591.951217568952,639.9804245848973,,NWIC,3403,3403,56225.0,22,650,3312,441919,08,08,MAU,MAU,WS08MAU030,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,639.9804245848973,District Water Body Atlas
Phase 2,Chhattisgarh,Bastar,Jagdalpur,Jagdalpur,CG03BAS0001,19.09323044,82.01752556,Godavari,Indravati,Koyar,Lakes/Pond,5.46497672,54649.76722297937,875.6769764916062,,NWIC,1,1,40634.0,22,374,3360,0,03,03,IND,IND,WS03IND011,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,875.6769764916062,District Water Body Atlas
Phase 2,Chhattisgarh,Bastar,Bastar,Kungarpal,CG03BAS0002,19.37226176,81.73291748,Godavari,Indravati,Narangi,Lakes/Pond,2.02735589,20273.558896389797,684.6125416855568,,NWIC,2,2,40635.0,22,374,3363,449317,03,03,IND,IND,WS03IND016,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,Yes,No,No,0,684.6125416855568,District Water Body Atlas
