Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Dadra & Nagar Havelli And Daman & Diu,Diu,Diu,Saudwadi,DH18DIU0010,20.725136380000002,70.89192886000001,West flowing rivers of Kutch and Saurashtra including Luni,Shetrunji and other east flowing rivers,Machundri,Lakes/Pond,34.13129689,341312.9688992139,3701.809215134722,,NWIC,1,1,49548.0,38,464,3947,524910,18,18,SHE,SHE,WS18SHE031,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,3701.809215134722,District Water Body Atlas
Phase 2,Dadra & Nagar Havelli And Daman & Diu,Diu,Diu,Diu,DH18DIU0004,20.71340297,70.97300599,West flowing rivers of Kutch and Saurashtra including Luni,Shetrunji and other east flowing rivers,Machundri,Lakes/Pond,4.65878954,46587.895413666854,937.3230067702905,,NWIC,2,2,49549.0,38,464,3947,0,18,18,SHE,SHE,WS18SHE031,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,937.3230067702905,District Water Body Atlas
Phase 2,Dadra & Nagar Havelli And Daman & Diu,Diu,Diu,Saudwadi,DH18DIU0008,20.72172427,70.89095077,West flowing rivers of Kutch and Saurashtra including Luni,Shetrunji and other east flowing rivers,Machundri,Lakes/Pond,14.1009873,141009.87295647152,1911.9482046139992,,NWIC,3,3,49550.0,38,464,3947,524910,18,18,SHE,SHE,WS18SHE031,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1911.9482046139992,District Water Body Atlas
Phase 2,Dadra & Nagar Havelli And Daman & Diu,Diu,Diu,Bhucharvada,DH18DIU0003,20.73187867,70.9237315,West flowing rivers of Kutch and Saurashtra including Luni,Shetrunji and other east flowing rivers,Machundri,Lakes/Pond,4.19594277,41959.42767703716,1131.5088985475597,,NWIC,4,4,49551.0,38,464,3947,524909,18,18,SHE,SHE,WS18SHE031,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1131.5088985475597,District Water Body Atlas
Phase 2,Dadra & Nagar Havelli And Daman & Diu,Diu,Diu,Zolawadi,DH18DIU0002,20.70470271,70.91086693999999,West flowing rivers of Kutch and Saurashtra including Luni,Shetrunji and other east flowing rivers,Machundri,Lakes/Pond,1.7804665,17804.665022830603,548.2625546620848,,NWIC,5,5,49552.0,38,464,3947,524908,18,18,SHE,SHE,WS18SHE031,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,548.2625546620848,District Water Body Atlas
Phase 2,Dadra & Nagar Havelli And Daman & Diu,Diu,Diu,Zolawadi,DH18DIU0005,20.71444267,70.94827421,West flowing rivers of Kutch and Saurashtra including Luni,Shetrunji and other east flowing rivers,Machundri,Lakes/Pond,5.18104722,51810.47219873635,1111.6855108976702,,NWIC,6,6,49553.0,38,464,3947,524908,18,18,SHE,SHE,WS18SHE031,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1111.6855108976702,District Water Body Atlas
Phase 2,Dadra & Nagar Havelli And Daman & Diu,Diu,Diu,Saudwadi,DH18DIU0001,20.73062701,70.89907382,West flowing rivers of Kutch and Saurashtra including Luni,Shetrunji and other east flowing rivers,Machundri,Lakes/Pond,1.11679971,11167.997144017492,540.7183893123765,,NWIC,7,7,49554.0,38,464,3947,524910,18,18,SHE,SHE,WS18SHE031,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,540.7183893123765,District Water Body Atlas
Phase 2,Dadra & Nagar Havelli And Daman & Diu,Diu,Diu,Vanakbara,DH18DIU0009,20.72098897,70.8819294,West flowing rivers of Kutch and Saurashtra including Luni,Shetrunji and other east flowing rivers,Machundri,Lakes/Pond,21.72586939,217258.69392904016,2013.4448668847724,,NWIC,8,8,49555.0,38,464,3947,524907,18,18,SHE,SHE,WS18SHE031,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,2013.4448668847724,District Water Body Atlas
Phase 2,Dadra & Nagar Havelli And Daman & Diu,Diu,Diu,Diu,DH18DIU0006,20.71642543,70.97685633,West flowing rivers of Kutch and Saurashtra including Luni,Shetrunji and other east flowing rivers,Machundri,Lakes/Pond,5.531848340000001,55318.48338032556,1301.5413640815107,,NWIC,9,9,49556.0,38,464,3947,0,18,18,SHE,SHE,WS18SHE031,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1301.5413640815107,District Water Body Atlas
Phase 2,Dadra & Nagar Havelli And Daman & Diu,Diu,Diu,Zolawadi,DH18DIU0007,20.73052843,70.93123275,West flowing rivers of Kutch and Saurashtra including Luni,Shetrunji and other east flowing rivers,Machundri,Lakes/Pond,11.70968147,117096.81472908765,1638.4966334450553,,NWIC,10,10,49557.0,38,464,3947,524908,18,18,SHE,SHE,WS18SHE031,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1638.4966334450553,District Water Body Atlas
