Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Haryana,Sirsa,Sirsa,Bajekan,HR01SRS0034,29.50907704,75.10166511,Indus (Up to border),Ghaghar and others,,Lakes/Pond,2.50632788,25063.278775707266,683.3621504526726,,NWIC,720,720,722.0,06,074,0390,60679,01,01,GHO,GHO,WS01GHO026,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,Yes,No,No,0,683.3621504526726,District Water Body Atlas
Phase 2,Haryana,Jind,Safidon,Safidon,HR19JND0369,29.40306738,76.66582745000001,Area of Inland drainage in Rajasthan,Area of Inland drainage in Rajasthan,,Lakes/Pond,2.32064421,23206.44213941009,609.6012918134281,,NWIC,653,653,655.0,06,065,0385,0,19,19,ADR,ADR,WS19ADR005,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,609.6012918134281,District Water Body Atlas
Phase 2,Haryana,Fatehabad,Fatehabad,Nadhori,HR01FTB0161,29.514810280000003,75.64990841000001,Indus (Up to border),Ghaghar and others,,Lakes/Pond,2.41123865,24112.38654670383,583.2990571586521,,NWIC,1571,1571,2459.0,06,061,0388,60426,01,01,GHO,GHO,WS01GHO025,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,583.2990571586521,District Water Body Atlas
Phase 2,Haryana,Mahendragarh,Narnaul,Nasibpur,HR19MGH0015,28.06886738,76.09602769,Area of Inland drainage in Rajasthan,Area of Inland drainage in Rajasthan,Chandrawati,Lakes/Pond,1.67822993,16782.29931475865,529.4274824176529,,NWIC,20,20,22.0,06,069,0412,62187,19,19,ADR,ADR,WS19ADR019,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,529.4274824176529,District Water Body Atlas
Phase 2,Haryana,Rewari,Rewari,Mandhia Kalan,HR2ARWR0012,28.193416380000002,76.65212284,Ganga,Yamuna Upper,,Tank,3.3161654,33161.65403690617,794.3136673222037,,NWIC,1006,1006,1672.0,06,072,0414,62613,2A,2A,YAU,YAU,WS2AYAU028,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,794.3136673222037,District Water Body Atlas
Phase 2,Haryana,Sirsa,Sirsa,Sirsa,HR01SRS0112,29.55345344,75.0291027,Indus (Up to border),Ghaghar and others,,Lakes/Pond,1.52461358,15246.135806912107,494.07775417811206,,NWIC,1285,1285,1966.0,06,074,0390,0,01,01,GHO,GHO,WS01GHO026,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,494.07775417811206,District Water Body Atlas
Phase 2,Haryana,Sirsa,Sirsa,Sirsa,HR01SRS0119,29.540272289999997,75.05441753,Indus (Up to border),Ghaghar and others,,Lakes/Pond,1.21080605,12108.060536268104,440.1963398423278,,NWIC,1398,1398,2085.0,06,074,0390,0,01,01,GHO,GHO,WS01GHO026,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,440.1963398423278,District Water Body Atlas
Phase 2,Haryana,Rewari,Rewari,Kalaka,HR2ARWR0044,28.190034360000002,76.64855812,Ganga,Yamuna Upper,,Tank,4.94036694,49403.669449119974,902.5506793217993,,NWIC,1703,1703,2591.0,06,072,0414,62570,2A,2A,YAU,YAU,WS2AYAU028,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,902.5506793217993,District Water Body Atlas
Phase 2,Haryana,Kurukshetra,Thanesar,Babain,HR01KRK0222,30.07798999,76.98833836,Indus (Up to border),Ghaghar and others,,Lakes/Pond,1.63221443,16322.144290274115,471.7270931965721,,NWIC,2017,2017,51983.0,06,068,0366,058634,01,01,GHO,GHO,WS01GHO010,,01,,,,,,,,0.0,0.0,,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,0,471.7270931965721,District Water Body Atlas
Phase 2,Haryana,Mahendragarh,Mahendragarh,Syana,HR19MGH0001,28.44547425,76.22241652,Area of Inland drainage in Rajasthan,Area of Inland drainage in Rajasthan,Chandrawati,Lakes/Pond,1.07682374,10768.237364399038,586.0653716994722,,NWIC,1,1,3.0,06,069,0411,62082,19,19,ADR,ADR,WS19ADR021,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,586.0653716994722,District Water Body Atlas
