Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Jharkhand,Lohardaga,Lohardaga,Hendlaso,JH07LHR0067,23.51628453,84.71678679,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,3.3349983,33349.98303154911,730.5746095471088,,NWIC,2,2,30587.0,20,336,2601,363100,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,730.5746095471088,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Kisko,Hisri,JH07LHR0031,23.4537899,84.60263958,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,1.41455426,14145.542642532495,758.6116767771356,,NWIC,12,12,30604.0,20,336,2597,362864,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,758.6116767771356,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Kisko,Bagru,JH07LHR0049,23.48228287,84.59859624,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,1.97947184,19794.71835511534,541.6219801184295,,NWIC,13,13,30605.0,20,336,2597,362868,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,541.6219801184295,District Water Body Atlas
Phase 2,Jharkhand,Deoghar,Karon,Karo,JH2ADGH0204,24.12058236,86.74258911000001,Ganga,Bhagirathi and others (Ganga Lower),Ajay,Lakes/Pond,1.03245965,10324.596483959795,412.0611061033513,Karo,NWIC,1122,1122,74454.0,20,324,2552,354920,2A,2A,BHG,BHG,WS2ABHG044,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,412.0611061033513,District Water Body Atlas
Phase 2,Jharkhand,Deoghar,Mohanpur,Kamtapalak,JH2ADGH0537,24.50713706,86.81437154,Ganga,Gandak and others,Chandan,Lakes/Pond,1.3673491,13673.490978563248,472.1617575297218,,NWIC,1455,1455,74787.0,20,324,2546,353591,2A,2A,GAN,GAN,WS2AGAN067,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,472.1617575297218,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Kisko,Salaiya,JH07LHR0070,23.565215900000002,84.67355051,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,4.10981999,41098.19990334975,2012.0720060448264,,NWIC,1,1,30586.0,20,336,2597,362880,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,2012.0720060448264,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Lohardaga,Kurse,JH07LHR0016,23.52239425,84.70104027999999,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,1.16571298,11657.129795542323,431.7932533463513,,NWIC,3,3,30588.0,20,336,2601,363097,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,0,431.7932533463513,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Senha,Korambe,JH07LHR0033,23.31523164,84.64989863,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,1.45246159,14524.615908998856,481.1921070986824,,NWIC,4,4,30589.0,20,336,2602,363142,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,481.1921070986824,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Senha,Garhgaon,JH07LHR0056,23.34591886,84.55280553,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,2.54794501,25479.45006323455,952.0920350127972,,NWIC,5,5,30597.0,20,336,2602,363111,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,952.0920350127972,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Senha,Jhakhra,JH07LHR0053,23.33524571,84.58323867,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,2.34436988,23443.69877791363,711.0371794528446,,NWIC,6,6,30598.0,20,336,2602,363139,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,711.0371794528446,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Senha,Chamru,JH07LHR0052,23.34725229,84.5741193,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,2.3329159,23329.159010577998,595.0344288184752,,NWIC,7,7,30599.0,20,336,2602,363114,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,595.0344288184752,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Senha,Garhgaon,JH07LHR0005,23.35688675,84.55670495000001,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,1.09079762,10907.976189601031,381.49161248354625,,NWIC,8,8,30600.0,20,336,2602,363111,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,381.49161248354625,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Senha,Buti,JH07LHR0022,23.331190749999998,84.59335194,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,1.27106577,12710.657725327821,449.81059143991996,,NWIC,9,9,30601.0,20,336,2602,363140,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,Yes,No,No,0,449.81059143991996,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Lohardaga,Lohardaga,JH07LHR0076,23.438619680000002,84.68070791,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,7.080225339999999,70802.25335689267,1272.0770651141056,,NWIC,10,10,30602.0,20,336,2601,0,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1272.0770651141056,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Senha,Badla,JH07LHR0011,23.42367423,84.65883437,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,1.132746,11327.459963407604,461.9837372420111,,NWIC,11,11,30603.0,20,336,2602,363125,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,461.9837372420111,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Senha,Bansari,JH07LHR0059,23.398389679999998,84.63228559,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,2.70530782,27053.07815063079,715.5754486461983,,NWIC,14,14,30606.0,20,336,2602,363127,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,715.5754486461983,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Senha,Senha,JH07LHR0064,23.38780765,84.65636615,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,2.97364595,29736.459539197458,673.8274368995986,,NWIC,15,15,30607.0,20,336,2602,363157,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,673.8274368995986,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Lohardaga,Hirhi,JH07LHR0028,23.4968026,84.7209252,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,1.35979159,13597.915884327831,522.1495559956142,,NWIC,16,16,30608.0,20,336,2601,363101,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,522.1495559956142,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Lohardaga,Tigra,JH07LHR0021,23.416679199999997,84.73576102999999,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,1.23226176,12322.617620290324,418.7415578696861,,NWIC,17,17,30609.0,20,336,2601,363084,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,Yes,No,No,No,No,No,No,No,No,0,418.7415578696861,District Water Body Atlas
Phase 2,Jharkhand,Lohardaga,Lohardaga,Kaimo,JH07LHR0025,23.46708236,84.69524068,Brahmani and Baitarni,Brahmani,Koel,Lakes/Pond,1.30069919,13006.991913246966,440.3679049318712,,NWIC,18,18,30610.0,20,336,2601,363095,07,07,BRA,BRA,WS07BRA003,,01,,,,,,,,0.0,0.0,,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,440.3679049318712,District Water Body Atlas
