Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Jammu & Kashmir,Jammu,Akhnoor,Bharda Khurd,JK01JMU0001,32.91890218,74.71934603,Indus (Up to border),Chenab,,Lakes/Pond,1.2370379,12370.378960809732,421.9599117309876,Bharda Khurd,NWIC,1,1,78370.0,01,005,0078,005513,01,01,CHE,CHE,Chenab,,01,,,,,,,,0.0,0.0,,,,,,No,No,Yes,No,No,No,No,No,No,0,421.9599117309876,District Water Body Atlas
Phase 2,Jammu & Kashmir,Jammu,Jammu,Jammu Municipal Corporation,JK01JMU0002,32.780571050000006,74.82208958,Indus (Up to border),Chenab,,Lakes/Pond,1.38155997,13815.599678075425,453.2857413073789,Jammu Municipal Corporation,NWIC,2,2,78371.0,01,005,0079,248194,01,01,CHE,CHE,Chenab,Gurha Talab,01,,,,,,,,0.0,0.0,,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,0,453.2857413073789,District Water Body Atlas
Phase 2,Jammu & Kashmir,Jammu,Arnia,Changia,JK01JMU0003,32.492023259999996,74.78586811,Indus (Up to border),Chenab,,Lakes/Pond,2.36195504,23619.550378503296,576.321556302849,Changia,NWIC,3,3,78372.0,01,005,6717,006289,01,01,CHE,CHE,Aik,,01,,,,,,,,0.0,0.0,,,,,,Yes,No,Yes,No,Yes,No,Yes,No,Yes,0,576.321556302849,District Water Body Atlas
Phase 2,Jammu & Kashmir,Jammu,Kharah Balli,Khowara,JK01JMU0004,32.87388738,74.54206804,Indus (Up to border),Chenab,,Lakes/Pond,1.31837641,13183.764059731799,427.35896066149076,Khowara,NWIC,4,4,78373.0,01,005,6704,005543,01,01,CHE,CHE,Kanah N,Dhanger Pond,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,427.35896066149076,District Water Body Atlas
Phase 2,Jammu & Kashmir,Jammu,Jammu,Panjoa,JK01JMU0005,32.77017145,75.04142915,Indus (Up to border),Chenab,,Lakes/Pond,29.67405148,296740.5148137582,2353.473169956655,Panjoa,NWIC,5,5,78374.0,01,005,0079,005738,01,01,CHE,CHE,Tawi,Surinsar Lake,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,2353.473169956655,District Water Body Atlas
Phase 2,Jammu & Kashmir,Jammu,Suchetgarh,Gharana,JK01JMU0006,32.54104589,74.6906603,Indus (Up to border),Chenab,,Lakes/Pond,6.632112810000001,66321.12808111099,1448.9952863980816,Gharana,NWIC,6,6,78375.0,01,005,6716,006143,01,01,CHE,CHE,Aik,Gharana Wetland,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1448.9952863980816,District Water Body Atlas
Phase 2,Jammu & Kashmir,Jammu,Bhalwal,Amb,JK01JMU0007,32.861710009999996,74.77010652999999,Indus (Up to border),Chenab,,Lakes/Pond,1.2974795,12974.795041570307,420.05768677132994,,NWIC,7,7,78376.0,01,005,6709,005752,01,01,CHE,CHE,Chenab,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,420.05768677132994,District Water Body Atlas
Phase 2,Jammu & Kashmir,Jammu,Bhalwal,Bhalwal,JK01JMU0008,32.841883779999996,74.81337429999999,Indus (Up to border),Chenab,,Lakes/Pond,1.3024602,13024.60198609892,456.5132062313515,Bhalwal,NWIC,8,8,78377.0,01,005,6709,005963,01,01,CHE,CHE,Chenab,Karwanda Talab,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,456.5132062313515,District Water Body Atlas
Phase 2,Jammu & Kashmir,Jammu,Marh,Flora Harmkund,JK01JMU0009,32.74837446,74.72739131,Indus (Up to border),Chenab,,Lakes/Pond,1.40150438,14015.043779316955,449.36709486841056,,NWIC,9,9,78378.0,01,005,6715,005839,01,01,CHE,CHE,Chenab,Amrit Sarovar,01,,,,,,,,0.0,0.0,,,,,,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,0,449.36709486841056,District Water Body Atlas
Phase 2,Jammu & Kashmir,Jammu,Bishnah,Salehar,JK01JMU0010,32.561745370000004,74.82245607,Indus (Up to border),Chenab,,Lakes/Pond,1.00828679,10082.867919358181,389.4819751919095,,NWIC,10,10,78379.0,01,005,0081,006119,01,01,CHE,CHE,Aik,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,Yes,0,389.4819751919095,District Water Body Atlas
