Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Kerala,Wayanad,Vythiri,Kavumannam,KL05WAY0002,11.6506223,75.98180003,Cauvery,Cauvery Middle,Kabini,Lakes/Pond,3.62470382,36247.03815667619,839.9027390598851,,NWIC,2,2,10009.0,32,567,5637,627331,05,05,CAM,CAM,WS05CAM013,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,839.9027390598851,District Water Body Atlas
Phase 2,Kerala,Wayanad,Sulthanbathery,Kidanganad,KL05WAY0008,11.7410971,76.22167902,Cauvery,Cauvery Middle,Kabini,Lakes/Pond,1.50663907,15066.390692119898,723.1747905477225,,NWIC,8,8,10015.0,32,567,5636,627313,05,05,CAM,CAM,WS05CAM013,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,Yes,No,Yes,0,723.1747905477225,District Water Body Atlas
Phase 2,Kerala,Wayanad,Sulthanbathery,Ambalavayal,KL05WAY0009,11.62187179,76.20865755,Cauvery,Cauvery Middle,Kabini,Lakes/Pond,1.96472194,19647.219404951065,528.8517796067869,,NWIC,9,9,10241.0,32,567,5636,627322,05,05,CAM,CAM,WS05CAM013,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,528.8517796067869,District Water Body Atlas
Phase 2,Kerala,Wayanad,Vythiri,Thariyode,KL05WAY0010,11.64471674,75.94633132,Cauvery,Cauvery Middle,Kabini,Reservoir,1260.9797332100002,12609797.332054395,100170.46733189083,,NWIC,10,10,12393.0,32,567,5637,627332,05,05,CAM,CAM,WS05CAM013,Banasurasagar Reservoir,02,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,100170.46733189083,District Water Body Atlas
Phase 2,Kerala,Wayanad,Sulthanbathery,Thomattuchal,KL05WAY0011,11.59821202,76.17294791,Cauvery,Cauvery Middle,Kabini,Reservoir,873.34014956,8733401.495636659,82042.2044332789,,NWIC,11,11,12394.0,32,567,5636,627323,05,05,CAM,CAM,WS05CAM013,Karapuzha Reservoir,02,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,82042.2044332789,District Water Body Atlas
Phase 2,Kerala,Wayanad,Mananthavady,Thirunelly,KL05WAY0001,11.94750501,76.07438846,Cauvery,Cauvery Middle,Manantoddy Puzha,Lakes/Pond,1.34105584,13410.558417493516,435.3582689294899,,NWIC,1,1,10008.0,32,567,5635,627293,05,05,CAM,CAM,WS05CAM014,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,Yes,No,No,No,0,435.3582689294899,District Water Body Atlas
Phase 2,Kerala,Wayanad,Sulthanbathery,Nadavayal,KL05WAY0003,11.76164356,76.15689948,Cauvery,Cauvery Middle,Kabini,Lakes/Pond,3.83573506,38357.350554560966,925.8533969719525,,NWIC,3,3,10010.0,32,567,5636,627309,05,05,CAM,CAM,WS05CAM015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,925.8533969719525,District Water Body Atlas
Phase 2,Kerala,Wayanad,Sulthanbathery,Kidanganad,KL05WAY0004,11.708386749999999,76.2774873,Cauvery,Cauvery Middle,Nul Pula,Lakes/Pond,2.36457989,23645.7989149688,843.2690832508732,,NWIC,4,4,10011.0,32,567,5636,627313,05,05,CAM,CAM,WS05CAM018,,01,,,,,,,,0.0,0.0,,,,,,No,Yes,No,Yes,No,No,No,No,No,0,843.2690832508732,District Water Body Atlas
Phase 2,Kerala,Wayanad,Vythiri,Muttil North,KL05WAY0005,11.65059699,76.09079104,Cauvery,Cauvery Middle,Kabini,Lakes/Pond,1.37358317,13735.831684482986,451.090048728357,,NWIC,5,5,10012.0,32,567,5637,627328,05,05,CAM,CAM,WS05CAM013,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,451.090048728357,District Water Body Atlas
Phase 2,Kerala,Wayanad,Vythiri,Kalpetta,KL05WAY0006,11.61896121,76.08986881,Cauvery,Cauvery Middle,Kabini,Lakes/Pond,1.11869066,11186.906627989936,415.49623510128254,,NWIC,6,6,10013.0,32,567,5637,0,05,05,CAM,CAM,WS05CAM013,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,415.49623510128254,District Water Body Atlas
Phase 2,Kerala,Wayanad,Vythiri,Kunnathidavaka,KL05WAY0007,11.542305070000001,76.02737223999999,Cauvery,Cauvery Middle,Kabini,Lakes/Pond,5.99592103,59959.21025126439,1212.8318105149685,,NWIC,7,7,10014.0,32,567,5637,627335,05,05,CAM,CAM,WS05CAM013,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1212.8318105149685,District Water Body Atlas
Phase 2,Kerala,Wayanad,Vythiri,Kalpetta,KL05WAY0012,11.59008497,76.08359537,Cauvery,Cauvery Middle,Kabini,Lakes/Pond,1.1029843,11029.842993306482,646.4913188470445,,NWIC,12,12,12395.0,32,567,5637,0,05,05,CAM,CAM,WS05CAM013,Kotagiri Saddle,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,646.4913188470445,District Water Body Atlas
Phase 2,Kerala,Wayanad,Sulthanbathery,Purakkadi,KL05WAY0013,11.66261988,76.14724044,Cauvery,Cauvery Middle,Kabini,Lakes/Pond,1.85375044,18537.504407042306,513.1897879032177,,NWIC,13,13,12446.0,32,567,5636,627315,05,05,CAM,CAM,WS05CAM013,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,513.1897879032177,District Water Body Atlas
Phase 2,Kerala,Wayanad,Sulthanbathery,Kidanganad,KL05WAY0014,11.770346530000001,76.29785260999999,Cauvery,Cauvery Middle,Nul Pula,Lakes/Pond,9.25298355,92529.83549582743,1623.1567910711733,,NWIC,14,14,12447.0,32,567,5636,627313,05,05,CAM,CAM,WS05CAM018,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1623.1567910711733,District Water Body Atlas
Phase 2,Kerala,Wayanad,Sulthanbathery,Kidanganad,KL05WAY0015,11.77781113,76.27531514,Cauvery,Cauvery Middle,Kabini,Lakes/Pond,37.75041809,377504.1809170851,6721.612567115639,,NWIC,15,15,12448.0,32,567,5636,627313,05,05,CAM,CAM,WS05CAM015,,01,,,,,,,,0.0,0.0,,,,,,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,0,6721.612567115639,District Water Body Atlas
Phase 2,Kerala,Wayanad,Mananthavady,Thrissilery,KL05WAY0016,11.871797930000001,76.06533653,Cauvery,Cauvery Middle,Manantoddy Puzha,Lakes/Pond,1.07984459,10798.445875004145,400.18895219162033,,NWIC,16,16,12449.0,32,567,5635,627294,05,05,CAM,CAM,WS05CAM014,,01,,,,,,,,0.0,0.0,,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,400.18895219162033,District Water Body Atlas
Phase 2,Kerala,Malappuram,Tirurangadi,Ariyallur CT,KL15MLP0001,11.10194148,75.83690129,West flowing rivers from Tadri to Kanyakumari,Varrar and others,Kadalundi,Lakes/Pond,2.41479161,24147.916124169315,907.8130544466642,Ariyallur CT,NWIC,17,17,58793.0,32,562,5645,627544,15,15,VAR,VAR,WS15VAR018,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,907.8130544466642,District Water Body Atlas
