Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Meghalaya,East Khasi Hills,Mawryngkneng,Data Partially Available,ML2CEKH0004,25.51201809,91.9102986,Barak and others,Kynchiang and other south flowing rivers,Umngot,Lakes/Pond,1.19136073,11913.607278643456,541.6609589790303,,NWIC,2,2,32040.0,17,274,1990,0,2C,2C,KYN,KYN,WS2CKYN011,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,541.6609589790303,District Water Body Atlas
Phase 2,Meghalaya,East Khasi Hills,Mawphlang,Data Partially Available,ML2CEKH0019,25.45584248,91.77747391,Barak and others,Kynchiang and other south flowing rivers,Umiew,Reservoir,63.656629249999995,636566.2925482922,11641.231061681226,,NWIC,11,11,32628.0,17,274,1988,0,2C,2C,KYN,KYN,WS2CKYN014,Mawphlang Reservoir,02,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,11641.231061681226,District Water Body Atlas
Phase 2,Meghalaya,East Khasi Hills,Mylliem,Shillong,ML2BEKH0014,25.5750083,91.88752371,Brahamaputra,Brahmaputra Lower,Umiam,Lakes/Pond,2.81783958,28178.395796968463,864.4602009551298,,NWIC,1,1,30596.0,17,274,1989,0,2B,2B,BRL,BRL,WS2BBRL038,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,864.4602009551298,District Water Body Atlas
Phase 2,Meghalaya,East Khasi Hills,Mawryngkneng,Data Partially Available,ML2CEKH0007,25.52488233,91.92469538,Barak and others,Kynchiang and other south flowing rivers,Umngot,Lakes/Pond,1.35540183,13554.018255360073,593.5063695803282,,NWIC,3,3,32041.0,17,274,1990,0,2C,2C,KYN,KYN,WS2CKYN011,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,593.5063695803282,District Water Body Atlas
Phase 2,Meghalaya,East Khasi Hills,Mylliem,Data Partially Available,ML2CEKH0009,25.51972051,91.80889053,Barak and others,Kynchiang and other south flowing rivers,Umiew,Lakes/Pond,1.47573138,14757.313840086992,551.795621881953,,NWIC,4,4,32042.0,17,274,1989,0,2C,2C,KYN,KYN,WS2CKYN014,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,551.795621881953,District Water Body Atlas
Phase 2,Meghalaya,East Khasi Hills,Mylliem,Data Partially Available,ML2CEKH0002,25.51262538,91.87884672,Barak and others,Kynchiang and other south flowing rivers,Umiew,Lakes/Pond,1.10164791,11016.47905689167,447.9738011151266,,NWIC,5,5,32043.0,17,274,1989,0,2C,2C,KYN,KYN,WS2CKYN014,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,447.9738011151266,District Water Body Atlas
Phase 2,Meghalaya,East Khasi Hills,Mylliem,Data Partially Available,ML2CEKH0010,25.51224226,91.87982551,Barak and others,Kynchiang and other south flowing rivers,Umiew,Lakes/Pond,1.51842783,15184.278291436836,474.04649141874114,,NWIC,6,6,32044.0,17,274,1989,0,2C,2C,KYN,KYN,WS2CKYN014,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,474.04649141874114,District Water Body Atlas
Phase 2,Meghalaya,East Khasi Hills,Shella Bholaganj,Data Partially Available,ML2CEKH0013,25.145923630000002,91.68803403,Barak and others,Kynchiang and other south flowing rivers,Um Sohra,Lakes/Pond,2.58127979,25812.797862957756,720.9275549285628,,NWIC,7,7,32058.0,17,274,1994,0,2C,2C,KYN,KYN,WS2CKYN013,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,720.9275549285628,District Water Body Atlas
Phase 2,Meghalaya,East Khasi Hills,Mawsynram,Data Partially Available,ML2CEKH0001,25.2660645,91.58951302,Barak and others,Kynchiang and other south flowing rivers,Umiew,Lakes/Pond,1.07948595,10794.85950994912,695.5635324798477,,NWIC,8,8,32079.0,17,274,1993,0,2C,2C,KYN,KYN,WS2CKYN014,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,695.5635324798477,District Water Body Atlas
Phase 2,Meghalaya,East Khasi Hills,Pynursla,Data Partially Available,ML2CEKH0015,25.3342924,91.91066601,Barak and others,Kynchiang and other south flowing rivers,Umngot,Lakes/Pond,3.06980388,30698.0387568239,1440.0919127385505,,NWIC,9,9,32145.0,17,274,1995,0,2C,2C,KYN,KYN,WS2CKYN011,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1440.0919127385505,District Water Body Atlas
Phase 2,Meghalaya,East Khasi Hills,Mawsynram,Data Partially Available,ML2CEKH0008,25.16149666,91.56561538,Barak and others,Kynchiang and other south flowing rivers,Umngi,Lakes/Pond,1.37761343,13776.134284517684,551.8322687147987,,NWIC,10,10,32275.0,17,274,1993,0,2C,2C,KYN,KYN,WS2CKYN015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,551.8322687147987,District Water Body Atlas
Phase 2,Meghalaya,East Khasi Hills,Mylliem,Data Partially Available,ML2BEKH0020,25.65181853,91.87694450000001,Brahamaputra,Brahmaputra Lower,Umiam,Reservoir,956.23317751,9562331.775115967,64274.56858475376,,NWIC,12,12,32631.0,17,274,1989,0,2B,2B,BRL,BRL,WS2BBRL038,Umiam,02,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,64274.56858475376,District Water Body Atlas
Phase 2,Meghalaya,East Khasi Hills,Pynursla,Data Partially Available,ML2CEKH0006,25.33017049,91.90215655,Barak and others,Kynchiang and other south flowing rivers,Umngot,Lakes/Pond,1.24081363,12408.136286723104,502.8736658984785,,NWIC,13,13,33165.0,17,274,1995,0,2C,2C,KYN,KYN,WS2CKYN011,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,502.8736658984785,District Water Body Atlas
