Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Manipur,Imphal,Sawombung,Ngairangbam,MN20IME0033,24.90712203,93.96298775000001,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Tank,2.73914038,27391.403849615162,680.0581193172885,,NWIC,54,54,74855.0,14,255,1884,270238,20,20,IMP,IMP,WS20IMP014,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,Yes,Yes,0,680.0581193172885,District Water Body Atlas
Phase 2,Manipur,Imphal,Lamsang,Khonghampat,MN20IMW0001,24.890602519999998,93.88500398000001,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Lakes/Pond,1.68924091,16892.40911229194,576.99274334333,,NWIC,1,1,74802.0,14,256,1879,270053,20,20,IMP,IMP,WS20IMP016,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,576.99274334333,District Water Body Atlas
Phase 2,Manipur,Imphal,Porompat,Lairikyengbam Leikai CT,MN20IME0001,24.81867587,93.95205246,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Tril,Tank,3.77839863,37783.98629616668,1144.7420138067814,,NWIC,2,2,74803.0,14,255,1885,270317,20,20,IMP,IMP,WS20IMP015,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1144.7420138067814,District Water Body Atlas
Phase 2,Manipur,Imphal,Porompat,Imphal Mci Plus Og,MN20IME0002,24.80563298,93.95299096,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Tril,Lakes/Pond,1.21301667,12130.166682946237,546.2706135917695,,NWIC,3,3,74804.0,14,255,1885,801487,20,20,IMP,IMP,WS20IMP015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,546.2706135917695,District Water Body Atlas
Phase 2,Manipur,Imphal,Porompat,Thangjam Leikai,MN20IME0003,24.817660739999997,93.96223228,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Tril,Lakes/Pond,1.85733811,18573.381053370565,578.6173301496927,,NWIC,4,4,74805.0,14,255,1885,270286,20,20,IMP,IMP,WS20IMP015,,01,,,,,,,,0.0,0.0,,,,,,Yes,No,No,No,No,No,No,No,Yes,0,578.6173301496927,District Water Body Atlas
Phase 2,Manipur,Imphal,Porompat,Chingangbam Leikai CT,MN20IME0004,24.80927006,93.95879864999999,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Tril,Lakes/Pond,1.21041547,12104.15467110075,917.8278485846695,,NWIC,5,5,74806.0,14,255,1885,270320,20,20,IMP,IMP,WS20IMP015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,917.8278485846695,District Water Body Atlas
Phase 2,Manipur,Imphal,Porompat,Porompat CT,MN20IME0005,24.7989044,93.95460982,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Tril,Tank,4.1370686,41370.685961905474,814.2266403238497,,NWIC,6,6,74807.0,14,255,1885,270312,20,20,IMP,IMP,WS20IMP015,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,814.2266403238497,District Water Body Atlas
Phase 2,Manipur,Imphal,Porompat,Porompat CT,MN20IME0006,24.79401898,93.94972743000001,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Tril,Lakes/Pond,2.95236778,29523.677766190558,1717.880534063536,,NWIC,7,7,74808.0,14,255,1885,270312,20,20,IMP,IMP,WS20IMP015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1717.880534063536,District Water Body Atlas
Phase 2,Manipur,Imphal,Lamsang,Khonghampat,MN20IMW0002,24.88678492,93.88341686,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Lakes/Pond,1.49185341,14918.534138849507,528.4579578619015,,NWIC,8,8,74809.0,14,256,1879,270053,20,20,IMP,IMP,WS20IMP016,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,528.4579578619015,District Water Body Atlas
Phase 2,Manipur,Imphal,Lamphelpat,Langol Reserved Forest,MN20IMW0003,24.86154749,93.89306389000001,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Lakes/Pond,2.44976107,24497.61072008126,649.118314772162,,NWIC,9,9,74810.0,14,256,1881,999999,20,20,IMP,IMP,WS20IMP016,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,649.118314772162,District Water Body Atlas
Phase 2,Manipur,Imphal,Lamsang,Akham,MN20IMW0004,24.84790564,93.8498235,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Lakes/Pond,1.40325827,14032.582674983116,1249.262745273338,,NWIC,10,10,74811.0,14,256,1879,270079,20,20,IMP,IMP,WS20IMP016,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1249.262745273338,District Water Body Atlas
Phase 2,Manipur,Imphal,Lamphelpat,Imphal Mci Plus Og,MN20IMW0005,24.80306178,93.90849659,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Lakes/Pond,3.69270151,36927.015097525924,1191.6585745864886,,NWIC,11,11,74812.0,14,256,1881,801487,20,20,IMP,IMP,WS20IMP016,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,Yes,0,1191.6585745864886,District Water Body Atlas
Phase 2,Manipur,Imphal,Lamphelpat,Imphal Mci Plus Og,MN20IMW0006,24.80195965,93.894123,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Lakes/Pond,1.02649734,10264.973415840614,416.9996684044339,,NWIC,12,12,74813.0,14,256,1881,801487,20,20,IMP,IMP,WS20IMP016,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,416.9996684044339,District Water Body Atlas
Phase 2,Manipur,Imphal,Porompat,Achanbigei,MN20IME0007,24.875849400000003,93.92125618,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Lakes/Pond,2.27279164,22727.916409151698,1286.7343501805005,,NWIC,13,13,74814.0,14,255,1885,270276,20,20,IMP,IMP,WS20IMP014,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1286.7343501805005,District Water Body Atlas
Phase 2,Manipur,Imphal,Porompat,Achanbigei,MN20IME0008,24.87230746,93.92107392000001,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Lakes/Pond,2.00217372,20021.737245266333,1141.1908617939268,,NWIC,14,14,74815.0,14,255,1885,270276,20,20,IMP,IMP,WS20IMP014,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1141.1908617939268,District Water Body Atlas
Phase 2,Manipur,Imphal,Sawombung,Pangei,MN20IME0009,24.877316420000003,93.96416301000001,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Lakes/Pond,3.44897138,34489.7137839017,1074.5341112578444,,NWIC,15,15,74816.0,14,255,1884,270242,20,20,IMP,IMP,WS20IMP014,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1074.5341112578444,District Water Body Atlas
Phase 2,Manipur,Imphal,Sawombung,Pangei,MN20IME0010,24.8719849,93.96608098,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Lakes/Pond,2.9923204,29923.204048833486,1076.8014367696544,,NWIC,16,16,74817.0,14,255,1884,270242,20,20,IMP,IMP,WS20IMP014,,01,,,,,,,,0.0,0.0,,,,,,Yes,No,No,No,No,No,No,No,Yes,0,1076.8014367696544,District Water Body Atlas
Phase 2,Manipur,Imphal,Lamsang,Awangkhunou,MN20IMW0007,24.785923500000003,93.83733228999999,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Lakes/Pond,1.51681261,15168.126104524757,598.4674096967103,,NWIC,23,23,74824.0,14,256,1879,270073,20,20,IMP,IMP,WS20IMP016,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,598.4674096967103,District Water Body Atlas
Phase 2,Manipur,Imphal,Keirao Bitra,Andro Pt,MN20IME0021,24.75056415,94.03523487,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Sangmi Ture,Tank,1.28418437,12841.843700396465,531.7947316263732,,NWIC,32,32,74833.0,14,255,1886,270356,20,20,IMP,IMP,WS20IMP018,,03,,,,,,,,0.0,0.0,,,,,,Yes,Yes,No,No,No,No,No,No,Yes,0,531.7947316263732,District Water Body Atlas
Phase 2,Manipur,Imphal,Sawombung,Khundrakpam,MN20IME0011,24.86706124,93.97002365,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Lakes/Pond,3.77689189,37768.91889278823,1213.3226030586718,,NWIC,17,17,74818.0,14,255,1884,270235,20,20,IMP,IMP,WS20IMP014,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1213.3226030586718,District Water Body Atlas
