Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Nagaland,Dimapur,Dimapur Sadar,Data Partially Available,NL2BDMP0025,25.8901217,93.72644617,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,2.34936511,23493.651148830435,592.7747749643233,,NWIC,8,8,30443.0,13,244,1796,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,592.7747749643233,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Dimapur Sadar,Data Partially Available,NL2BDMP0024,25.89801064,93.73664371,Brahamaputra,Brahmaputra Upper,Dhansiri,Others,2.12551208,21255.120839146086,1310.8263772986368,,NWIC,10,10,30445.0,13,244,1796,0,2B,2B,BRU,BRU,WS2BBRU087,,05,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1310.8263772986368,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0022,25.94815637,93.78430407,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.72762305,17276.230478274483,612.135592143097,,NWIC,21,21,32617.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,612.135592143097,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0029,25.93493119,93.78413332999999,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,2.706592,27065.919992908384,666.5801426351952,,NWIC,33,33,32925.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,666.5801426351952,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0016,25.920471470000003,93.76243111,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.49475409,14947.540868151473,456.6567970461421,,NWIC,1,1,30436.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,Yes,No,No,Yes,No,No,No,No,0,456.6567970461421,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0009,25.91616699,93.75447717,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.28090913,12809.091273835213,474.29475250267603,,NWIC,2,2,30437.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,Yes,No,No,No,No,No,No,No,0,474.29475250267603,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0031,25.914722779999998,93.7499189,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,3.18661996,31866.199624236342,688.813077644213,,NWIC,3,3,30438.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,688.813077644213,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0030,25.91198494,93.75022219,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,2.84183795,28418.379516334437,646.9720006997146,,NWIC,4,4,30439.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,646.9720006997146,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0035,25.90640269,93.75435904,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,9.373875349999999,93738.75350740245,1226.3978233916587,,NWIC,5,5,30440.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1226.3978233916587,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0036,25.895638950000002,93.75313869,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,9.67767064,96776.70637488304,1211.89215958106,,NWIC,6,6,30441.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1211.89215958106,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Dimapur Sadar,Dimapur Municipal Council,NL2BDMP0019,25.91731193,93.72797417000001,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.5968712,15968.712023638847,936.1553875651842,,NWIC,9,9,30444.0,13,244,1796,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,936.1553875651842,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Kuhoboto,Data Partially Available,NL2BDMP0037,25.84339897,93.83368606,Brahamaputra,Brahmaputra Upper,Dhansiri,Reservoir,17.685390700000003,176853.90698126494,8241.06915372687,,NWIC,7,7,30442.0,13,244,1794,0,2B,2B,BRU,BRU,WS2BBRU087,,02,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,8241.06915372687,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Dimapur Sadar,Data Partially Available,NL2BDMP0034,25.872387,93.7235544,Brahamaputra,Brahmaputra Upper,Dhansiri,Others,4.93500767,49350.07665412821,1714.6612299865158,,NWIC,11,11,30446.0,13,244,1796,0,2B,2B,BRU,BRU,WS2BBRU087,,05,,,,,,,,0.0,0.0,,,,,,No,No,No,Yes,No,No,No,No,No,0,1714.6612299865158,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0006,25.839595600000003,93.75949759,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.21913146,12191.314648773798,589.183840947106,,NWIC,12,12,30447.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU086,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,589.183840947106,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Dhansiripar,Data Partially Available,NL2BDMP0007,25.72786318,93.57774712999999,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.23769957,12376.99569320134,847.7200956023037,,NWIC,13,13,30448.0,13,244,1798,0,2B,2B,BRU,BRU,WS2BBRU086,,01,,,,,,,,0.0,0.0,,,,,,No,Yes,No,No,Yes,No,No,No,No,0,847.7200956023037,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0021,25.92297416,93.75977587,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.61808758,16180.875847014906,496.92640268126706,,NWIC,17,17,32116.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,496.92640268126706,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Nihokhu,Data Partially Available,NL2BDMP0023,25.88520159,93.93487342,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.80591576,18059.157645652707,1444.2108249359114,,NWIC,18,18,32383.0,13,244,1795,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1444.2108249359114,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Dhansiripar,Data Partially Available,NL2BDMP0033,25.72507231,93.58067387,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,4.62286398,46228.639755566386,2273.966311029119,,NWIC,14,14,30449.0,13,244,1798,0,2B,2B,BRU,BRU,WS2BBRU086,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,2273.966311029119,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Niuland,Hevuxu,NL2BDMP0011,25.93307537,93.99030008000001,Brahamaputra,Brahmaputra Upper,Rengma /Zubza,Lakes/Pond,1.33200686,13320.06856306342,805.0126462712228,,NWIC,15,15,30450.0,13,244,1792,267620,2B,2B,BRU,BRU,WS2BBRU091,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,805.0126462712228,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0015,25.79632131,93.76982972,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.45764123,14576.41232031608,1521.2956042161177,,NWIC,16,16,32075.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU086,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1521.2956042161177,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0027,25.90681364,93.79233048,Brahamaputra,Brahmaputra Upper,Dhansiri,Others,2.62339243,26233.924310926966,1350.2027153693236,,NWIC,19,19,32402.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,05,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1350.2027153693236,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Dhansiripar,Data Partially Available,NL2BDMP0003,25.74335698,93.68072173,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.1378093,11378.092974200883,622.9883809419789,,NWIC,20,20,32580.0,13,244,1798,0,2B,2B,BRU,BRU,WS2BBRU086,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,622.9883809419789,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0008,25.94769891,93.78499692999999,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.26470585,12647.05851526156,481.42396974375373,,NWIC,22,22,32618.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,481.42396974375373,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0005,25.949420330000002,93.78333245,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.20807229,12080.72292847775,485.57077670319796,,NWIC,23,23,32619.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,485.57077670319796,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0017,25.94894624,93.78392327,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.52317585,15231.7584967643,570.5937694669103,,NWIC,24,24,32620.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,570.5937694669103,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Dhansiripar,Data Partially Available,NL2BDMP0028,25.74809494,93.69618161,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,2.65410484,26541.048444383276,833.2360944156595,,NWIC,25,25,32917.0,13,244,1798,0,2B,2B,BRU,BRU,WS2BBRU086,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,833.2360944156595,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Dhansiripar,Data Partially Available,NL2BDMP0004,25.75314243,93.69155763,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.18996921,11899.692054240739,846.6775455662826,,NWIC,26,26,32918.0,13,244,1798,0,2B,2B,BRU,BRU,WS2BBRU086,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,846.6775455662826,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0018,25.85971417,93.76410732,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.5255758,15255.757980385219,723.7300519081413,,NWIC,27,27,32919.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,723.7300519081413,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0020,25.86046682,93.76231023999999,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.59861793,15986.179318989738,593.9602363815919,,NWIC,28,28,32920.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,593.9602363815919,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Nihokhu,Data Partially Available,NL2BDMP0032,25.87815968,93.91279204,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,4.543694159999999,45436.94160099619,1179.8656163649687,,NWIC,29,29,32921.0,13,244,1795,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1179.8656163649687,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Dimapur Sadar,Dimapur Municipal Council,NL2BDMP0002,25.92104329,93.73644366,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.13640879,11364.087892016938,531.5054543918507,,NWIC,30,30,32922.0,13,244,1796,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,531.5054543918507,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Dimapur Sadar,Dimapur Municipal Council,NL2BDMP0013,25.9298742,93.75734216000001,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.42541142,14254.114150544847,525.9220901248888,,NWIC,31,31,32923.0,13,244,1796,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,525.9220901248888,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0010,25.920977099999998,93.77684534999999,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.3041859,13041.85903676752,499.7152604211452,,NWIC,32,32,32924.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,499.7152604211452,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0001,25.93166668,93.77581434000001,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.12677438,11267.743784140952,469.4805500201175,,NWIC,34,34,32926.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,469.4805500201175,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0012,25.93757114,93.77008604999999,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.40067809,14006.780909723613,742.2225186457368,,NWIC,35,35,32927.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,742.2225186457368,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Chumukedima,Data Partially Available,NL2BDMP0026,25.92945061,93.76990758000001,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,2.42321349,24232.134902999795,826.3352174227011,,NWIC,36,36,32928.0,13,244,1797,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,826.3352174227011,District Water Body Atlas
Phase 2,Nagaland,Dimapur,Dimapur Sadar,Data Partially Available,NL2BDMP0014,25.89983561,93.70236623999999,Brahamaputra,Brahmaputra Upper,Dhansiri,Lakes/Pond,1.43347496,14334.749610962874,667.2514305086602,,NWIC,37,37,33174.0,13,244,1796,0,2B,2B,BRU,BRU,WS2BBRU087,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,667.2514305086602,District Water Body Atlas
