Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_name,Waterbody_Category_Code,waterbody_nature,Ownership,waterbody_use,waterbody_use_type,reason_not_in_use,waterbody_encroached,Rural_Urban,Water_Spread_Area,Storage_Capacity,construction_year,renovation_year,data_collection_method,waterbody_under_govt_scheme,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,Dataset_Name
Phase 2,Punjab,Mansa,Mansa,Ubha,PB01MNS0046,30.10772966,75.35626567,Indus (Up to border),Satluj Lower,,Lakes/Pond,1.22137411,12213.741052178157,467.1577848838376,,NWIC,74,74,928.0,03,037,0249,36157,01,01,SUL,SUL,WS01SUL043,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Amritsar,Baba Bakala,Baba Bakala,PB01AMT0041,31.5579104,75.26196866,Indus (Up to border),Beas,Beas,Lakes/Pond,2.88531096,28853.109609392526,679.4911465924794,,NWIC,679,679,2206.0,03,027,0258,37849,01,01,BEA,BEA,WS01BEA030,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Sangrur,Sunam,Kotra Amru,PB01SNR0072,30.09727629,75.73069926,Indus (Up to border),Ghaghar and others,Ghagghar,Lakes/Pond,1.54224821,15422.482131022833,477.7438924646175,Kotra Amru,NWIC,824,824,58305.0,03,043,0272,039858,01,01,GHO,GHO,WS01GHO023,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,Yes,,District Water Body Atlas
Phase 2,Punjab,Sangrur,Sangrur,Longowal,PB01SNR0220,30.21138979,75.69121166,Indus (Up to border),Satluj Lower,Bahadursinghwala Drain,Lakes/Pond,2.65678188,26567.8187713356,674.5361494310685,,NWIC,1146,1146,58627.0,03,043,0271,248385,01,01,SUL,SUL,WS01SUL047,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Galoli,PB01PTL0001,29.83377398,76.16872242,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,2.49297211,24929.72111098012,601.9493932429654,,NWIC,1,1,837.0,03,041,0251,36235,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Gulzarpur Alias Tharwa,PB01PTL0002,29.84871394,76.17329497,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,2.80294058,28029.40580123042,788.372666828245,,NWIC,2,2,838.0,03,041,0251,36240,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Dhabi Gujran,PB01PTL0003,29.81331145,76.12988487,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,3.59780841,35978.084105529226,694.7209082265606,,NWIC,3,3,839.0,03,041,0251,36233,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,Yes,No,No,No,Yes,No,Yes,No,Yes,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Shergarh,PB01PTL0004,29.82873881,76.14139945,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,1.73845469,17384.546909468805,520.947585791835,,NWIC,4,4,840.0,03,041,0251,36234,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Matauli,PB01PTL0005,29.86633599,76.14517591,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,1.08405581,10840.55808662078,391.8892897522961,,NWIC,5,5,841.0,03,041,0251,36242,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Shutrana,PB01PTL0006,29.9064177,76.11787436,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,2.6052746,26052.74597137456,731.877517824928,,NWIC,6,6,842.0,03,041,0251,36258,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,No,No,No,No,Yes,No,No,No,No,,District Water Body Atlas
