Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Puducherry,Puducherry,Villianur Taluk,Kunichempet,PY17PON0003,11.99601941,79.63992734,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Lakes/Pond,1.8214686,18214.685973859905,632.6523584616382,Kunichempet,East flowing rivers between Pennar and Kanyakumari,3,3,74900.0,34,600,5911,644931,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,632.6523584616382,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Bahour Taluk,Manamedu,PY17PON0037,11.813967230000001,79.68146304,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Ponnaiyar,Lakes/Pond,20.1983441,201983.44100332042,1817.3088998705148,Krishnapuram,East flowing rivers between Pennar and Kanyakumari,37,37,74934.0,34,600,5912,644976,17,17,PON,PON,WS17PON023,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,Yes,0,1817.3088998705148,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Villianur Taluk,Kunichempet,PY17PON0047,11.999605480000001,79.64373744,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Lakes/Pond,11.7667449,117667.44904940625,1726.9986305684613,Kunichempet,East flowing rivers between Pennar and Kanyakumari,47,47,74944.0,34,600,5911,644931,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,Yes,Yes,No,Yes,Yes,0,1726.9986305684613,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Puducherry Taluk,Thimmanaickenpalayam,PY17PON0053,11.85568138,79.77129794999999,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Ponnaiyar,Lakes/Pond,93.98803569,939880.3569092352,4538.952670545827,Thimmanaickenpalayam,East flowing rivers between Pennar and Kanyakumari,53,53,74950.0,34,600,5909,644917,17,17,PON,PON,WS17PON023,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,4538.952670545827,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Villianur Taluk,Thondamanatham,PY17PON0054,11.96314753,79.71956082999999,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Lakes/Pond,37.67852778,376785.27782256657,2856.99670945984,Thondamanatham,East flowing rivers between Pennar and Kanyakumari,54,54,74951.0,34,600,5911,644945,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,2856.99670945984,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Villianur Taluk,Sathamangalam,PY17PON0071,11.888874359999999,79.71347428000001,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Lakes/Pond,2.72998535,27299.853454233435,698.4597143849709,Sathamangalam,East flowing rivers between Pennar and Kanyakumari,71,71,74968.0,34,600,5911,644953,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,Yes,0,698.4597143849709,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Puducherry Taluk,Abishegapakkam,PY17PON0001,11.865651100000001,79.77791964000001,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Lakes/Pond,1.33314125,13331.412500470758,495.43393590090153,Abishegapakkam,East flowing rivers between Pennar and Kanyakumari,1,1,74898.0,34,600,5909,644918,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,495.43393590090153,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Bahour Taluk,Outchimedu,PY17PON0002,11.78894872,79.77093551,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Ponnaiyar,Tank,2.5495951,25495.95099881395,792.2232880510708,Outchimedu,East flowing rivers between Pennar and Kanyakumari,2,2,74899.0,34,600,5912,644980,17,17,PON,PON,WS17PON023,,03,,,,,,,,0.0,0.0,,,,,,No,No,Yes,No,Yes,No,Yes,No,Yes,0,792.2232880510708,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Villianur Taluk,Kuppam,PY17PON0004,11.98513884,79.70130442,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Lakes/Pond,1.89694035,18969.403520730113,548.1973365819803,Valudavur,East flowing rivers between Pennar and Kanyakumari,4,4,74901.0,34,600,5911,644928,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,No,No,Yes,No,No,Yes,No,No,Yes,0,548.1973365819803,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Bahour Taluk,Nettapakkam,PY17PON0005,11.84682403,79.64120123,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Ponnaiyar,Lakes/Pond,1.66315152,16631.51519660265,481.2418193268,Sorappur,East flowing rivers between Pennar and Kanyakumari,5,5,74902.0,34,600,5912,644968,17,17,PON,PON,WS17PON023,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,481.2418193268,District Water Body Atlas
