Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0025,27.36365874,88.85423904000001,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,1.65446075,16544.607535237163,475.4804601056599,,NWIC,25,25,78349.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,475.4804601056599,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0038,27.32829847,88.8842044,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,8.4214997,84214.99704480667,1576.7670683115098,,NWIC,38,38,78362.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1576.7670683115098,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0001,27.41153414,88.79367337,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,3.43993757,34399.375745982805,694.1720007200054,R F,NWIC,1,1,78325.0,11,225,1553,999999,2B,2B,BRL,BRL,Teesta,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,694.1720007200054,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0002,27.37630223,88.84806603,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,5.38596344,53859.634369495965,1012.9884605251568,R F,NWIC,2,2,78326.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1012.9884605251568,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0003,27.402747689999998,88.76871458,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,10.4537728,104537.72804667684,1914.989318456821,R F,NWIC,3,3,78327.0,11,225,1553,999999,2B,2B,BRL,BRL,Teesta,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1914.989318456821,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0004,27.40672695,88.79058748,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,1.74649129,17464.912945058128,497.2162384136846,R F,NWIC,4,4,78328.0,11,225,1553,999999,2B,2B,BRL,BRL,Teesta,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,497.2162384136846,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0005,27.37959528,88.82908479999999,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,6.06800844,60680.08437829166,1022.3178797668451,R F,NWIC,5,5,78329.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,Nathula Lake,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1022.3178797668451,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0035,27.33666557,88.88797468,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,1.16426068,11642.606801934679,411.3920250170884,,NWIC,35,35,78359.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,411.3920250170884,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0006,27.37161415,88.84602904,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,5.27860193,52786.019340694984,1107.3478965429706,R F,NWIC,6,6,78330.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1107.3478965429706,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0007,27.38724746,88.80138354,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,8.5288207,85288.20700948243,1316.6806444939712,R F,NWIC,7,7,78331.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1316.6806444939712,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0008,27.34625874,88.81872915000001,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,17.86913185,178691.3184572818,1854.667574033846,R F,NWIC,8,8,78332.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,Memencho Lake,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1854.667574033846,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0009,27.37481368,88.76270038999999,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,26.509907700000003,265099.0769788713,2713.2792920778124,R F,NWIC,9,9,78333.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,Tsomgo Lake,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,2713.2792920778124,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0010,27.39776076,88.81155174,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,1.52323537,15232.353742875564,466.37505922183897,,NWIC,10,10,78334.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,466.37505922183897,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0011,27.39513809,88.80815407,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,1.52848513,15284.851276384585,486.1449981949765,,NWIC,11,11,78335.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,486.1449981949765,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0012,27.39721498,88.80266605999999,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,1.20889242,12088.924187264753,526.6620169899088,,NWIC,12,12,78336.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,526.6620169899088,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0013,27.4076405,88.79782406,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,3.17377134,31737.713384932867,1031.5877975535495,,NWIC,13,13,78337.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1031.5877975535495,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0014,27.40163831,88.79618314999999,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,1.51770726,15177.072611097814,532.4579474963239,,NWIC,14,14,78338.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,532.4579474963239,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0015,27.40863079,88.77685842999999,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,1.41627016,14162.70158482272,484.5537976111017,,NWIC,15,15,78339.0,11,225,1553,999999,2B,2B,BRL,BRL,Teesta,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,484.5537976111017,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0016,27.380783620000003,88.85447884,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,1.49109854,14910.985439076177,442.6519684684055,,NWIC,16,16,78340.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,442.6519684684055,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0017,27.38013904,88.82498634,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,1.65218948,16521.894839926554,525.130584994966,,NWIC,17,17,78341.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,525.130584994966,District Water Body Atlas
Phase 2,Sikkim,Gangtok,Gangtok,R F,SK2BEDT0018,27.388487700000002,88.82269264,Brahamaputra,Brahmaputra Lower,,Lakes/Pond,2.3649361,23649.36095080948,777.7900747991935,,NWIC,18,18,78342.0,11,225,1553,999999,2B,2B,BRL,BRL,Rangpo,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,777.7900747991935,District Water Body Atlas
