Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Telangana,Adilabad,Talamadugu,Saknapoor,TS03ADI0040,19.61464066,78.39440847,Godavari,Wardha,Mathadi,Tank,2.18637318,21863.73179165714,646.7139111663773,,NWIC,16,16,45357.0,36,501,4309,569138,03,03,WAR,WAR,WS03WAR029,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,Yes,No,Yes,0,646.7139111663773,District Water Body Atlas
Phase 2,Telangana,Adilabad,Talamadugu,Lachampur,TS03ADI0128,19.57784466,78.46369025,Godavari,Wardha,Mathadi,Lakes/Pond,5.42262426,54226.242627479514,941.2169096573346,,NWIC,21,21,45362.0,36,501,4309,569142,03,03,WAR,WAR,WS03WAR029,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,941.2169096573346,District Water Body Atlas
Phase 2,Telangana,Adilabad,Adilabad Urban,Adilabad,TS03ADI0008,19.64308191,78.54542667,Godavari,Wardha,Sat Nala,Tank,1.12220246,11222.024575041454,438.7321126882948,,NWIC,28,28,45369.0,36,501,4306,0,03,03,WAR,WAR,WS03WAR028,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,438.7321126882948,District Water Body Atlas
Phase 2,Telangana,Kumuram Bheem Asifabad,Koutala,Tatipalle,TS03KMB0001,19.56897944,79.70912885000001,Godavari,Wardha,Wardha,Tank,1.97921581,19792.15806894691,543.0683244973611,,NWIC,38,38,45379.0,36,699,4316,569369,03,03,WAR,WAR,WS03WAR069,,03,,,,,,,,0.0,0.0,,,,,,No,No,Yes,No,No,No,Yes,No,Yes,0,543.0683244973611,District Water Body Atlas
Phase 2,Telangana,Kumuram Bheem Asifabad,Koutala,Mogadagad,TS03KMB0003,19.56577552,79.7339487,Godavari,Wardha,Wardha,Tank,2.67284727,26728.472737922966,622.0539566825801,,NWIC,40,40,45381.0,36,699,4316,569376,03,03,WAR,WAR,WS03WAR069,,03,,,,,,,,0.0,0.0,,,,,,Yes,No,No,No,No,No,No,No,No,0,622.0539566825801,District Water Body Atlas
Phase 2,Telangana,Kumuram Bheem Asifabad,Sirpur (T),Heerapur,TS03KMB0028,19.44857493,79.58329403,Godavari,Wardha,Wardha,Tank,2.11401434,21140.143443050005,742.8674859880015,,NWIC,65,65,45406.0,36,699,4315,569362,03,03,WAR,WAR,WS03WAR069,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,742.8674859880015,District Water Body Atlas
Phase 2,Telangana,Adilabad,Inderavelly,Gattepalle,TS03ADI0004,19.53283499,78.74642526999999,Godavari,Pranhita and others,Sat Nala,Tank,1.07520862,10752.086184199052,489.46881473965414,,NWIC,75,75,45416.0,36,501,4311,569174,03,03,PRA,PRA,WS03PRA045,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,Yes,Yes,No,No,No,0,489.46881473965414,District Water Body Atlas
Phase 2,Telangana,Kumuram Bheem Asifabad,Jainoor,Patnapur,TS03KMB0032,19.47222318,78.91480081,Godavari,Pranhita and others,Sat Nala,Tank,1.32028183,13202.818332971656,561.1955012180833,,NWIC,85,85,45426.0,36,699,4320,569542,03,03,PRA,PRA,WS03PRA045,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,561.1955012180833,District Water Body Atlas
Phase 2,Telangana,Kumuram Bheem Asifabad,Koutala,Gudlabori,TS03KMB0045,19.539089230000002,79.7445799,Godavari,Pranhita and others,Mota Nala,Lakes/Pond,5.06575025,50657.50247379093,1068.4758287841776,,NWIC,98,98,45439.0,36,699,4316,569375,03,03,PRA,PRA,WS03PRA042,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1068.4758287841776,District Water Body Atlas
Phase 2,Telangana,Kumuram Bheem Asifabad,Wankidi,Gunjada,TS03KMB0073,19.53714257,79.29682662,Godavari,Pranhita and others,Chilli Vagu,Tank,2.84870686,28487.068629293168,664.8176546362104,,NWIC,125,125,45466.0,36,699,4314,569307,03,03,PRA,PRA,WS03PRA049,,03,,,,,,,,0.0,0.0,,,,,,Yes,No,No,No,Yes,No,Yes,No,No,0,664.8176546362104,District Water Body Atlas
