Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Uttarakhand,Haridwar,Hardwar,Meerpur Muwazarpur,UK2AHRD0004,29.95437739,77.99915653,Ganga,Above Ramganga Confluence,Solani,Lakes/Pond,1.02830486,10283.04859700446,402.147050218927,,NWIC,4,4,1448.0,05,050,0354,56661,2A,2A,ARA,ARA,WS2AARA033,,01,,,,,,,,0.0,0.0,,,,,,Yes,Yes,Yes,No,Yes,Yes,No,No,No,0,402.147050218927,District Water Body Atlas
Phase 2,Uttarakhand,Udam Singh Nagar,Kashipur,Sand Khera,UK2AUSN0026,29.16951649,79.00910432,Ganga,Ramganga,Kosi,Lakes/Pond,2.12768189,21276.81887650996,584.9766420578871,,NWIC,41,41,1485.0,05,056,0346,55690,2A,2A,RAM,RAM,WS2ARAM010,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,584.9766420578871,District Water Body Atlas
Phase 2,Uttarakhand,Udam Singh Nagar,Khatima,Puranapur,UK2AUSN0016,28.892316649999998,79.8947586,Ganga,Ramganga,Deoha/Garra,Lakes/Pond,2.65183454,26518.345350416395,856.0873062739948,,NWIC,31,31,1475.0,05,056,0352,56261,2A,2A,RAM,RAM,WS2ARAM031,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,856.0873062739948,District Water Body Atlas
Phase 2,Uttarakhand,Haridwar,Roorkee,Bhagwanpur Chandanpur,UK2AHRD0012,29.8052787,77.91469631000001,Ganga,Above Ramganga Confluence,Solani,Lakes/Pond,1.28150318,12815.031766439655,492.58849057655846,,NWIC,12,12,1456.0,05,050,0353,56591,2A,2A,ARA,ARA,WS2AARA034,,01,,,,,,,,0.0,0.0,,,,,,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,0,492.58849057655846,District Water Body Atlas
Phase 2,Uttarakhand,Haridwar,Roorkee,Jainpur Jhanjheri,UK2AHRD0013,29.804643000000002,77.92436377,Ganga,Above Ramganga Confluence,Solani,Lakes/Pond,4.58497504,45849.346496026556,991.5890174488407,,NWIC,13,13,1457.0,05,050,0353,56598,2A,2A,ARA,ARA,WS2AARA034,,01,,,,,,,,0.0,0.0,,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,0,991.5797187076521,District Water Body Atlas
Phase 2,Uttarakhand,Haridwar,Roorkee,Ibrahimpurdeh,UK2AHRD0001,29.90114956,77.85670060000001,Ganga,Above Ramganga Confluence,Solani,Lakes/Pond,1.31253106,13125.310616448345,547.6780028232984,,NWIC,1,1,1445.0,05,050,0353,56492,2A,2A,ARA,ARA,WS2AARA033,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,547.6780028232984,District Water Body Atlas
Phase 2,Uttarakhand,Haridwar,Roorkee,Belada A H,UK2AHRD0002,29.89910988,77.94290043,Ganga,Above Ramganga Confluence,Solani,Lakes/Pond,1.02354921,10232.19067073536,396.15670298042664,,NWIC,2,2,1446.0,05,050,0353,56429,2A,2A,ARA,ARA,WS2AARA033,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,Yes,0,395.94535465499774,District Water Body Atlas
Phase 2,Uttarakhand,Haridwar,Roorkee,Daulatpur Urf Budhwa Shaheed,UK2AHRD0003,30.08396194,77.88006252999999,Ganga,Above Ramganga Confluence,Solani,Lakes/Pond,1.0597687,10597.686972094132,432.5863384540961,,NWIC,3,3,1447.0,05,050,0353,56319,2A,2A,ARA,ARA,WS2AARA033,,01,,,,,,,,0.0,0.0,,,,,,Yes,Yes,No,No,No,No,No,No,No,0,432.5863384540961,District Water Body Atlas
Phase 2,Uttarakhand,Haridwar,Hardwar,Baso Chandpur,UK2AHRD0005,29.75839588,78.24764494,Ganga,Above Ramganga Confluence,Rawasan,Lakes/Pond,1.27846652,12784.665198143215,494.0709773045262,,NWIC,5,5,1449.0,05,050,0354,56758,2A,2A,ARA,ARA,WS2AARA032,,01,,,,,,,,0.0,0.0,,,,,,Yes,Yes,No,No,No,No,Yes,No,No,0,494.0709773045262,District Water Body Atlas
Phase 2,Uttarakhand,Haridwar,Laksar,Niranjanpur,UK2AHRD0006,29.692792089999998,78.11731795,Ganga,Above Ramganga Confluence,Ganga,Lakes/Pond,1.63313563,16331.35625676849,758.6249648840317,,NWIC,6,6,1450.0,05,050,0355,56866,2A,2A,ARA,ARA,WS2AARA036,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,758.6249648840317,District Water Body Atlas
