Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,West Bengal,Maldah,English Bazar,Khaskol Chandipur,WB2AMLD0573,25.01047064,87.9825013,Ganga,Bhagirathi and others (Ganga Lower),Ganga,Lakes/Pond,4.37197668,43719.76683777685,1121.2547092950504,,NWIC,55,55,31193.0,19,316,2218,313337,2A,2A,BHG,BHG,WS2ABHG014,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1121.2547092950504,District Water Body Atlas
Phase 2,West Bengal,Dinajpur Dakshin,Gangarampur,Faridpur Domotha,WB2ADPD0478,25.47126616,88.65176770000001,Ganga,Bhagirathi and others (Ganga Lower),Sat Khari,Lakes/Pond,1.69050459,16905.045929973483,518.8944917238663,,NWIC,117,117,31255.0,19,310,2201,310708,2A,2A,BHG,BHG,WS2ABHG015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,518.8944917238663,District Water Body Atlas
Phase 2,West Bengal,Dinajpur Dakshin,Kumarganj,Bishwanathpur,WB2ADPD0090,25.396043040000002,88.74938941,Ganga,Bhagirathi and others (Ganga Lower),Sat Khari,Lakes/Pond,1.06432362,10643.236218882677,387.2901160680367,,NWIC,158,158,31296.0,19,310,2202,310908,2A,2A,BHG,BHG,WS2ABHG015,,01,,,,,,,,0.0,0.0,,,,,,Yes,No,No,No,Yes,No,No,No,No,0,387.2901160680367,District Water Body Atlas
Phase 2,West Bengal,Dinajpur Dakshin,Tapan,Salas,WB2ADPD0244,25.31781448,88.56592545,Ganga,Bhagirathi and others (Ganga Lower),Purnabhaba,Lakes/Pond,1.20815065,12081.506528005993,444.27429587043997,,NWIC,231,231,31369.0,19,310,2205,311440,2A,2A,BHG,BHG,WS2ABHG016,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,444.27429587043997,District Water Body Atlas
Phase 2,West Bengal,Dinajpur Dakshin,Balurghat,Purba Chakbhikan,WB2ADPD0170,25.199018090000003,88.90418316,Ganga,Bhagirathi and others (Ganga Lower),Sat Khari,Lakes/Pond,1.1289133,11289.133010726791,427.5811069187069,,NWIC,288,288,31426.0,19,310,2204,311360,2A,2A,BHG,BHG,WS2ABHG015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,427.5811069187069,District Water Body Atlas
Phase 2,West Bengal,Dinajpur Dakshin,Balurghat,Alipur,WB2ADPD0089,25.2161192,88.88436644,Ganga,Bhagirathi and others (Ganga Lower),Sat Khari,Lakes/Pond,1.06419763,10641.976267702106,397.8856762264319,,NWIC,289,289,31427.0,19,310,2204,311345,2A,2A,BHG,BHG,WS2ABHG015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,397.8856762264319,District Water Body Atlas
Phase 2,West Bengal,Dinajpur Dakshin,Balurghat,Sobra,WB2ADPD0154,25.20501697,88.87959375,Ganga,Bhagirathi and others (Ganga Lower),Sat Khari,Lakes/Pond,1.1172831,11172.830968166498,400.6290176939151,,NWIC,290,290,31428.0,19,310,2204,311350,2A,2A,BHG,BHG,WS2ABHG015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,400.6290176939151,District Water Body Atlas
Phase 2,West Bengal,Dinajpur Dakshin,Balurghat,Majatpur,WB2ADPD0458,25.19366597,88.91828727,Ganga,Bhagirathi and others (Ganga Lower),Sat Khari,Lakes/Pond,1.63683996,16368.399587357442,514.8403622939736,,NWIC,291,291,31429.0,19,310,2204,311363,2A,2A,BHG,BHG,WS2ABHG015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,514.8403622939736,District Water Body Atlas
Phase 2,West Bengal,Dinajpur Dakshin,Balurghat,Majatpur,WB2ADPD0211,25.19144907,88.91672181000001,Ganga,Bhagirathi and others (Ganga Lower),Sat Khari,Lakes/Pond,1.17071822,11707.18220162745,433.85456713816,,NWIC,292,292,31430.0,19,310,2204,311363,2A,2A,BHG,BHG,WS2ABHG015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,433.85456713816,District Water Body Atlas
Phase 2,West Bengal,Dinajpur Dakshin,Kumarganj,Jakhirpur,WB2ADPD0019,25.47970339,88.83045015,Ganga,Bhagirathi and others (Ganga Lower),Sat Khari,Lakes/Pond,1.01285026,10128.502555565716,376.4373015700961,,NWIC,298,298,31436.0,19,310,2202,310796,2A,2A,BHG,BHG,WS2ABHG015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,376.4373015700961,District Water Body Atlas
Phase 2,West Bengal,Dinajpur Dakshin,Kumarganj,Uttar Rusulpur,WB2ADPD0361,25.48462895,88.75762608,Ganga,Bhagirathi and others (Ganga Lower),Sat Khari,Lakes/Pond,1.40173725,14017.372542870813,458.64648764706266,,NWIC,318,318,31456.0,19,310,2202,310778,2A,2A,BHG,BHG,WS2ABHG015,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,458.64648764706266,District Water Body Atlas
Phase 2,West Bengal,Dinajpur Dakshin,Bansihari,Dhumpara,WB2ADPD0394,25.40864676,88.41843789,Ganga,Bhagirathi and others (Ganga Lower),Tangan,Lakes/Pond,1.4640149,14640.148996258393,460.41214891895845,,NWIC,471,471,31609.0,19,310,2206,311782,2A,2A,BHG,BHG,WS2ABHG017,,01,,,,,,,,0.0,0.0,,,,,,Yes,No,No,No,No,No,No,No,No,0,460.41214891895845,District Water Body Atlas
Phase 2,West Bengal,Dinajpur Dakshin,Kushmundi,Mahator,WB2ADPD0400,25.450877950000002,88.26486935999999,Ganga,Bhagirathi and others (Ganga Lower),Mahananda,Lakes/Pond,1.47204477,14720.447692479,467.1620369080504,,NWIC,493,493,31631.0,19,310,2200,310366,2A,2A,BHG,BHG,WS2ABHG021,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,467.1620369080504,District Water Body Atlas
Phase 2,West Bengal,Maldah,Bamangola,Harisankarpur,WB2AMLD0475,25.31023112,88.44410906,Ganga,Bhagirathi and others (Ganga Lower),Purnabhaba,Lakes/Pond,2.6222535,26222.53497721378,629.6487201236419,,NWIC,514,514,31652.0,19,316,2215,312784,2A,2A,BHG,BHG,WS2ABHG016,,01,,,,,,,,0.0,0.0,,,,,,No,No,Yes,No,Yes,No,No,No,No,0,629.6487201236419,District Water Body Atlas
Phase 2,West Bengal,Maldah,Gazole,Krishnapur,WB2AMLD0087,25.1758925,88.29171315,Ganga,Bhagirathi and others (Ganga Lower),Tangan,Lakes/Pond,1.10980184,11098.018397956346,385.48744691150574,,NWIC,557,557,31695.0,19,316,2214,312755,2A,2A,BHG,BHG,WS2ABHG017,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,385.48744691150574,District Water Body Atlas
Phase 2,West Bengal,Maldah,Gazole,Khanta,WB2AMLD0281,25.16894623,88.2523606,Ganga,Bhagirathi and others (Ganga Lower),Tangan,Lakes/Pond,1.4462451,14462.450968548972,451.0421840425896,,NWIC,558,558,31696.0,19,316,2214,312762,2A,2A,BHG,BHG,WS2ABHG017,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,451.0421840425896,District Water Body Atlas
Phase 2,West Bengal,Maldah,English Bazar,Naoda Bazar,WB2AMLD0405,24.97559193,88.07912855,Ganga,Bhagirathi and others (Ganga Lower),Bhagirathi,Lakes/Pond,1.99780814,19978.081440045764,539.9443488704528,,NWIC,730,730,31868.0,19,316,2218,313400,2A,2A,BHG,BHG,WS2ABHG025,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,539.9443488704528,District Water Body Atlas
