SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry Quadridaily (meter)
1,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:02:00,39.972
2,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:03:00,39.975
3,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:04:00,39.967
4,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:05:00,39.972
5,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:06:00,39.98
6,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:07:00,39.983
7,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:08:00,39.985
8,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:09:00,39.985
9,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:10:00,39.983
10,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:11:00,39.99
11,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:12:00,39.988
12,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:13:00,39.99
13,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:14:00,39.992
14,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:15:00,39.987
15,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:16:00,39.99
16,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:17:00,39.995
17,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:18:00,39.99
18,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:19:00,39.985
19,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:20:00,39.99
20,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:21:00,39.992
21,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:22:00,39.99
22,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:23:00,39.99
23,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:24:00,39.992
24,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:25:00,39.995
25,Baurhai Khurd_1,CGWB,3,Punjab,43,SANGRUR,-,-,-,-,-,-,-,-,-,30.62555556,76.84944444,,2000-01-01 00:26:00,39.995
