SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry 6 Hourly (meter)
1,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-01-01 00:00:00,-16.522
2,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-01-01 06:00:00,-16.478
3,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-01-01 12:00:00,-16.876
4,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-01-01 18:00:00,-17.071
5,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-02-01 00:00:00,-16.516
6,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-02-01 06:00:00,-16.478
7,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-02-01 12:00:00,-16.958
8,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-02-01 18:00:00,-17.122
9,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-03-01 00:00:00,-16.561
10,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-03-01 06:00:00,-16.527
11,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-03-01 12:00:00,-17.073
12,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-03-01 18:00:00,-17.204
13,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-04-01 00:00:00,-16.589
14,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-04-01 06:00:00,-16.542
15,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-04-01 12:00:00,-17.154
16,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-04-01 18:00:00,-17.222
17,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-05-01 00:00:00,-16.926
18,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.861525,79.78081667,,2026-05-01 06:00:00,-16.558
