id,objectid,link_name,component,type,shape_leng,ds_name,src_agency
1,1,Kosi-Mechi Link,Himalayan Component,1,111943.17665450818,Inter Basin Transfer Link,National Water Development Agency (NWDA)
20,5,Srisailam-Pennar Link,Peninsular Component,1,209636.57224104393,Inter Basin Transfer Link,National Water Development Agency (NWDA)
18,6,Polavaram-Vijayawada Link,Peninsular Component,1,186648.51465145522,Inter Basin Transfer Link,National Water Development Agency (NWDA)
16,9,Inchampalli-Nagarjunasagar Link,Peninsular Component,1,332699.95164000225,Inter Basin Transfer Link,National Water Development Agency (NWDA)
17,10,Inchampalli-Pulichintala Link,Peninsular Component,1,325352.2773721195,Inter Basin Transfer Link,National Water Development Agency (NWDA)
23,11,Cauvery(Kattalai)-Vaigai-Gundar Link,Peninsular Component,1,255849.14546765256,Inter Basin Transfer Link,National Water Development Agency (NWDA)
22,19,Somasila-Grand Anicut Link,Peninsular Component,1,528715.2950922248,Inter Basin Transfer Link,National Water Development Agency (NWDA)
19,20,Almatti-Pennar Link,Peninsular Component,1,583422.193229021,Inter Basin Transfer Link,National Water Development Agency (NWDA)
26,21,Par-Tapi-Narmada Link,Peninsular Component,1,421143.0867495553,Inter Basin Transfer Link,National Water Development Agency (NWDA)
25,25,Parbati-Kalisindh-Chambal Link,Peninsular Component,1,394937.4263049159,Inter Basin Transfer Link,National Water Development Agency (NWDA)
2,2,Kosi-Ghaghara Link,Himalayan Component,1,424428.9350253878,Inter Basin Transfer Link,National Water Development Agency (NWDA)
4,3,Ghaghara-Yamuna Link,Himalayan Component,1,420404.89590209286,Inter Basin Transfer Link,National Water Development Agency (NWDA)
5,4,Sarda-Yamuna Link,Himalayan Component,1,329878.73101449804,Inter Basin Transfer Link,National Water Development Agency (NWDA)
21,7,Nagarjunasagar-Somasila Link,Peninsular Component,1,390505.6067464024,Inter Basin Transfer Link,National Water Development Agency (NWDA)
15,30,Mahanadi-Godavari Link,Peninsular Component,0,805996.8849391626,Inter Basin Transfer Link,National Water Development Agency (NWDA)
27,13,Damanganga-Pinjal Link,Peninsular Component,1,43794.198377078676,Inter Basin Transfer Link,National Water Development Agency (NWDA)
3,14,Gandak-Ganga Link,Himalayan Component,1,338244.0237073989,Inter Basin Transfer Link,National Water Development Agency (NWDA)
8,15,Chunar-Sone Barrage Link,Himalayan Component,1,131221.78163765,Inter Basin Transfer Link,National Water Development Agency (NWDA)
9,22,Sone Dam-Southern tributaries of Ganga Link,Himalayan Component,1,312789.56031058345,Inter Basin Transfer Link,National Water Development Agency (NWDA)
13,17,Ganga-Damodar-Subernarekha Link,Himalayan Component,1,349510.1755539067,Inter Basin Transfer Link,National Water Development Agency (NWDA)
10,23,Manas-Sankosh-Tista-Ganga Link,Himalayan Component,1,460237.8081810686,Inter Basin Transfer Link,National Water Development Agency (NWDA)
24,8,Ken-Betwa Link,Peninsular Component,1,229651.5512607129,Inter Basin Transfer Link,National Water Development Agency (NWDA)
28,12,Bedti-Varada Link,Peninsular Component,1,34061.54581377376,Inter Basin Transfer Link,National Water Development Agency (NWDA)
11,16,Jogighopa-Tista-Farakka Link (Alternate),Himalayan Component,1,89118.24941394916,Inter Basin Transfer Link,National Water Development Agency (NWDA)
14,26,Subernarekha-Mahanadi Link,Himalayan Component,1,358701.36482343427,Inter Basin Transfer Link,National Water Development Agency (NWDA)
6,27,Yamuna-Rajasthan Link,Himalayan Component,1,635187.727617515,Inter Basin Transfer Link,National Water Development Agency (NWDA)
7,28,Rajasthan-Sabarmati Link,Himalayan Component,1,466420.9462887593,Inter Basin Transfer Link,National Water Development Agency (NWDA)
29,29,Netravati-Hemavati Link,Peninsular Component,,18286.863936255526,Inter Basin Transfer Link,National Water Development Agency (NWDA)
30,18,Pamba-Anchankovil-Vaippar Link,Peninsular Component,1,104247.79565019345,Inter Basin Transfer Link,National Water Development Agency (NWDA)
12,24,Farakka-Sunderbans Link,Himalayan Component,1,513435.3129938243,Inter Basin Transfer Link,National Water Development Agency (NWDA)
