Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Hourly_Rainfall_mm
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-06-18 08:30:00,3.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-06-19 08:30:00,26.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-07-12 08:30:00,17.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-07-13 08:30:00,32.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-07-14 08:30:00,5.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-07-16 08:30:00,5.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-07-18 08:30:00,5.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-07-25 08:30:00,26.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-07-26 08:30:00,30.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-09-02 08:30:00,135.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-09-03 08:30:00,4.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-09-06 08:30:00,13.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-09-07 08:30:00,8.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-09-10 08:30:00,49.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-09-11 08:30:00,24.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-09-13 08:30:00,285.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-09-14 08:30:00,250.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-09-15 08:30:00,16.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-09-18 08:30:00,30.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-09-19 08:30:00,43.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-09-26 08:30:00,65.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-09-28 08:30:00,75.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-09-29 08:30:00,22.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-09-30 08:30:00,70.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2021-10-09 08:30:00,6.0
Ambaliyasan,Gujarat,MAHESANA,MAHESANA,-,Rupen,West flowing rivers of Kutch and Saurashtra including Luni,23.45174722,72.41769444,2021-06-17 08:30:00,7.0
Ambaliyasan,Gujarat,MAHESANA,MAHESANA,-,Rupen,West flowing rivers of Kutch and Saurashtra including Luni,23.45174722,72.41769444,2021-06-18 08:30:00,12.0
Ambaliyasan,Gujarat,MAHESANA,MAHESANA,-,Rupen,West flowing rivers of Kutch and Saurashtra including Luni,23.45174722,72.41769444,2021-06-19 08:30:00,65.0
Ambaliyasan,Gujarat,MAHESANA,MAHESANA,-,Rupen,West flowing rivers of Kutch and Saurashtra including Luni,23.45174722,72.41769444,2021-06-21 08:30:00,5.0
Ambaliyasan,Gujarat,MAHESANA,MAHESANA,-,Rupen,West flowing rivers of Kutch and Saurashtra including Luni,23.45174722,72.41769444,2021-06-22 08:30:00,22.0
