Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Hourly_Rainfall_mm
Khliehriat ORG,Meghalaya,EAST JAINTIA HILLS,KHLIEHRIAT,-,Myntudu,Barak and Others,25.35722222,92.37,2021-03-30 09:00:00,26.4
Khliehriat ORG,Meghalaya,EAST JAINTIA HILLS,KHLIEHRIAT,-,Myntudu,Barak and Others,25.35722222,92.37,2021-03-31 09:00:00,65.4
Khliehriat ORG,Meghalaya,EAST JAINTIA HILLS,KHLIEHRIAT,-,Myntudu,Barak and Others,25.35722222,92.37,2021-04-01 09:00:00,366.0
Khliehriat ORG,Meghalaya,EAST JAINTIA HILLS,KHLIEHRIAT,-,Myntudu,Barak and Others,25.35722222,92.37,2021-04-02 09:00:00,69.2
Khliehriat ORG,Meghalaya,EAST JAINTIA HILLS,KHLIEHRIAT,-,Myntudu,Barak and Others,25.35722222,92.37,2021-04-08 09:00:00,14.4
Khliehriat ORG,Meghalaya,EAST JAINTIA HILLS,KHLIEHRIAT,-,Myntudu,Barak and Others,25.35722222,92.37,2021-04-15 09:00:00,9.2
Khliehriat ORG,Meghalaya,EAST JAINTIA HILLS,KHLIEHRIAT,-,Myntudu,Barak and Others,25.35722222,92.37,2021-04-16 09:00:00,7.8
Khliehriat ORG,Meghalaya,EAST JAINTIA HILLS,KHLIEHRIAT,-,Myntudu,Barak and Others,25.35722222,92.37,2021-04-17 09:00:00,26.0
Khliehriat ORG,Meghalaya,EAST JAINTIA HILLS,KHLIEHRIAT,-,Myntudu,Barak and Others,25.35722222,92.37,2021-04-19 09:00:00,21.6
Khliehriat ORG,Meghalaya,EAST JAINTIA HILLS,KHLIEHRIAT,-,Myntudu,Barak and Others,25.35722222,92.37,2021-04-20 09:00:00,3.0
Khliehriat ORG,Meghalaya,EAST JAINTIA HILLS,KHLIEHRIAT,-,Myntudu,Barak and Others,25.35722222,92.37,2021-05-03 09:00:00,12.0
Khliehriat ORG,Meghalaya,EAST JAINTIA HILLS,KHLIEHRIAT,-,Myntudu,Barak and Others,25.35722222,92.37,2021-05-06 09:00:00,34.8
Khliehriat ORG,Meghalaya,EAST JAINTIA HILLS,KHLIEHRIAT,-,Myntudu,Barak and Others,25.35722222,92.37,2021-05-08 09:00:00,29.6
Khliehriat ORG,Meghalaya,EAST JAINTIA HILLS,KHLIEHRIAT,-,Myntudu,Barak and Others,25.35722222,92.37,2021-05-13 09:00:00,10.4
