Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Hourly_Rainfall_mm
AMADALAVALASA,Andhra Pradesh,SRIKAKULAM,AMUDALAVALASA,-,Nagavali,East flowing rivers between Mahanadi and Pennar,18.41,83.4,2026-01-10 17:30:00,192.0
AMADALAVALASA,Andhra Pradesh,SRIKAKULAM,AMUDALAVALASA,-,Nagavali,East flowing rivers between Mahanadi and Pennar,18.41,83.4,2026-01-13 03:30:00,36.0
AMADALAVALASA,Andhra Pradesh,SRIKAKULAM,AMUDALAVALASA,-,Nagavali,East flowing rivers between Mahanadi and Pennar,18.41,83.4,2026-04-06 22:30:00,3.0
AMADALAVALASA,Andhra Pradesh,SRIKAKULAM,AMUDALAVALASA,-,Nagavali,East flowing rivers between Mahanadi and Pennar,18.41,83.4,2026-04-06 23:30:00,0.5
AMADALAVALASA,Andhra Pradesh,SRIKAKULAM,AMUDALAVALASA,-,Nagavali,East flowing rivers between Mahanadi and Pennar,18.41,83.4,2026-04-30 03:30:00,5.5
AMADALAVALASA,Andhra Pradesh,SRIKAKULAM,AMUDALAVALASA,-,Nagavali,East flowing rivers between Mahanadi and Pennar,18.41,83.4,2026-05-01 12:30:00,12.0
AMADALAVALASA,Andhra Pradesh,SRIKAKULAM,AMUDALAVALASA,-,Nagavali,East flowing rivers between Mahanadi and Pennar,18.41,83.4,2026-05-01 13:30:00,9.5
AMADALAVALASA,Andhra Pradesh,SRIKAKULAM,AMUDALAVALASA,-,Nagavali,East flowing rivers between Mahanadi and Pennar,18.41,83.4,2026-05-01 14:30:00,2.5
AMADALAVALASA,Andhra Pradesh,SRIKAKULAM,AMUDALAVALASA,-,Nagavali,East flowing rivers between Mahanadi and Pennar,18.41,83.4,2026-05-01 15:30:00,0.5
AMADALAVALASA,Andhra Pradesh,SRIKAKULAM,AMUDALAVALASA,-,Nagavali,East flowing rivers between Mahanadi and Pennar,18.41,83.4,2026-05-01 23:30:00,3.5
AMADALAVALASA,Andhra Pradesh,SRIKAKULAM,AMUDALAVALASA,-,Nagavali,East flowing rivers between Mahanadi and Pennar,18.41,83.4,2026-05-03 02:30:00,0.5
AMADALAVALASA,Andhra Pradesh,SRIKAKULAM,AMUDALAVALASA,-,Nagavali,East flowing rivers between Mahanadi and Pennar,18.41,83.4,2026-05-03 09:30:00,2.5
AMADALAVALASA,Andhra Pradesh,SRIKAKULAM,AMUDALAVALASA,-,Nagavali,East flowing rivers between Mahanadi and Pennar,18.41,83.4,2026-05-14 20:30:00,0.5
AMADALAVALASA,Andhra Pradesh,SRIKAKULAM,AMUDALAVALASA,-,Nagavali,East flowing rivers between Mahanadi and Pennar,18.41,83.4,2026-05-27 02:30:00,0.5
AMADALAVALASA,Andhra Pradesh,SRIKAKULAM,AMUDALAVALASA,-,Nagavali,East flowing rivers between Mahanadi and Pennar,18.41,83.4,2026-05-31 02:30:00,4.0
Bawapuram,Andhra Pradesh,KURNOOL,KURNOOL,-,Krishna,Krishna,15.8825,77.957222,2026-01-30 11:00:00,128.0
Bawapuram,Andhra Pradesh,KURNOOL,KURNOOL,-,Krishna,Krishna,15.8825,77.957222,2026-01-30 12:00:00,128.0
Bawapuram,Andhra Pradesh,KURNOOL,KURNOOL,-,Krishna,Krishna,15.8825,77.957222,2026-02-20 00:00:00,160.0
Bawapuram,Andhra Pradesh,KURNOOL,KURNOOL,-,Krishna,Krishna,15.8825,77.957222,2026-02-20 01:00:00,160.0
