Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Hourly_Rainfall_mm
Kibithu,Arunachal Pradesh,ANJAW,Hawai-Walong,-,Brahmaputra,Brahmaputra,28.257222,97.025833,2026-02-22 08:30:00,3.0
Kibithu,Arunachal Pradesh,ANJAW,Hawai-Walong,-,Brahmaputra,Brahmaputra,28.257222,97.025833,2026-02-22 09:30:00,3.0
Kibithu,Arunachal Pradesh,ANJAW,Hawai-Walong,-,Brahmaputra,Brahmaputra,28.257222,97.025833,2026-03-18 07:00:00,4.0
Kibithu,Arunachal Pradesh,ANJAW,Hawai-Walong,-,Brahmaputra,Brahmaputra,28.257222,97.025833,2026-03-19 11:00:00,2.5
Kibithu,Arunachal Pradesh,ANJAW,Hawai-Walong,-,Brahmaputra,Brahmaputra,28.257222,97.025833,2026-03-19 12:00:00,2.5
Kibithu,Arunachal Pradesh,ANJAW,Hawai-Walong,-,Brahmaputra,Brahmaputra,28.257222,97.025833,2026-03-19 13:00:00,2.5
Kibithu,Arunachal Pradesh,ANJAW,Hawai-Walong,-,Brahmaputra,Brahmaputra,28.257222,97.025833,2026-03-20 02:00:00,25.0
Kibithu,Arunachal Pradesh,ANJAW,Hawai-Walong,-,Brahmaputra,Brahmaputra,28.257222,97.025833,2026-03-20 03:00:00,0.5
Kibithu,Arunachal Pradesh,ANJAW,Hawai-Walong,-,Brahmaputra,Brahmaputra,28.257222,97.025833,2026-03-20 22:00:00,28.0
Kibithu,Arunachal Pradesh,ANJAW,Hawai-Walong,-,Brahmaputra,Brahmaputra,28.257222,97.025833,2026-03-20 23:00:00,28.5
Kibithu,Arunachal Pradesh,ANJAW,Hawai-Walong,-,Brahmaputra,Brahmaputra,28.257222,97.025833,2026-03-21 00:00:00,0.5
Kibithu,Arunachal Pradesh,ANJAW,Hawai-Walong,-,Brahmaputra,Brahmaputra,28.257222,97.025833,2026-03-21 23:00:00,1.5
Kibithu,Arunachal Pradesh,ANJAW,Hawai-Walong,-,Brahmaputra,Brahmaputra,28.257222,97.025833,2026-03-22 10:00:00,1.0
Kibithu,Arunachal Pradesh,ANJAW,Hawai-Walong,-,Brahmaputra,Brahmaputra,28.257222,97.025833,2026-03-22 19:00:00,0.5
Kibithu,Arunachal Pradesh,ANJAW,Hawai-Walong,-,Brahmaputra,Brahmaputra,28.257222,97.025833,2026-03-23 11:00:00,0.5
Kibithu,Arunachal Pradesh,ANJAW,Hawai-Walong,-,Brahmaputra,Brahmaputra,28.257222,97.025833,2026-04-26 07:00:00,0.5
