Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Hourly_Rainfall_mm
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-02-04 13:00:00,111.0
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-02 05:00:00,15.5
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-02 06:00:00,17.0
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-04 06:00:00,1.0
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-04 07:00:00,0.5
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-04 11:00:00,1.0
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-05 09:00:00,1.5
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-05 16:00:00,15.5
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-08 07:00:00,10.0
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-08 13:00:00,10.0
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-10 04:00:00,1.5
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-10 05:00:00,260.0
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-11 11:00:00,33.0
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-12 06:00:00,3.0
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-12 07:00:00,5.0
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-12 11:00:00,3.5
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-13 06:00:00,253.0
AP Ghat,Assam,CACHAR,SONAI,-,-,Barak and Others,24.831944,92.796111,2026-04-13 07:00:00,9.0
