Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Hourly_Rainfall_mm
Ambabal (Narangi),Chhattisgarh,BASTAR,BASTAR,BASTAR,Godavari,Godavari,19.296667,81.788889,2026-02-04 07:00:00,128.0
Ambabal (Narangi),Chhattisgarh,BASTAR,BASTAR,BASTAR,Godavari,Godavari,19.296667,81.788889,2026-02-04 08:00:00,128.0
Ambabal (Narangi),Chhattisgarh,BASTAR,BASTAR,BASTAR,Godavari,Godavari,19.296667,81.788889,2026-02-07 17:00:00,159.0
Ambabal (Narangi),Chhattisgarh,BASTAR,BASTAR,BASTAR,Godavari,Godavari,19.296667,81.788889,2026-02-07 18:00:00,159.0
Ambabal (Narangi),Chhattisgarh,BASTAR,BASTAR,BASTAR,Godavari,Godavari,19.296667,81.788889,2026-02-23 15:00:00,3.5
Ambabal (Narangi),Chhattisgarh,BASTAR,BASTAR,BASTAR,Godavari,Godavari,19.296667,81.788889,2026-03-20 09:00:00,9.0
Ambabal (Narangi),Chhattisgarh,BASTAR,BASTAR,BASTAR,Godavari,Godavari,19.296667,81.788889,2026-03-20 10:00:00,11.5
Ambabal (Narangi),Chhattisgarh,BASTAR,BASTAR,BASTAR,Godavari,Godavari,19.296667,81.788889,2026-03-20 11:00:00,0.5
Ambabal (Narangi),Chhattisgarh,BASTAR,BASTAR,BASTAR,Godavari,Godavari,19.296667,81.788889,2026-03-20 20:00:00,22.0
Ambabal (Narangi),Chhattisgarh,BASTAR,BASTAR,BASTAR,Godavari,Godavari,19.296667,81.788889,2026-03-30 10:00:00,15.5
Ambabal (Narangi),Chhattisgarh,BASTAR,BASTAR,BASTAR,Godavari,Godavari,19.296667,81.788889,2026-04-18 11:00:00,0.5
Ambabal (Narangi),Chhattisgarh,BASTAR,BASTAR,BASTAR,Godavari,Godavari,19.296667,81.788889,2026-04-22 10:00:00,7.0
Ambabal (Narangi),Chhattisgarh,BASTAR,BASTAR,BASTAR,Godavari,Godavari,19.296667,81.788889,2026-04-22 11:00:00,2.5
Ambabal (Narangi),Chhattisgarh,BASTAR,BASTAR,BASTAR,Godavari,Godavari,19.296667,81.788889,2026-04-22 12:00:00,13.0
Ambabal (Narangi),Chhattisgarh,BASTAR,BASTAR,BASTAR,Godavari,Godavari,19.296667,81.788889,2026-04-24 18:00:00,240.5
Ambabal (Narangi),Chhattisgarh,BASTAR,BASTAR,BASTAR,Godavari,Godavari,19.296667,81.788889,2026-05-01 11:00:00,3.5
Andhiyarkhore,Chhattisgarh,BEMETARA,NAWAGARH,-,Mahanadi,Mahanadi,21.834722,81.597222,2026-03-30 11:00:00,2.5
