Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Hourly_Rainfall_mm
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-01-04 09:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-01-08 02:00:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-01-08 07:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-01-13 15:30:00,166.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-01-14 02:00:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-01-14 07:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-01-16 08:00:00,166.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-01-16 13:30:00,166.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-01-29 08:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-04 04:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-04 05:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-04 07:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-04 08:30:00,1.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-04 12:30:00,3.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-05 04:00:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-05 09:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-13 02:00:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-13 07:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-15 02:00:00,9.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-15 03:00:00,2.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-15 05:00:00,1.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-15 07:30:00,9.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-15 08:30:00,2.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-15 10:30:00,1.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-15 13:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-15 14:30:00,1.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-15 15:30:00,3.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-16 11:00:00,1.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-16 14:00:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-16 16:30:00,1.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-16 19:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-17 09:00:00,2.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-17 10:00:00,3.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-17 11:00:00,2.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-17 12:00:00,1.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-17 14:30:00,2.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-17 15:30:00,3.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-17 16:30:00,2.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-17 17:30:00,1.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-18 11:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-18 15:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-18 16:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-19 05:00:00,5.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-02-19 10:30:00,5.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-05 11:00:00,15.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-05 11:01:00,15.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-05 16:30:00,15.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-09 17:00:00,1.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-09 22:30:00,1.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-12 02:00:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-12 03:00:00,1.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-12 07:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-12 08:30:00,1.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-23 08:00:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-23 13:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-27 02:00:00,3.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-27 07:30:00,3.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-28 09:00:00,3.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-28 14:30:00,3.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-30 06:00:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-30 11:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-31 08:00:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-03-31 13:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-04-01 08:00:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-04-01 09:00:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-04-01 13:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-04-01 14:30:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-04-07 12:00:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-05-08 11:00:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-05-12 03:00:00,1.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-05-13 11:00:00,2.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-05-14 01:00:00,4.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-05-14 03:00:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-05-14 04:00:00,7.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-05-14 05:00:00,6.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-05-14 06:00:00,0.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-05-14 07:00:00,2.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-05-14 08:00:00,2.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-05-14 09:00:00,5.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-05-14 10:00:00,5.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-05-14 11:00:00,1.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-05-14 12:00:00,29.0
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-05-14 16:00:00,5.5
Delhi Railway Bridge,Delhi,NORTH,MODEL TOWN,-,Ganga,Ganga,28.6625,77.248889,2021-05-14 17:00:00,4.5
