Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Hourly_Rainfall_mm
Ganeshpura_1,Jammu & Kashmir,ANANTNAG,PAHALGAM,-,Jhelum,Indus,33.903889,75.281944,2026-01-01 14:30:00,0.5
Ganeshpura_1,Jammu & Kashmir,ANANTNAG,PAHALGAM,-,Jhelum,Indus,33.903889,75.281944,2026-01-02 10:30:00,163.0
Ganeshpura_1,Jammu & Kashmir,ANANTNAG,PAHALGAM,-,Jhelum,Indus,33.903889,75.281944,2026-01-12 00:30:00,144.0
Ganeshpura_1,Jammu & Kashmir,ANANTNAG,PAHALGAM,-,Jhelum,Indus,33.903889,75.281944,2026-01-12 18:30:00,168.5
Ganeshpura_1,Jammu & Kashmir,ANANTNAG,PAHALGAM,-,Jhelum,Indus,33.903889,75.281944,2026-01-29 06:30:00,192.0
Ganeshpura_1,Jammu & Kashmir,ANANTNAG,PAHALGAM,-,Jhelum,Indus,33.903889,75.281944,2026-02-03 20:30:00,197.0
Ganeshpura_1,Jammu & Kashmir,ANANTNAG,PAHALGAM,-,Jhelum,Indus,33.903889,75.281944,2026-02-21 03:30:00,80.0
Ganeshpura_1,Jammu & Kashmir,ANANTNAG,PAHALGAM,-,Jhelum,Indus,33.903889,75.281944,2026-02-22 08:30:00,400.0
Ganeshpura_1,Jammu & Kashmir,ANANTNAG,PAHALGAM,-,Jhelum,Indus,33.903889,75.281944,2026-03-01 06:30:00,0.5
Ganeshpura_1,Jammu & Kashmir,ANANTNAG,PAHALGAM,-,Jhelum,Indus,33.903889,75.281944,2026-03-19 04:30:00,0.5
Ganeshpura_1,Jammu & Kashmir,ANANTNAG,PAHALGAM,-,Jhelum,Indus,33.903889,75.281944,2026-03-29 06:30:00,1.0
Ganeshpura_1,Jammu & Kashmir,ANANTNAG,PAHALGAM,-,Jhelum,Indus,33.903889,75.281944,2026-04-09 20:30:00,10.0
Ganeshpura_1,Jammu & Kashmir,ANANTNAG,PAHALGAM,-,Jhelum,Indus,33.903889,75.281944,2026-04-10 19:30:00,184.0
Ganeshpura_1,Jammu & Kashmir,ANANTNAG,PAHALGAM,-,Jhelum,Indus,33.903889,75.281944,2026-04-11 18:30:00,0.5
Ganeshpura_1,Jammu & Kashmir,ANANTNAG,PAHALGAM,-,Jhelum,Indus,33.903889,75.281944,2026-04-11 20:30:00,1.5
