Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Hourly_Rainfall_mm
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-06-26 15:30:00,51.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-06-27 22:30:00,4.0
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-06-28 23:30:00,192.0
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-06-30 12:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-06-30 16:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-03 16:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-04 01:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-04 22:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-05 02:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-05 12:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-05 13:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-05 14:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-05 17:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-05 19:30:00,1.0
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-05 20:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-05 21:30:00,1.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-05 22:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-06 01:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-06 02:30:00,1.0
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-06 04:30:00,2.0
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-06 10:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-06 14:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-08 17:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-09 06:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-09 11:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-09 17:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-09 19:30:00,1.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-09 22:30:00,1.0
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-09 23:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-16 21:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-18 20:30:00,1.0
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-19 07:30:00,1.0
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-19 08:30:00,1.0
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-19 14:30:00,1.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-19 15:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-19 18:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-20 05:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-20 07:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-20 08:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-20 09:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-20 15:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-20 16:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-20 21:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-21 03:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-21 04:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-21 06:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-21 08:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-21 13:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-21 14:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-21 16:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-21 19:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-22 00:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-22 09:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-22 11:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-22 13:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-22 16:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-22 19:30:00,1.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-27 20:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-29 15:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-07-29 19:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-08-01 05:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-08-03 06:30:00,0.5
MUTHANKERA,Kerala,WAYANAD,Mananthavady,-,Cauvery,Cauvery,11.808056,76.084167,2019-08-04 19:30:00,0.5
