Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Hourly_Rainfall_mm
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-02-17 09:30:00,2.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-02-17 11:30:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-02-17 12:30:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-02-24 03:30:00,3.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-02-25 11:30:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-02-26 05:30:00,21.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-02-26 06:30:00,5.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-02-26 07:30:00,2.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-02-26 08:30:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-02-27 11:30:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-02-27 12:30:00,3.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-02-27 13:30:00,1.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-02-28 04:30:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-02-28 17:30:00,3.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-02-28 18:30:00,1.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-05 01:30:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-05 07:30:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-05 08:30:00,2.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-05 09:30:00,2.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-05 23:30:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-06 23:30:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-07 00:30:00,7.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-07 01:30:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-07 02:30:00,6.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-07 03:30:00,10.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-07 04:30:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-07 06:30:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-20 01:30:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-20 02:30:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-22 06:30:00,3.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-22 08:30:00,3.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-22 09:30:00,2.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-23 00:30:00,6.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-03-27 20:30:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-07 03:30:00,6.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-07 08:30:00,1.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-07 09:30:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-08 10:00:00,8.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-08 13:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-09 04:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-09 06:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-09 07:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-09 08:00:00,4.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-09 09:00:00,5.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-09 10:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-28 02:00:00,9.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-28 03:00:00,12.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-28 04:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-28 05:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-28 07:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-28 08:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-28 14:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-29 00:00:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-29 06:00:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-29 07:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-29 08:00:00,1.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-29 09:00:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-29 10:00:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-29 11:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-29 12:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-29 16:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-04-30 07:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-11 15:00:00,96.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-13 07:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-13 14:00:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-13 16:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-13 17:00:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-13 18:00:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-13 19:00:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-13 20:00:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-13 21:00:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-13 23:00:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-14 00:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-14 01:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-14 02:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-14 03:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-14 12:00:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-14 14:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-14 16:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-15 04:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-15 13:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-15 17:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-15 19:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-16 03:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-16 07:00:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-16 10:00:00,0.5
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-16 11:00:00,1.0
Amraghat,Manipur,THOUBAL,KAKCHING,-,-,Indus,24.583333,93.966667,2019-05-16 13:00:00,1.0
