Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Hourly_Rainfall_mm
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-01-01 07:00:00,13.0
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-01-02 09:00:00,4.5
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-01-03 05:00:00,126.0
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-01-03 06:00:00,65.0
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-01-03 07:00:00,47.0
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-01-03 08:00:00,9.5
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-01-04 05:00:00,3.5
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-01-04 06:00:00,3.5
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-01-04 07:00:00,8.0
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-01-30 04:00:00,400.0
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-01-31 08:00:00,64.5
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-02-15 11:00:00,371.0
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-02-25 02:00:00,40.0
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-02-25 03:00:00,86.5
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-04-01 02:30:00,198.0
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-04-04 04:00:00,1.0
Doyang Hep Reservoir,Nagaland,WOKHA,WOKHA,-,Dhansiri,Brahmaputra,26.23,94.260833,2026-04-04 06:00:00,1.0
