Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Hourly_Rainfall_mm
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-01-29 11:00:00,400.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-01-29 15:30:00,400.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-02-02 05:30:00,257.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-02-12 04:30:00,3.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-02-25 10:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-03-25 21:30:00,3.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-03-25 22:30:00,6.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-03-26 00:30:00,13.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-03-26 02:30:00,13.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-03-26 07:30:00,13.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-03-26 09:30:00,13.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-03-29 22:30:00,7.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-03-29 23:30:00,3.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-03-30 01:30:00,3.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-03-30 02:30:00,3.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-03-30 04:30:00,3.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-03-30 06:30:00,27.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-03-30 09:30:00,3.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-03-30 11:30:00,3.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-04 23:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-05 00:30:00,1.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-05 05:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-05 06:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-05 09:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-05 12:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-05 22:30:00,1.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-05 23:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-06 00:30:00,1.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-06 01:30:00,1.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-06 04:30:00,1.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-06 08:30:00,1.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-06 09:30:00,1.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-06 10:30:00,1.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-08 00:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-08 01:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-08 05:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-08 09:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-08 10:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-08 11:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-11 18:30:00,136.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-11 19:30:00,160.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-13 18:30:00,23.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-04-20 09:30:00,400.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-01 09:30:00,5.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-02 20:30:00,2.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-02 21:30:00,3.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-02 22:30:00,4.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-02 23:30:00,4.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-03 01:30:00,4.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-03 03:30:00,6.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-03 04:30:00,1.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-03 05:30:00,1.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-03 08:30:00,7.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-03 09:30:00,7.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-11 22:30:00,1.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-11 23:30:00,38.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-12 01:30:00,19.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-12 04:30:00,19.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-12 09:30:00,19.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-12 10:30:00,19.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-14 03:30:00,5.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-14 04:30:00,1.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-14 05:30:00,3.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-14 06:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-14 09:30:00,3.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-14 10:30:00,3.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-14 11:30:00,3.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-14 12:30:00,3.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-23 15:30:00,30.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-24 04:30:00,15.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-24 09:30:00,15.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-27 23:30:00,6.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-28 00:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-28 03:30:00,6.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-28 09:30:00,6.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-28 13:30:00,2.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-29 23:30:00,28.0
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-30 00:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-30 09:30:00,14.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-05-30 10:30:00,14.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-06-02 21:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-06-02 22:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-06-03 00:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-06-03 02:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-06-03 03:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-06-03 05:30:00,0.5
Akhuapada,Odisha,BHADRAK,BHADRAK,-,Baitarani,Brahmani and Baitarni,20.916944,86.279722,2026-06-03 06:30:00,0.5
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-13 20:30:00,2.5
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-14 03:30:00,2.5
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-14 05:30:00,2.5
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-14 08:30:00,2.5
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-02-02 05:30:00,4.5
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-02-27 08:30:00,246.0
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-03-26 20:30:00,40.0
