Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Hourly_Rainfall_mm
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-01-03 18:30:00,1.0
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-01-03 20:30:00,1.0
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-01-04 01:30:00,1.0
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-01-05 16:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-01-05 17:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-01-05 18:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-01-06 02:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-01-29 09:30:00,18.0
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-02-22 03:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-02-22 05:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-02-22 21:30:00,192.0
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-02-24 17:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-02-25 01:30:00,1.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-02-25 18:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-02-25 19:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-02-25 20:30:00,2.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-02-26 00:30:00,2.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-02-27 22:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-02-28 01:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-02-28 17:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-01 00:30:00,1.0
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-24 00:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-24 01:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-24 04:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-24 05:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-24 06:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-24 19:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-24 20:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-24 21:30:00,1.0
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-24 22:30:00,1.0
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-24 23:30:00,1.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-25 00:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-25 01:30:00,2.0
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-25 02:30:00,2.0
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-25 03:30:00,2.0
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-25 04:30:00,2.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-25 05:30:00,0.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-25 06:30:00,2.5
Bhareng,Sikkim,WEST DISTRICT,SORENG,-,Brahmaputra,Brahmaputra,27.190278,88.076389,2026-03-25 07:30:00,3.0
