Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Hourly_Rainfall_mm
GUMTI HYDRO DAM,Tripura,SOUTH TRIPURA,Jolaibari,-,Gumti,Barak and Others,23.429167,91.822222,2026-01-14 23:00:00,0.5
GUMTI HYDRO DAM,Tripura,SOUTH TRIPURA,Jolaibari,-,Gumti,Barak and Others,23.429167,91.822222,2026-01-15 01:00:00,0.5
GUMTI HYDRO DAM,Tripura,SOUTH TRIPURA,Jolaibari,-,Gumti,Barak and Others,23.429167,91.822222,2026-01-16 12:00:00,0.5
GUMTI HYDRO DAM,Tripura,SOUTH TRIPURA,Jolaibari,-,Gumti,Barak and Others,23.429167,91.822222,2026-02-11 20:00:00,248.0
GUMTI HYDRO DAM,Tripura,SOUTH TRIPURA,Jolaibari,-,Gumti,Barak and Others,23.429167,91.822222,2026-03-30 23:00:00,1.5
GUMTI HYDRO DAM,Tripura,SOUTH TRIPURA,Jolaibari,-,Gumti,Barak and Others,23.429167,91.822222,2026-04-02 22:00:00,1.0
GUMTI HYDRO DAM,Tripura,SOUTH TRIPURA,Jolaibari,-,Gumti,Barak and Others,23.429167,91.822222,2026-04-02 23:00:00,0.5
GUMTI HYDRO DAM,Tripura,SOUTH TRIPURA,Jolaibari,-,Gumti,Barak and Others,23.429167,91.822222,2026-04-07 12:00:00,1.5
GUMTI HYDRO DAM,Tripura,SOUTH TRIPURA,Jolaibari,-,Gumti,Barak and Others,23.429167,91.822222,2026-04-07 15:00:00,1.5
GUMTI HYDRO DAM,Tripura,SOUTH TRIPURA,Jolaibari,-,Gumti,Barak and Others,23.429167,91.822222,2026-04-07 17:00:00,1.5
GUMTI HYDRO DAM,Tripura,SOUTH TRIPURA,Jolaibari,-,Gumti,Barak and Others,23.429167,91.822222,2026-04-08 00:00:00,1.5
GUMTI HYDRO DAM,Tripura,SOUTH TRIPURA,Jolaibari,-,Gumti,Barak and Others,23.429167,91.822222,2026-04-08 01:00:00,1.5
GUMTI HYDRO DAM,Tripura,SOUTH TRIPURA,Jolaibari,-,Gumti,Barak and Others,23.429167,91.822222,2026-04-08 02:00:00,1.5
GUMTI HYDRO DAM,Tripura,SOUTH TRIPURA,Jolaibari,-,Gumti,Barak and Others,23.429167,91.822222,2026-04-08 04:00:00,0.5
