Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Hourly_Rainfall_mm
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-01-04 09:30:00,60.0
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-02-01 12:30:00,54.0
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-02-09 09:30:00,252.0
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-02-25 22:30:00,3.0
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-03-18 22:30:00,0.5
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-03-19 04:30:00,45.5
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-03-23 04:30:00,23.0
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-03-23 23:30:00,1.0
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-03-24 00:30:00,1.0
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-03-24 01:30:00,1.0
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-03-24 03:30:00,1.0
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-03-24 16:30:00,4.5
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-03-24 22:30:00,26.0
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-03-25 01:30:00,26.0
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-03-25 02:30:00,26.0
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-03-25 03:30:00,26.0
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-03-25 04:30:00,26.0
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-03-26 02:30:00,15.0
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-03-26 07:30:00,2.5
CHEL,West Bengal,JALPAIGURI,MAL,-,Brahmaputra,Brahmaputra,26.8625,88.636111,2026-03-26 08:30:00,2.5
