Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Hourly_Rainfall_mm
ANKLESHWAR,Gujarat,BHARUCH,ANKLESVAR,-,Narmada,Narmada,21.61055556,72.99,2020-12-25 17:00:00,2.0
Bhadar dam,Gujarat,RAJKOT,GONDAL,-,Bhadar,West flowing rivers of Kutch and Saurashtra including Luni,21.81,70.76888889,2020-12-23 14:00:00,4.0
Fofal dam,Gujarat,RAJKOT,JAMKANDORNA,-,-,West flowing rivers of Kutch and Saurashtra including Luni,21.85111111,70.49805556,2008-11-03 00:00:00,0.2
Fofal dam,Gujarat,RAJKOT,JAMKANDORNA,-,-,West flowing rivers of Kutch and Saurashtra including Luni,21.85111111,70.49805556,2012-08-16 00:00:00,0.6
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2003-06-21 07:00:00,2.5
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2003-08-21 22:00:00,1.5
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2004-08-21 12:00:00,0.5
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2005-06-21 16:00:00,53.0
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2005-06-21 18:00:00,2.5
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2006-06-21 00:00:00,1.0
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2006-06-21 16:00:00,37.0
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2007-08-21 09:00:00,4.5
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2010-07-21 16:00:00,22.5
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2010-07-21 20:00:00,0.5
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2011-07-21 00:00:00,1.0
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2012-07-21 06:00:00,2.0
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2012-07-21 16:00:00,1.5
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2013-07-21 21:00:00,3.5
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2015-07-21 15:00:00,14.0
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2015-07-21 21:00:00,25.0
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2016-05-21 21:00:00,1.0
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2017-05-21 01:00:00,0.5
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2017-05-21 15:00:00,0.5
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2018-01-21 11:00:00,20.0
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2018-05-21 20:00:00,0.5
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2019-07-21 13:00:00,2.0
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2020-06-21 10:00:00,2.0
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2020-06-21 14:00:00,1.0
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2020-07-21 04:00:00,0.5
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2020-07-21 06:00:00,0.5
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2020-07-21 18:00:00,2.5
GAMLA,Gujarat,DOHAD,DOHAD,-,Mahi,Mahi,22.81638889,74.30777778,2020-07-21 20:00:00,1.0
Gandhinagar,Gujarat,GANDHINAGAR,GANDHINAGAR,-,Sabarmati,Sabarmati,23.21611111,72.69972222,2004-06-21 22:00:00,8.5
Gandhinagar,Gujarat,GANDHINAGAR,GANDHINAGAR,-,Sabarmati,Sabarmati,23.21611111,72.69972222,2005-06-21 00:00:00,1.0
Gandhinagar,Gujarat,GANDHINAGAR,GANDHINAGAR,-,Sabarmati,Sabarmati,23.21611111,72.69972222,2006-09-20 15:00:00,0.5
Gandhinagar,Gujarat,GANDHINAGAR,GANDHINAGAR,-,Sabarmati,Sabarmati,23.21611111,72.69972222,2007-09-21 16:00:00,2.5
Gandhinagar,Gujarat,GANDHINAGAR,GANDHINAGAR,-,Sabarmati,Sabarmati,23.21611111,72.69972222,2008-09-21 14:00:00,0.5
Gandhinagar,Gujarat,GANDHINAGAR,GANDHINAGAR,-,Sabarmati,Sabarmati,23.21611111,72.69972222,2008-09-21 17:00:00,3.5
