Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Reservoir_Storage_mcm
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-01 07:30:00,2164.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-02 07:30:00,2164.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-03 07:30:00,2164.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-04 07:30:00,2164.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-05 07:30:00,2164.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-06 07:30:00,2164.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-07 07:30:00,2161.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-08 07:30:00,2161.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-09 07:30:00,2161.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-10 07:30:00,2154.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-11 07:30:00,2154.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-12 07:30:00,2154.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-13 07:30:00,2147.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-14 07:30:00,2164.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-15 07:30:00,2111.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-16 07:30:00,2141.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-17 07:30:00,2142.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-18 07:30:00,2142.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-19 07:30:00,2142.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-20 07:30:00,2134.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-21 07:30:00,2131.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-01-22 07:30:00,2131.0
