Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Water_Level_m
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 00:00:00,1.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 01:00:00,2.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 02:00:00,3.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 03:00:00,4.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 04:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 05:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 06:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 07:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 08:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 09:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 10:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 11:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 12:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 13:00:00,-999.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 14:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 15:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 16:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 17:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 18:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 19:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 20:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 21:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 22:00:00,5.0
Bhakra Dam RL1700_BBMB,Himachal Pradesh,BILASPUR,BILASPUR SADAR(T),-,Satluj,Indus,31.415556,76.434722,2019-05-10 23:00:00,5.0
