Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Water_Level_m
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-06-17 08:00:00,64.599
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-06-18 08:00:00,64.538
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-06-19 08:00:00,64.544
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-06-20 08:00:00,64.511
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-06-21 08:00:00,64.295
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-06-22 08:00:00,64.295
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-06-23 08:00:00,64.295
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-06-24 08:00:00,64.295
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-06-25 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-06-26 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-06-27 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-06-28 08:00:00,64.389
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-06-29 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-06-30 08:00:00,64.295
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-01 08:00:00,64.295
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-02 08:00:00,64.295
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-03 08:00:00,64.389
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-04 08:00:00,64.389
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-05 08:00:00,64.295
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-06 08:00:00,64.295
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-07 08:00:00,64.295
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-08 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-09 08:00:00,64.295
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-10 08:00:00,64.295
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-11 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-12 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-13 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-14 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-15 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-16 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-17 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-18 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-19 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-20 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-21 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-22 08:00:00,64.45
