Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,River_Discharge_m3sec
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-01 08:00:00,155.157
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-02 08:00:00,159.417
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-03 08:00:00,158.675
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-05 08:00:00,163.159
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-06 08:00:00,164.199
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-07 08:00:00,162.74
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-08 08:00:00,153.944
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-09 08:00:00,160.47
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-10 08:00:00,158.393
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-12 08:00:00,156.726
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-13 08:00:00,154.357
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-15 08:00:00,155.115
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-16 08:00:00,156.283
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-17 08:00:00,157.344
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-19 08:00:00,154.612
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-20 08:00:00,152.322
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-21 08:00:00,145.418
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-22 08:00:00,133.701
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-23 08:00:00,127.438
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-24 08:00:00,127.169
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-27 08:00:00,119.795
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-28 08:00:00,113.897
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-29 08:00:00,114.079
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-30 08:00:00,113.941
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-01-31 08:00:00,113.127
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-02-02 08:00:00,110.807
Alladupalli,Andhra Pradesh,CUDDAPAH,CHAPADU,-,Pennar,Pennar,14.717222,78.668611,2026-02-03 08:00:00,110.715
