Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,River_Discharge_m3sec
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-01 08:00:00,62.715
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-02 08:00:00,62.715
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-03 08:00:00,62.2
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-04 08:00:00,62.2
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-05 08:00:00,62.2
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-06 08:00:00,62.2
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-07 08:00:00,61.687
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-08 08:00:00,61.687
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-09 08:00:00,61.687
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-10 08:00:00,61.177
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-11 08:00:00,60.669
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-12 08:00:00,60.669
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-13 08:00:00,60.669
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-14 08:00:00,60.165
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-15 08:00:00,60.165
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-16 08:00:00,59.662
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-17 08:00:00,59.662
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-18 08:00:00,59.662
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-19 08:00:00,59.163
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-20 08:00:00,59.163
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-21 08:00:00,59.163
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-22 08:00:00,58.666
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-23 08:00:00,58.666
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-24 08:00:00,58.172
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-25 08:00:00,58.172
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-26 08:00:00,58.172
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-27 08:00:00,57.68
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-28 08:00:00,57.68
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-29 08:00:00,57.191
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-30 08:00:00,57.191
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-01-31 08:00:00,57.191
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-02-01 08:00:00,56.704
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-02-02 08:00:00,56.704
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-02-03 08:00:00,56.22
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-02-04 08:00:00,56.22
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-02-05 08:00:00,56.22
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-02-06 08:00:00,55.739
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-02-07 08:00:00,55.739
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-02-08 08:00:00,55.739
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-02-09 08:00:00,55.739
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-02-10 08:00:00,55.26
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-02-11 08:00:00,55.26
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-02-12 08:00:00,55.26
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-02-13 08:00:00,55.26
ARCHUNG,Mizoram,LAWNGTLAI,LAWNGTLAI,-,Kolodyne,Minor rivers draining into Myanmar and Bangladesh,22.648889,93.535556,2026-02-14 08:00:00,54.784
