Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,River_Discharge_m3sec
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-01 08:00:00,1.29
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-02 08:00:00,1.26
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-03 08:00:00,1.28
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-04 08:00:00,1.28
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-05 08:00:00,1.0
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-06 08:00:00,0.99
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-07 08:00:00,0.98
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-08 08:00:00,0.99
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-09 08:00:00,1.07
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-10 08:00:00,1.06
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-11 08:00:00,1.06
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-12 08:00:00,1.08
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-13 08:00:00,0.98
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-14 08:00:00,0.99
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-15 08:00:00,2.17
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-16 08:00:00,2.37
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-17 08:00:00,2.48
Altuma,Odisha,DHENKANAL,Dhenkanal,-,Brahmani,Brahmani and Baitarni,20.930833,85.519167,2026-01-18 08:00:00,2.48
