Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,River_Discharge_m3sec
Annavasal,Puducherry,KARAIKAL,Karaikal,-,Cauvery,Cauvery,10.975,79.753889,2026-01-06 08:00:00,1.798
Annavasal,Puducherry,KARAIKAL,Karaikal,-,Cauvery,Cauvery,10.975,79.753889,2026-01-07 08:00:00,1.668
Annavasal,Puducherry,KARAIKAL,Karaikal,-,Cauvery,Cauvery,10.975,79.753889,2026-01-08 08:00:00,0.088
Annavasal,Puducherry,KARAIKAL,Karaikal,-,Cauvery,Cauvery,10.975,79.753889,2026-01-09 08:00:00,1.089
Annavasal,Puducherry,KARAIKAL,Karaikal,-,Cauvery,Cauvery,10.975,79.753889,2026-01-10 08:00:00,1.316
Annavasal,Puducherry,KARAIKAL,Karaikal,-,Cauvery,Cauvery,10.975,79.753889,2026-01-12 08:00:00,1.12
Annavasal,Puducherry,KARAIKAL,Karaikal,-,Cauvery,Cauvery,10.975,79.753889,2026-01-13 08:00:00,0.162
Annavasal,Puducherry,KARAIKAL,Karaikal,-,Cauvery,Cauvery,10.975,79.753889,2026-01-14 08:00:00,0.433
Annavasal,Puducherry,KARAIKAL,Karaikal,-,Cauvery,Cauvery,10.975,79.753889,2026-01-16 08:00:00,1.485
Annavasal,Puducherry,KARAIKAL,Karaikal,-,Cauvery,Cauvery,10.975,79.753889,2026-01-17 08:00:00,1.25
Annavasal,Puducherry,KARAIKAL,Karaikal,-,Cauvery,Cauvery,10.975,79.753889,2026-01-19 08:00:00,0.465
Annavasal,Puducherry,KARAIKAL,Karaikal,-,Cauvery,Cauvery,10.975,79.753889,2026-01-20 08:00:00,0.343
Annavasal,Puducherry,KARAIKAL,Karaikal,-,Cauvery,Cauvery,10.975,79.753889,2026-01-21 08:00:00,0.148
KANNAPOOR,Puducherry,KARAIKAL,Thirunallar,-,Cauvery,Cauvery,10.965833,79.741944,2026-01-13 08:00:00,1.242
KANNAPOOR,Puducherry,KARAIKAL,Thirunallar,-,Cauvery,Cauvery,10.965833,79.741944,2026-01-14 08:00:00,1.725
Nallathur,Puducherry,KARAIKAL,Karaikal,-,Cauvery,Cauvery,11.002222,79.751389,2026-01-13 08:00:00,7.407
Nallathur,Puducherry,KARAIKAL,Karaikal,-,Cauvery,Cauvery,11.002222,79.751389,2026-01-14 08:00:00,10.364
