Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,River_Discharge_m3sec
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-15 09:00:00,4.36
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-16 09:00:00,4.32
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-17 09:00:00,4.11
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-18 09:00:00,4.11
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-19 09:00:00,3.89
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-20 09:00:00,3.85
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-21 09:00:00,3.87
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-22 09:00:00,3.66
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-23 09:00:00,3.62
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-24 09:00:00,3.84
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-25 09:00:00,3.84
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-26 09:00:00,3.84
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-27 09:00:00,3.8
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-28 09:00:00,3.57
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-29 09:00:00,3.53
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-30 09:00:00,3.52
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-01-31 09:00:00,3.54
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-02-01 09:00:00,3.54
Fekoghat,West Bengal,MEDINIPUR,MIDNAPORE,-,Subarnarekha,Subernarekha,22.308611,86.916389,2026-02-02 09:00:00,3.33
