Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,River_Discharge_m3sec
Aithor,Gujarat,MAHESANA,UNJHA,-,Bhadar,West flowing rivers of Kutch and Saurashtra including Luni,23.76833333,72.40972222,2017-07-25 08:00:00,42.89
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2017-07-15 08:00:00,108.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2017-07-15 11:00:00,900.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2017-07-15 14:00:00,245.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2017-07-15 17:00:00,90.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2017-07-16 08:00:00,25.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2017-07-16 11:00:00,15.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2017-07-16 14:00:00,3.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2017-07-16 17:00:00,3.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2017-07-22 08:00:00,6.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2017-07-22 11:00:00,6.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2017-07-22 14:00:00,90.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2017-07-22 17:00:00,38.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2017-07-23 08:00:00,3.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2017-07-23 11:00:00,3.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,2017-07-23 14:00:00,0.0
Ambaliyara,Gujarat,ARAVALLI,Bayad,-,Sabarmati,Sabarmati,23.20944444,73.03361111,2017-07-01 08:00:00,0.0
Ambaliyara,Gujarat,ARAVALLI,Bayad,-,Sabarmati,Sabarmati,23.20944444,73.03361111,2017-08-01 08:00:00,15.42
Ambaliyara,Gujarat,ARAVALLI,Bayad,-,Sabarmati,Sabarmati,23.20944444,73.03361111,2017-10-01 08:00:00,5.29
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-09 08:00:00,2.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-09 11:00:00,3.5
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-09 14:00:00,2.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-09 17:00:00,0.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-10 08:00:00,15.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-10 11:00:00,15.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-10 14:00:00,15.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-10 17:00:00,45.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-11 08:00:00,97.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-11 11:00:00,97.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-11 14:00:00,97.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-11 17:00:00,77.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-12 08:00:00,119.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-12 11:00:00,288.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-12 14:00:00,278.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-12 17:00:00,167.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-13 08:00:00,51.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-13 11:00:00,45.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-13 14:00:00,45.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-13 17:00:00,45.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-14 08:00:00,27.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-14 11:00:00,27.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-14 14:00:00,21.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-14 17:00:00,21.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-15 08:00:00,15.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-15 11:00:00,15.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-15 14:00:00,10.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-15 17:00:00,10.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-16 08:00:00,10.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-16 11:00:00,10.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-16 14:00:00,10.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-16 17:00:00,10.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-17 08:00:00,5.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-17 11:00:00,5.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-17 14:00:00,5.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-17 17:00:00,5.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-18 08:00:00,5.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-18 11:00:00,5.0
