Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,River_Discharge_m3sec
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-10 00:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-10 15:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-10 16:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-10 17:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-10 18:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-10 19:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-10 20:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-10 21:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-10 22:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-10 23:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-11 00:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-11 01:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-11 13:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-11 14:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-11 15:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-11 16:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-11 17:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-11 18:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-11 19:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-11 20:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-11 21:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-11 22:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-11 23:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-12 00:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-12 01:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-12 13:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-12 14:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-12 15:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-12 16:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-12 17:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-12 18:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-12 19:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-12 20:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-12 21:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-12 22:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-12 23:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-13 00:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-13 01:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-13 13:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-13 14:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-13 15:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-13 16:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-13 17:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-13 18:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-13 19:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-13 20:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-13 21:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-13 22:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-13 23:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-14 00:00:00,0.0
KIM   DELHI,Gujarat,BHARUCH,VALIA,-,Tapi,Tapi,21.56388889,73.20611111,2012-09-14 01:00:00,0.0
