SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Is_DischargeDataAvailable,RL_of_zeroGauge,MeanSeaLevel,Data Acquisition Time,River Water Level Telemetry Hourly (meter)
1,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,2000-01-01 06:00:00,0.595
2,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,2000-01-22 12:00:00,0.595
3,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,2000-01-30 04:00:00,67.315
4,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,2000-09-02 14:00:00,67.12
5,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,2000-11-02 04:00:00,67.307
6,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,2000-11-02 05:00:00,67.309
7,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,2000-12-02 04:00:00,67.294
8,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,2000-12-02 05:00:00,67.292
9,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,2000-02-16 03:00:00,67.12
10,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,2000-02-16 04:00:00,67.12
11,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,2000-02-16 05:00:00,67.229
12,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,2000-02-18 04:00:00,67.167
13,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,2000-02-27 04:00:00,67.22
14,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,2000-02-27 05:00:00,67.217
15,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,1999-11-30 00:00:00,0.0
16,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-02-01 04:00:00,12.0
17,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-02-01 05:00:00,12.1
18,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-02-01 22:00:00,12.0
19,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-02-01 23:00:00,12.0
20,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-03-01 14:00:00,12.1
21,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-03-01 21:00:00,12.8
22,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-03-01 22:00:00,12.8
23,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-04-01 16:00:00,12.7
24,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-04-01 17:00:00,12.7
25,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-04-01 21:00:00,12.7
26,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-04-01 22:00:00,12.7
27,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-05-01 06:00:00,11.5
28,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-05-01 21:00:00,12.8
29,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-05-01 22:00:00,12.8
30,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-06-01 04:00:00,12.2
31,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-06-01 05:00:00,12.2
32,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-06-01 20:00:00,12.6
33,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-06-01 21:00:00,12.7
34,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-06-01 22:00:00,12.7
35,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-07-01 01:00:00,12.0
36,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-07-01 02:00:00,12.0
37,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-07-01 04:00:00,12.2
38,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-07-01 05:00:00,12.2
39,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,2000-07-01 21:00:00,12.8
