Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,River_Discharge_m3sec
Aji-2 dam,Gujarat,RAJKOT,RAJKOT,-,Aji,West flowing rivers of Kutch and Saurashtra including Luni,22.37472222,70.76583333,1974-05-01 00:00:00,0.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,1970-10-07 19:00:00,0.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,1970-10-09 14:00:00,0.0
Aji_Paddhari,Gujarat,RAJKOT,PADDHARI,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.44388889,70.59472222,1970-10-19 08:00:00,0.0
Arjuni_Motasada,Gujarat,BANASKANTHA,VADGAM,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,24.14222222,72.67944444,1970-11-23 02:00:00,0.0
BHANG MANGADH,Gujarat,KACHCHH,RAPAR,-,-,West flowing rivers of Kutch and Saurashtra including Luni,23.43305556,70.90083333,1970-08-15 15:00:00,0.0
BHANG MANGADH,Gujarat,KACHCHH,RAPAR,-,-,West flowing rivers of Kutch and Saurashtra including Luni,23.43305556,70.90083333,1970-11-12 16:00:00,0.0
BHANG MANGADH,Gujarat,KACHCHH,RAPAR,-,-,West flowing rivers of Kutch and Saurashtra including Luni,23.43305556,70.90083333,1971-12-23 20:00:00,0.0
Dantiwada,Gujarat,BANASKANTHA,DANTIWADA,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,24.33694444,72.33888889,1969-12-31 14:00:00,0.0
Dantiwada,Gujarat,BANASKANTHA,DANTIWADA,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,24.33694444,72.33888889,1970-10-10 00:00:00,0.0
Delwada,Gujarat,MAHESANA,BECHARAJI,-,Falku,West flowing rivers of Kutch and Saurashtra including Luni,23.08861111,73.05722222,1970-02-22 15:00:00,0.0
Delwada,Gujarat,MAHESANA,BECHARAJI,-,Falku,West flowing rivers of Kutch and Saurashtra including Luni,23.08861111,73.05722222,1979-03-13 10:00:00,0.0
Demi-I,Gujarat,MORBI,Tankara,-,Demi,West flowing rivers of Kutch and Saurashtra including Luni,22.55416667,70.74944444,1972-06-09 08:00:00,0.0
Demi-III,Gujarat,MORBI,Jodiya,-,Demi,West flowing rivers of Kutch and Saurashtra including Luni,22.74333333,70.60944444,1970-11-10 17:00:00,0.0
Demi-III,Gujarat,MORBI,Jodiya,-,Demi,West flowing rivers of Kutch and Saurashtra including Luni,22.74333333,70.60944444,1970-11-12 05:00:00,0.0
Demi-ll,Gujarat,MORBI,Tankara,-,Demi,West flowing rivers of Kutch and Saurashtra including Luni,22.70833333,70.72972222,1970-01-15 09:00:00,0.0
Demi-ll,Gujarat,MORBI,Tankara,-,Demi,West flowing rivers of Kutch and Saurashtra including Luni,22.70833333,70.72972222,1970-01-28 06:00:00,0.0
Dhanera,Gujarat,BANASKANTHA,DHANERA,-,-,West flowing rivers of Kutch and Saurashtra including Luni,24.53055556,72.03027778,1970-11-20 05:00:00,0.0
Dhatarvadi,Gujarat,AMRELI,RAJULA,-,Dhatarwadi,West flowing rivers of Kutch and Saurashtra including Luni,21.02861111,71.42777778,1970-10-11 11:00:00,0.0
