id,objectid,subdistric,sdcode,district,dtcode,state,stcode,total_hous,total_popu,avg_hh,total_geog,forest_are,area_under,barren_un_,permanent_,land_under,culturable,fallows_la,current_fa,net_area_s,total_unir,area_irrig,canals_are,wells_tube,tanks_lake,waterfall_,shape_leng,shape_area,ds_name,src_agency,State_Name
29,29,Hiramandalam,4783,Srikakulam,519,AP,28,13719.0,50018.0,133.85108529,10055.0,2.0,2589.0,811.0,109.0,144.0,48.0,917.0,908.0,4528.0,3652.0,2700.0,670.0,248.0,1782.0,0.0,96507.52793312041,141197956.78901696,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
3025,3025,Telhara,3988,Akola,467,MH,27,37826.0,172359.0,421.18024054,56529.0,296.0,1175.0,1064.0,1504.0,64.0,345.0,447.0,1270.0,50372.0,7628.0,42746.0,1837.0,5559.0,200.0,0.0,151919.1170161754,587667691.8574456,Administrative Boundary,Survey of India (SOI),Maharashtra
4890,4890,Cheyyur,5711,Chengalpattu,730,TN,33,50475.0,206019.0,484.52309388000003,56562.0,665.0,10599.0,1415.0,2194.0,2532.0,2301.0,4412.0,8237.0,24189.0,4703.0,19490.0,171.0,9569.0,9751.0,0.0,169797.32512520964,553392670.417877,Administrative Boundary,Survey of India (SOI),Tamil Nadu
1715,1715,Sadar Bazar,0434,Central,077,DL,07,25576.0,130188.0,5.090240850000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13293.296698409988,3243670.9251353214,Administrative Boundary,Survey of India (SOI),Delhi
33,33,Lakshminarsupeta,4787,Srikakulam,519,AP,28,7537.0,29107.0,153.40271663000001,6922.0,0.0,1051.0,896.0,143.0,58.0,25.0,58.0,204.0,4485.0,1053.0,3693.0,819.0,43.0,2830.0,0.0,34438.787246207525,58076413.420312226,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
2126,2126,Sangla,0199,Kinnaur,019,HP,02,3065.0,14042.0,197.05609278,128216.0,2769.0,68177.0,11938.0,41199.0,53.0,2250.0,36.0,36.0,1487.0,484.0,1003.0,0.0,0.0,0.0,0.0,273372.81008966366,1404491865.9599967,Administrative Boundary,Survey of India (SOI),Himachal Pradesh
108,108,Pendurthi,4862,Visakhapatanam,520,AP,28,37440.0,146650.0,62.99640522,6379.0,139.0,2152.0,789.0,0.0,790.0,133.0,107.0,849.0,1420.0,1513.0,863.0,0.0,134.0,729.0,0.0,63293.724860191796,131218558.20159008,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
62,62,Bobbili,4816,Vizianagaram,521,AP,28,31566.0,122964.0,152.886115,16794.0,1147.0,2415.0,462.0,111.0,7.0,26.0,9.0,1456.0,11159.0,5277.0,7343.0,3025.0,1488.0,2828.0,1.0,97473.3516074836,198508093.97558683,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
63,63,Salur,4817,Vizianagaram,521,AP,28,26203.0,105389.0,342.34715,31286.0,6243.0,9177.0,1251.0,17.0,172.0,1981.0,408.0,473.0,11555.0,9394.0,3050.0,309.0,578.0,2160.0,0.0,167386.27642494615,424795306.80035174,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
5693,5693,Anupshahr,0748,Bulandshahr,134,UP,09,58068.0,348325.0,750.64042988,38835.0,3020.0,3956.0,184.0,46.0,216.0,289.0,236.0,629.0,30228.0,141.0,30087.0,3437.0,26143.0,0.0,0.0,120738.5100819365,373576147.4899592,Administrative Boundary,Survey of India (SOI),Uttar Pradesh
112,112,Visakhapatnam (Rural),4866,Visakhapatanam,520,AP,28,66573.0,260192.0,3.90837126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68633.84040541397,126107157.64491025,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
3423,3423,Karahal,3384,Sheopur,431,MP,23,23108.0,112019.0,494.83405321,205086.0,123146.0,21871.0,10421.0,11135.0,1393.0,10266.0,1461.0,1461.0,22818.0,12715.0,10102.0,1464.0,5257.0,1442.0,253.0,278547.48973803717,2007148967.3354065,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
5700,5700,Koil,0755,Aligarh,119,UP,09,305209.0,1810181.0,2217.95245575,95797.0,788.0,17377.0,743.0,1003.0,889.0,1883.0,2343.0,2307.0,116115.0,1539.0,115482.0,24019.0,89316.0,253.0,0.0,234930.31628401793,1020420703.00631,Administrative Boundary,Survey of India (SOI),Uttar Pradesh
5701,5701,Iglas,0756,Aligarh,119,UP,09,64298.0,389913.0,1146.33805833,53690.0,72.0,9323.0,1081.0,324.0,191.0,241.0,545.0,897.0,71460.0,134.0,71334.0,7356.0,73189.0,408.0,0.0,161485.5276796423,531226044.5710391,Administrative Boundary,Survey of India (SOI),Uttar Pradesh
5702,5702,Sasni,0757,Hathras,163,UP,09,37760.0,224282.0,680.9313231499999,26496.0,110.0,3283.0,259.0,81.0,12.0,235.0,353.0,404.0,30247.0,15.0,30233.0,1617.0,28615.0,0.0,0.0,104816.05120124093,259299674.84905687,Administrative Boundary,Survey of India (SOI),Uttar Pradesh
208,208,Unguturu,4962,West Godavari,523,AP,28,23080.0,80722.0,58.88891368,20298.0,1226.0,2850.0,350.0,211.0,357.0,0.0,516.0,2819.0,11967.0,4152.0,11151.0,7246.0,3904.0,0.0,0.0,75794.67527537367,194943647.34385964,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
3459,3459,Palera,3420,Tikamgarh,434,MP,23,28742.0,148335.0,495.16627635,50117.0,2715.0,2880.0,3307.0,1354.0,111.0,2706.0,2052.0,2052.0,31338.0,8640.0,22702.0,1253.0,19205.0,763.0,110.0,168521.96739464262,628020277.4648119,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
3460,3460,Baldeogarh,3421,Tikamgarh,434,MP,23,26901.0,123125.0,401.92711293,44640.0,1964.0,3170.0,3215.0,2831.0,43.0,2833.0,4587.0,4587.0,23662.0,3432.0,20230.0,1473.0,16126.0,705.0,266.0,147509.34394479968,428426972.94935906,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
2443,2443,Tonto,2737,West Singhbhum,343,JH,20,12129.0,59918.0,363.84899119,49862.0,13120.0,7243.0,4184.0,384.0,850.0,4017.0,3570.0,3570.0,13086.0,8388.0,2162.0,0.0,243.0,994.0,0.0,186789.03559372877,608693694.3209885,Administrative Boundary,Survey of India (SOI),Jharkhand
2466,2466,Handwara,0002,Kupwara,008,JK,01,14421.0,100269.0,371.41035138,9152.0,35.0,790.0,0.0,0.0,0.0,1194.0,0.0,0.0,7125.0,4566.0,2560.0,2560.0,0.0,0.0,0.0,246662.19381455108,652624182.08568,Administrative Boundary,Survey of India (SOI),Jammu & Kashmir
2510,2510,Pahalgam,0053,Anantnag,001,JK,01,11590.0,70692.0,245.50883118000002,5348.0,113.0,899.0,0.0,0.0,0.0,1188.0,0.0,0.0,3142.0,1099.0,2043.0,2043.0,0.0,0.0,0.0,273477.0306946413,1174048035.5216835,Administrative Boundary,Survey of India (SOI),Jammu & Kashmir
4867,4867,Ravong,1552,Namchi,227,SK,11,9646.0,47955.0,240.2567058,46308.0,11840.0,0.0,603.0,0.0,4178.0,0.0,0.0,0.0,8993.0,9928.0,1062.0,1062.0,0.0,0.0,0.0,109063.58784365583,418157415.72836214,Administrative Boundary,Survey of India (SOI),Sikkim
3477,3477,Gunnor,3438,Panna,420,MP,23,29621.0,133513.0,663.3412867799999,56763.0,522.0,5073.0,957.0,608.0,226.0,3160.0,1682.0,1682.0,42749.0,28514.0,14239.0,282.0,10483.0,290.0,14.0,178144.67496720114,565543552.3626091,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
