SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2023-09-23 08:30:00,1.2,,,
2,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2023-04-10 08:30:00,1.3,,,
3,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2023-10-13 08:30:00,1.1,,,
4,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2023-03-11 08:00:00,1.6,,,
5,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2023-11-14 08:00:00,1.1,,,
6,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2023-11-23 08:00:00,0.9,,,
7,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2023-02-12 08:30:00,0.9,,,
8,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2023-12-13 08:30:00,1.7,,,
9,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2023-12-22 08:30:00,1.0,,,
10,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-03-01 08:30:00,1.1,,,
11,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-12-01 08:30:00,0.8,,,
12,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-01-23 08:30:00,1.6,,,
13,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-03-02 08:30:00,1.5,,,
14,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-02-13 08:30:00,1.3,,,
15,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-02-23 08:30:00,1.2,,,
16,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-02-03 08:30:00,1.5,,,
17,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-03-13 08:30:00,0.5,,,
18,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-03-22 08:30:00,0.8,,,
19,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-03-04 08:30:00,1.0,,,
20,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-04-16 08:30:00,0.3,,,
21,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-04-23 08:30:00,1.3,,,
22,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-03-05 08:30:00,1.3,,,
23,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-05-14 08:30:00,0.3,,,
24,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-05-22 08:30:00,0.8,,,
25,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-04-06 08:30:00,1.0,,340.0,340.0
26,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-06-13 08:30:00,0.6,,140.0,140.0
27,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-06-22 08:31:00,0.3,,0.0,0.0
28,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-02-07 08:30:00,,,0.0,0.0
29,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-12-07 08:30:00,,,130.0,130.0
30,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-07-23 08:30:00,,,0.0,0.0
31,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-03-08 08:30:00,,,500.0,500.0
32,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-08-13 08:30:00,,,0.0,0.0
33,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-08-23 08:30:00,,,270.0,1300.0
34,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-03-09 08:30:00,,,700.0,700.0
35,AIE NH XING,CWC,18,Assam,281,BONGAIGAON,Bongaigaon,-,-,Brahmaputra,Brahmaputra,Manas,Aie,-,Aie,26.49660278,90.65384444,2024-12-09 08:30:00,,,300.0,300.0
