SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-02-01 08:30:00,28.58,,,
2,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-11-01 08:30:00,26.82,,,
3,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-01-21 08:30:00,35.74,,,
4,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-01-02 08:30:00,19.91,,,
5,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-02-13 08:30:00,29.59,,,
6,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-02-21 08:30:00,22.43,,,
7,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-01-03 08:30:00,23.63,,,
8,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-03-13 08:30:00,34.27,,,
9,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-03-21 08:30:00,28.02,,,
10,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-01-04 08:30:00,32.12,,,
11,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-11-04 08:30:00,24.81,,,
12,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-04-21 08:30:00,38.33,,,
13,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-01-05 13:47:00,26.1,,,
14,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-11-05 14:09:00,25.88,,,
15,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-05-22 14:20:00,28.93,,,
16,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-01-06 10:15:00,28.59,,,
17,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-12-06 09:48:00,22.83,,,
18,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-06-21 12:08:00,24.74,,,
19,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-01-07 15:45:00,31.67,,,
20,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-11-07 14:59:00,28.56,,,
21,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-07-21 15:42:00,27.9,,,
22,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-01-08 10:55:00,7.04,,,
23,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-11-08 14:42:00,0.85,,,
24,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-08-21 10:57:00,34.65,,,
25,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-01-09 14:46:00,5.75,,,
26,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-11-09 11:25:00,32.92,,,
27,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-09-21 11:28:00,12.48,,,
28,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-03-10 11:03:00,38.49,,,
29,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-11-10 14:34:00,25.66,,,
30,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-10-21 12:40:00,28.45,,,
31,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-01-11 15:03:00,79.27,,,
32,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-11-13 14:18:00,11.44,,,
33,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-11-21 15:21:00,12.54,,,
34,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-01-12 11:42:00,19.0,,,
35,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-11-12 11:23:00,24.1,,,
36,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2023-12-21 13:04:00,19.0,,,
37,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-01-01 11:41:00,23.7,,,
38,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-11-01 16:03:00,15.4,,,
39,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-01-23 16:17:00,26.3,,,
40,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-01-02 09:16:00,52.8,,,
41,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-12-02 09:30:00,52.3,,,
42,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-01-03 09:20:00,41.0,,,
43,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-11-03 09:30:00,41.5,,,
44,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-03-21 09:20:00,95.3,,,
45,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-01-04 08:30:00,96.2,,,
46,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-11-04 09:49:00,85.8,,,
47,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-04-21 09:55:00,89.2,,,
48,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-01-05 09:00:00,38.6,,,
49,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-05-13 08:25:00,43.6,,,
50,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-05-21 09:29:00,57.0,,,
51,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-01-06 09:40:00,44.6,,,
52,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-11-06 09:50:00,37.5,,,
53,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-06-21 09:30:00,82.5,,,
54,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-01-07 09:15:00,66.7,,,
55,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-11-07 09:50:00,49.2,,,
56,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-07-22 09:45:00,46.5,,,
57,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-01-08 09:30:00,30.2,,,
58,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-12-08 09:15:00,19.9,,,
59,Chilla Gaon/ Hindon Cut,CWC,7,Delhi,78,EAST,-,-,-,Ganga,Ganga,Yamuna,Hindon,-,Hindon,38.58805556,77.29808889,2024-08-21 09:20:00,15.5,,,
